Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
IoT($),810.8432482957,846.6743607415,885.9102979616,802.6191264504,776.8993950707,793.7602680627,778.6126169575,785.7554627654,785.7380818987,787.896469735,767.5774248942,757.2375221932,770.3342439741,721.1244888132,717.2316598917,727.5896870736,720.454448786
IoT Device Management($),285.84069756,465.7187001,647.72086146,1200.91033421,449.32429927,321.26074169,264.68951507,423.62265525,473.24127113,323.16285663,968.88208735,505.34077849,345.30181951,346.30370135,503.02656082,655.83328239,1163.03345579
EC2-Other($),106.5374901508,108.1261666889,108.4153711996,113.0241736747,108.9720987961,111.041059878,109.6366454291,109.7191328775,111.126115339,110.2362445401,112.0131521961,110.3044244829,113.4694342781,109.3012045629,109.4899383649,111.7032293485,109.7152136815
EC2-Instances($),85.7714020338,86.3919192892,86.4633500348,86.2309108046,86.3238651273,86.6972114946,86.5541997754,87.1091556894,89.4137821929,87.6665990899,86.3034431008,86.7209532428,86.703956599,86.824047977,86.5226044586,86.9998212082,89.2995126646
DynamoDB($),44.8756986225,52.8059938761,44.1921626927,66.5021978641,48.9658852783,54.7934360797,47.0054780942,42.6154942534,54.9540866789,57.0518082029,80.6598551741,62.4874161184,81.6225599738,54.9363062074,53.3491714581,64.7568637181,51.5911960255
S3($),18.6618475748,20.1701632617,26.3968904845,105.0219892115,43.9562515439,26.1862644202,22.1548313557,32.6562767572,32.0490468427,20.9620092222,73.8342520068,48.8810792822,25.85638092,23.7872608477,41.5637007583,61.6419746859,176.1635007792
ElastiCache($),44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64
Kinesis Firehose($),22.3212949372,26.4174255277,29.0156603618,28.0936771869,24.9551303961,25.3517183774,24.3621115586,24.7069234174,25.9369894412,26.1917334462,25.3578478244,22.9146655849,23.2506975843,22.1663796609,22.6993027877,22.964429579,22.8727665807
CloudWatch($),19.2880967535,22.633960905,23.774699714,25.1832213026,21.2550712234,21.1840156832,20.0186341147,20.6620509279,20.2706044983,20.0427634852,19.3640996485,19.5332534411,19.343617412,19.0390061134,19.5008037645,19.6655441847,19.7033454983
VPC($),15.2167011275,15.2284367244,15.0309003199,14.821053844,14.7076585673,14.6806725817,14.7735414644,14.7703410408,14.7595961113,14.7569335589,14.811227868,14.8327276009,14.752294951,14.7326670589,14.7367920849,14.7597617379,14.6584424353
Elastic Load Balancing($),11.5454710078,11.7896620575,12.2830627877,12.1652093892,12.0820053252,12.4217378187,12.3780620884,12.338668723,12.2223372899,12.220076729,11.8297838624,12.0398342872,12.3270818124,11.8020741724,11.9261505334,12.1593535216,11.9029224419
Lambda($),7.0239830788,9.5124242863,13.79748249,10.049143468,8.11422563,8.5314390459,7.7560208165,8.0594749508,7.916892491,7.7645720167,7.5969857169,8.4817895803,7.9582606589,7.2358335409,7.5287296233,7.7338387618,7.3984128774
SQS($),1.5895124,3.0605367,1.5896961,3.0721194,1.5946416,3.0598819,1.5901974,1.5902659,3.4647471,1.594179,4.065163,2.5781097,4.2453409,2.7575898,2.7697008,4.2516194,2.773543
Secrets Manager($),0.1555766664,0.3315716664,0.1925055553,0.3500355553,0.1620716664,0.1812916664,0.1623066664,0.1564166664,0.1573616664,0.1573366664,0.1617316664,0.1662466664,0.1614366664,0.1570266664,0.1671816664,0.1570616664,0.1649166664
Cost Explorer($),0.1,0.11,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.09
SNS($),8.6836e-06,0.0195636334,7.732e-06,0.0196639044,0.0004624358,0.0197536664,0.0005150383,0.0006159473,0.0251367832,0.0004950035,0.0340997954,0.0138930151,0.0356469122,0.0161684966,0.0164352371,0.0357658076,0.0163651291
Route 53($),0.1,,,,,,,,,,,,,,,,
Key Management Service($),0.004668,0.004674,0.004791,0.004677,0.003876,0.004566,0.004674,0.004563,0.003993,0.003876,0.00468,0.004677,0.004674,0.004791,0.004674,0.003996,0.00399
Service Catalog($),0.0,0.0056,0.0035,0.0014,0.0021,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0014,0.0028
IoT Device Defender($),0.00163332,0.00174876,0.00161772,0.00167752,0.00173524,0.00195208,0.00186368,0.00169572,0.00172328,0.00153348,0.00148356,0.00162136,0.00172848,0.00191932,0.00181844,0.00175084,0.00185796
CloudWatch Events($),0.0002,0.00024,0.00016,0.000172,0.000186,0.000168,0.000176,0.000184,0.000148,0.000188,0.000144,0.0002,0.000188,0.00016,0.000168,0.000252,0.000166
Glue($),9.1e-05,8.7e-05,0.000108,0.000117,9.4e-05,0.000128,0.000115,0.000104,0.00013,0.000105,0.000128,0.000114,0.000126,0.000105,0.000128,0.0002,0.000206
Direct Connect($),6.9007e-06,6.8955e-06,6.8957e-06,6.9003e-06,6.8957e-06,6.9007e-06,6.8952e-06,6.9005e-06,6.8954e-06,6.9005e-06,6.8954e-06,6.9007e-06,6.8904e-06,6.9005e-06,6.8953e-06,6.9006e-06,6.8957e-06
Location Service($),1e-05,,,,1e-05,1e-05,,,,1e-05,1e-05,,,,1e-05,1e-05,
