Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),1838.4632981889,1617.493826188,1677.4329172265,1735.0313635434,1454.0970949176,1051.4313293045,1073.4085323278,1268.9251217723,1409.9976870218,1276.4409784768,1052.9408970745,1402.6407707834,1153.100362658,1020.8267090196,1287.7909368284,1310.8116129309,1283.8652788637
S3($),1233.5741633852,1258.7553698832,1245.8088436546,1300.0910239749,1295.254223666,1217.1288136062,1226.3963156135,1226.1872531319,1240.110308309,1237.3070619492,1287.9005363237,1316.6816582015,1257.4431461318,1265.703516088,1263.7784041978,1258.4466799701,1264.3606173127
Elastic MapReduce($),1102.833919402,989.707482816,1023.2298096112,1068.3183478624,855.2874742104,584.6305169848,588.971806912,731.5337345,844.5665825704,760.5749672352,594.1304597928,830.4574707656,657.6441212792,572.945131566,741.9326492828,759.7922173696,742.5807236536
EC2-Other($),611.7501436743,561.9345210646,553.7753800034,602.3329008799,498.9484306327,364.9865774848,366.8409149835,484.2735320417,556.8545004901,511.9106360199,429.8285010761,570.2666305844,442.4901679554,375.1900902869,490.3850957367,525.5556883475,498.418683253
VPC($),55.2176399949,56.104878909,55.0697661445,55.0150494452,54.9812555126,54.7917320037,54.7768811518,55.1860663876,54.9184823865,54.9346068469,54.7192024312,54.9498601362,54.7123226598,54.7157463191,51.5667063006,50.2221484587,50.1797982011
CloudWatch($),27.7049889112,26.228304952,25.1809242204,26.8240277032,26.3331242017,24.5074552959,23.5568909861,24.5296014257,25.7798993313,25.1111622089,23.8899253277,24.9380134329,23.6596690762,22.9689782691,24.1530602058,24.8713085589,24.4251356823
Relational Database Service($),7.2590717001,7.2649791901,7.2740273875,7.2675327539,7.2334667099,7.176521595,7.1740587576,7.2380684121,7.2732539413,7.2790757639,7.2293062582,7.2492880171,7.2145515318,7.2008267477,7.235207754,7.246681109,7.2146753586
QuickSight($),4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432,4.8867219432
DynamoDB($),0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744,0.468864744
Key Management Service($),0.3774546696,0.3771126696,0.3775896696,0.3770856696,0.3758556696,0.3756006696,0.3770886696,0.3771336696,0.3760896696,0.3761106696,0.3758496696,0.3741006696,0.3765936696,0.3758406696,0.3766026696,0.3773346696,0.3771156696
