Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
Savings Plans for  Compute usage($),2021.9613331105,2237.1797648243,1826.0378184112,1974.7628697193,2351.782632769,3686.7510362836,3525.3007296057,2328.2435961897,2234.1457822312,2402.2155423427,3191.8646523591,2507.7312346026,3882.0859555332,3882.4094451161,2819.7407006625,2652.9376889491,3260.4524982407
ElastiCache($),16710.3924,,,,,,,,,,,,,,,,
Relational Database Service($),8499.70749111,,,,,,,,,,,,,,,,
Redshift($),829.934167,,,,,,,,,,,,,,,,
Cost Explorer($),54.858643,14.8139343333,14.9623766667,14.73454,14.2281506667,15.1465266667,15.4511753333,55.8229766667,15.5818143333,15.591098,14.65677,14.8663886667,15.5087383333,15.5738463333,56.474526,15.523538,15.51451
OpenSearch Service($),297.073,,,,,,,,,,,,,,,,
QuickSight($),8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864,8.9106666864
S3($),1.4451301182,1.2588645654,1.3434979097,1.4715401174,1.1891513558,1.5475724995,1.5089850395,1.4256797171,1.342309505,1.1352399113,1.1600415131,1.3373941392,1.2536477212,1.1510974192,1.4544995096,1.2862280748,1.3721804484
Glue($),0.5292802,0.33403104,0.30725888,0.2819498,0.41174868,0.41486516,0.4578685108,0.236208767,0.451941303,0.2937504233,0.3313422028,0.4040137396,0.4871091818,0.3830941087,0.4899966134,0.3064786542,0.361253483
Config($),0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
Lambda($),0.0052331988,0.0051361209,0.0051374543,0.0051037168,0.0052398917,0.0050389341,0.005157849,0.0051066112,0.0052085144,0.0050390525,0.0051448097,0.0052820466,0.0052192271,0.0051853682,0.0052009415,0.0051679661,0.0051997616
Key Management Service($),0.00432,0.004341,0.00444,0.003606,0.00444,0.004341,0.003711,0.004335,0.003816,0.003711,0.004335,0.004341,0.004335,0.003606,0.0036,0.004341,0.004449
Secrets Manager($),0.000515,0.000515,0.00068,0.00128,0.001785,0.00196,0.002215,0.00221,0.002385,0.002045,0.002295,0.002385,0.00255,0.002555,0.00204,0.00247,0.002295
Service Catalog($),0.0,0.007,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
CloudWatch($),0.0001035667,0.000166638,0.0001237445,0.0001297425,0.0001909172,0.0001395792,0.0001443106,0.0001338666,0.0001540358,0.0001438301,0.0001649893,0.0002206079,0.0001973587,0.0001767721,0.0001813939,0.0001630472,0.0001893824
SQS($),5.52e-05,3.48e-05,5.48e-05,0.0001028,0.0001296,0.0001436,0.000164,0.0001772,0.0001912,0.0001776,0.0001772,0.000198,0.0001976,0.000198,0.0001908,0.0002048,0.0001908
SNS($),4.74e-08,6.32e-08,5.53e-08,4.11185e-05,5.3658e-05,6.36896e-05,6.11817e-05,6.87054e-05,6.61975e-05,6.61975e-05,7.12133e-05,7.8737e-05,7.62291e-05,7.37212e-05,6.61975e-05,7.8737e-05,7.12133e-05
Glacier($),2.4575e-06,2.5726e-06,2.595e-06,2.5066e-06,2.5795e-06,2.6094e-06,2.5034e-06,2.5564e-06,2.5459e-06,2.8139e-06,2.586e-06,2.4246e-06,2.5721e-06,2.4604e-06,2.5625e-06,2.3813e-06,2.4618e-06
Simple Workflow Service($),1.305e-07,1.827e-07,1.827e-07,3.915e-07,5.742e-07,6.264e-07,6.264e-07,7.047e-07,6.264e-07,6.003e-07,7.047e-07,7.569e-07,8.091e-07,7.83e-07,6.264e-07,7.83e-07,6.786e-07
Step Functions($),1.04e-07,1.05e-07,1.2e-07,2.1e-07,3.15e-07,3.43e-07,3.88e-07,3.88e-07,3.73e-07,3.59e-07,3.44e-07,4.44e-07,4.29e-07,4.72e-07,3.57e-07,4.43e-07,4.16e-07
Savings Plans for  Machine Learning($),4e-10,-1e-10,3e-10,0.0,-2e-10,-2e-10,0.0,1e-10,1e-10,0.0,7e-10,1.1e-09,0.0,0.0,0.0,0.0,0.0
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costs($),28424.8363409304,2262.5284579317,1851.5874575061,2000.187232809,2376.5495926933,3712.7977576777,3551.6562820348,2394.6665630593,2260.459738552,2428.172883817,3216.9510646091,2533.2776068526,3908.274096681,3908.4553482406,2887.0970723507,2678.9924295221,3286.6389075722
