Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),48.5758275716,48.0430948864,47.9486840183,47.9565325942,47.7058270324,49.3527165984,50.2810321047,45.6286160632,43.9116873466,43.9728645187,44.0302723799,41.581881693,33.0886083263,33.1262279853,42.4503345396,42.5893611857,43.766979956
EC2-Other($),41.0199964881,39.3750028729,38.3543123155,37.8557289049,37.1493160485,37.0497804729,36.4926295358,36.7343913723,36.6819265667,36.5174554917,36.0798064119,37.5086380873,34.455830051,34.3143170825,37.0216758573,39.1033060048,40.5722317417
VPC($),27.315730519,27.3037642711,27.2967796141,27.3082621548,27.3034311886,27.3056019554,27.2835470146,27.2761664604,27.2615647855,27.266604909,27.2535375731,27.2676974493,27.1640690535,27.1633771377,27.2648073797,27.2591210441,27.2611328131
S3($),26.5067884122,43.0723861716,51.143683715,28.5397172319,24.4058704013,23.1302018219,21.3776383214,20.5209235593,24.3380030343,22.184155286,21.4643349018,20.4704278391,22.5349186945,21.225008001,20.8394469921,23.8115178428,23.4128747675
Elastic Load Balancing($),9.9280316914,10.0186862979,9.915533948,9.7723774245,9.6581146871,9.495899317,9.1030372782,9.5334363765,9.3548797637,9.3079913369,8.9919873164,9.263906893,9.1163839248,8.7363946026,9.1870985444,9.1199348993,9.0510430239
Elastic Container Service for Kubernetes($),13.206704445,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Kinesis Firehose($),4.9269729704,5.4479110336,4.5962742219,4.0052790257,3.7814089,3.306709269,2.5913993338,3.3372149662,3.0978569117,2.9737281315,2.4808792976,2.9278476708,2.7043541614,2.0445918557,2.8376888648,2.7660360988,2.5909009639
CloudWatch Events($),2.940203,3.160304,2.9102346,2.7296124,2.539826,2.2567324,1.8591866,2.2645238,2.1098585,2.0127446,1.7427464,1.928326,1.7707085,1.5323136,1.9292174,1.8275578,1.7195369
CloudWatch($),2.0399189595,1.8341058816,1.7806230311,1.7042036518,1.6658577026,1.625427051,1.5630940287,1.6189767221,1.5572962689,1.5421667925,1.29954794,1.3562278576,1.2411634811,1.1745215704,1.3563700509,1.3269269075,1.3273952529
Resilience Hub($),15.0,,,,,,,,,,,,,,,,
EC2 Container Registry (ECR)($),0.6240000959,0.6284524445,0.632953419,0.636540718,0.639148894,0.6407015003,0.6410096568,0.641009674,0.6410109354,0.6415864819,0.641965324,0.642110629,0.6421816872,0.6421816872,0.6430890935,0.6435684351,0.6444002448
Secrets Manager($),0.5883016656,0.5885116656,0.5887366656,0.5657472212,0.5921816656,0.5922866656,0.5926566656,0.5928816656,0.5928816656,0.5924216656,0.5935666656,0.5933416656,0.5934266656,0.5934316656,0.5935866656,0.5922016656,0.5921966656
