Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),614.2836052008,616.3792854139,616.7400787616,617.1980073544,616.498178589,612.5440783736,604.5512384939,618.7438301651,617.341371641,616.8150217502,610.7906017198,617.4877693103,614.4735756391,606.3471703737,618.6571799037,619.1012750932,618.9283502913
EC2-Instances($),172.3031535304,171.6521619987,170.3822142212,170.9436425969,171.5676540657,169.6137110419,168.9106355847,169.628663861,168.1610786399,169.4347865343,166.6989187941,168.0830504571,167.7446316789,166.8592749196,168.5446231176,168.3180814278,168.3550312524
S3($),47.753576879,58.2714742893,46.9170305088,45.5225828161,46.5627108306,53.4032488915,37.1683500786,46.4155799601,45.7971792508,61.2356793464,43.6938609472,56.2917415826,65.8773613753,44.5021862652,52.9615743657,44.659621142,33.6679018374
VPC($),35.9953748145,35.8594660283,36.3446443146,36.065381205,35.8311248378,35.4940792025,35.4014056324,37.1892392418,36.10580401,35.8089513414,35.3199165106,35.7132023225,35.3842893315,35.3275515323,36.6829762149,35.8514809623,35.8866785538
ElastiCache($),22.442,23.055,23.601,23.423,23.077,21.996,22.066,22.592,22.176,22.809,23.005,23.882,22.772,22.468,21.652,23.329,22.203
Elastic Load Balancing($),23.3346023258,24.1061454399,25.9657606701,23.6741955617,23.5083513132,22.8954315073,12.9040056515,23.2161837507,21.9594687454,22.658478156,18.4722236916,22.2326759382,21.8205368196,12.8595700307,21.6507444519,27.7212221865,32.9833854007
CloudWatch($),6.5865436631,9.4490970601,8.7608700346,9.1172196873,9.1964651232,9.1015608235,8.9977078858,9.0285943322,8.5854191651,8.7396139169,8.5281656611,6.7999957647,6.4045407936,6.3536238701,6.6685124438,6.5033398136,7.0403414264
Elastic Container Service for Kubernetes($),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
EC2 Container Registry (ECR)($),1.9799152557,1.9810364118,1.9828754188,1.9837218243,1.9839258504,1.9839258504,1.9839258504,1.9852177297,1.9873172211,1.9910222029,1.9917838248,1.993016691,1.9940025,1.9940025,2.0025571547,2.0072520072,2.0088737076
SQS($),1.9575428,1.9547008,1.9556416,1.9578196,1.9571704,1.9573392,1.9581744,1.956282,1.9561916,1.9562052,1.9541348,1.959778,1.960358,1.9614788,1.9629668,1.9624444,1.9621556
DynamoDB($),0.5683489272,0.7033290298,0.7033176569,0.7033185726,0.70332418,0.7033136725,0.7033122832,0.7033258069,0.7033299104,0.7033244198,0.7033161654,0.7033184564,0.7033124393,0.7033121929,0.7033320979,0.7033317516,0.7033199483
Cost Explorer($),0.25,0.25,0.24,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.23,0.19,0.19,2.11,0.31,1.7
Key Management Service($),0.2087330016,0.2089340016,0.2088500016,0.2064680016,0.2088050016,0.2077730016,0.2089730016,0.2076050016,0.2086460016,0.2199131128,0.2423603352,0.2657404465,0.2742206688,0.2754626688,0.2755076688,0.2756756688,0.2754986688
CloudFront($),4.5e-06,4.7e-06,2.1e-05,2e-06,9e-07,3.5e-06,0.0,5e-06,9e-07,2e-06,0.2919072,0.6306897,0.5650556,0.0676548,0.544369,0.5313514,0.470704
Route 53($),1.6361076,0.0393536,0.0212572,0.0214224,0.0211736,0.0157418,0.014459,0.0210434,0.0203198,0.0209284,0.0144558,0.0181046,0.0144132,0.0153878,0.0208928,0.020374,0.0197546
SNS($),6.62609e-05,0.0040699457,0.0035390872,0.0037163098,0.0023978717,0.002886855,0.0021369896,0.003569294,0.0036564465,0.0037558977,0.0027883503,0.0033439692,0.0036310575,0.0023739727,0.0032336806,0.0033994838,0.0027096288
Service Catalog($),0.0042,0.0049,0.0056,0.0014,0.0014,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
Lambda($),0.0004007672,0.0004139243,0.0003784595,0.0004096678,0.000322383,0.0003206622,0.0002709247,0.0004188973,0.0003694743,0.0003900589,0.0003277428,0.0003452689,0.0003646269,0.0002761612,0.0003795091,0.0003265673,0.0003407057
CloudWatch Events($),0.000464,0.000372,0.000326,0.000364,0.00035,0.00024,9e-05,0.000414,0.000408,0.000418,0.000254,0.000346,0.000222,9.4e-05,0.000324,0.000438,0.000362
