Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),7570.8558275526,7749.1534220843,7653.2667244043,7643.5084553801,7564.6626486577,7429.9631182233,7410.4900039143,7378.8596543178,7317.6291234643,7246.7677815714,7262.6202910413,7253.5421464662,7224.9069920073,7234.2237944588,7452.1552819622,7434.5382892673,7369.0314695737
EC2-Instances($),2830.9094409009,2848.8977915595,2861.4885753667,2845.0790574534,2820.1914027679,2779.4630712241,2774.5184332521,2801.5540057026,2792.8999115408,2766.8490937838,2787.1108569733,2767.3529514825,2725.3434989809,2715.5210952345,2746.4310791891,2691.7582670426,2655.8915498314
S3($),477.5621805802,471.0915758732,476.7476964658,534.8917292971,465.6535537353,470.3620273575,459.7710801128,460.1099034374,489.0360008769,485.8025205438,484.4164178436,486.2079523968,487.385129367,476.9801853265,480.3325354901,493.6100824418,514.610471744
Elastic Load Balancing($),425.5931293775,432.5077033532,414.6359836139,409.6819927646,409.6546138741,408.4912048709,393.2438132705,405.3152870844,398.5657715867,403.2133922404,386.0921563382,391.8826006597,383.5036503776,373.8831907786,388.09787323,385.1287797343,375.5114901449
Route 53($),146.5100475775,146.0310280775,125.0243341775,80.0121350775,79.8822533775,78.4118491775,73.1457108775,76.8585217775,76.9953553775,78.2451425775,75.4106858775,78.3257012775,74.4646695775,75.6056240775,77.6555145775,77.9769396775,76.3860870388
VPC($),52.6669782824,52.6607037527,56.4149170991,58.6540514785,53.4547927204,52.3555576893,52.715827644,53.5687834465,53.7080521881,56.3053937711,56.2426501066,56.6235950621,55.2329206487,55.3295861885,56.1426063806,55.6414287661,55.1124017334
Elastic MapReduce($),27.1445432976,28.7732148624,30.3796606482,31.6720305156,34.8817523688,26.8530671952,26.9952233184,38.4401511792,35.5721025384,28.0373252844,45.3232602012,36.1622267736,27.1820171592,27.0343306944,41.86295355,39.4524842424,27.7664580666
CloudWatch($),16.8492926675,16.9196212538,17.1896024726,17.0175127987,16.6659618577,16.6113661158,16.2562756895,17.0126545312,16.8224566537,16.6684439146,16.322047929,16.2936333828,15.9538446187,15.8433235218,16.2168734537,16.0487565929,15.5621172701
DynamoDB($),61.8198785551,12.6075847944,12.6077302272,12.6074393616,12.6077302272,12.6074393616,12.6075847944,12.6077302272,12.6075847944,12.6077302272,12.6075847944,12.6075847944,12.6074393616,12.6075847944,12.6075847944,12.60787566,12.6075847944
Elastic File System($),11.1707231159,11.3101470453,11.4521786945,11.5935870188,11.7475756261,11.8987527547,12.0667241305,12.2320031272,12.3907143559,12.5510904912,12.7307438592,12.9125203902,13.1012619922,13.2842407949,13.4794438896,13.6416208658,13.8119671029
Direct Connect($),8.8229952037,8.8787984965,8.5693987558,8.3050107089,8.2259765731,8.1360096176,7.8725179276,8.1291007541,7.9306525333,8.0811221927,7.6376912624,7.7681885378,7.6134225505,7.4583554464,7.7811319272,7.5609021597,7.266828842
Elastic Container Service for Kubernetes($),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
SageMaker($),1.442676638,1.3353288705,1.3386666672,1.3386666672,1.3386666672,1.3386666672,1.3386666672,1.4415013727,1.3386666672,1.3386666672,1.3386666672,1.3348472872,1.3386666672,1.3386666672,1.4343085164,1.050289722,1.2142451086
QuickSight($),0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064,0.8000000064
EC2 Container Registry (ECR)($),0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848,0.7565875848
WAF($),0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008,0.7000000008
Elastic Container Service($),0.0746744607,0.1321072351,0.1755268656,0.4397516067,0.4775476171,0.0737900704,,0.6162635641,0.2435910878,0.623590778,0.0525262703,0.6210578122,,,0.4879377168,0.5832496829,0.5520709769
