Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),778.6617626332,763.5778246005,753.7425795031,764.2585079857,752.6870648343,736.6175587899,738.6695339064,750.6767841754,745.038580406,761.191959894,737.2907194249,736.2339170425,734.1921752158,727.488725941,733.2202052583,740.1465517486,730.703330872
EC2-Other($),343.3003737256,331.3985958693,333.8921323589,358.9686215865,336.4018097984,335.1818135221,324.8390515792,343.4324783762,336.7044368415,365.0704480057,333.9486101323,337.6585878857,339.0404277367,319.9406085734,323.4459547592,333.7901818678,332.368228514
Elastic Load Balancing($),61.4701195179,48.908030944,48.7509001525,52.3341833963,57.7697293235,47.0789507328,47.0103333101,59.483409144,48.5841476401,79.6697914622,48.7046034283,58.7067663659,49.6729621546,44.8815310714,56.3776257806,48.0073171328,46.6216814741
Relational Database Service($),23.0508146602,23.0484584098,23.0417734254,23.04234539,23.0494571292,23.0499727284,23.0517432923,23.0506989489,23.0526336476,23.0515215964,23.0454990569,23.0455409271,23.0455880684,23.0474350366,23.0497481439,23.0506850019,23.0513363307
VPC($),21.4888414529,21.3065127328,21.3144646315,21.3051761041,21.4364845834,21.3417146848,21.3211459166,21.3264769181,21.3088464364,22.4773873468,22.9931517214,22.3183828413,21.9040814843,21.4802884261,21.3083112263,21.507994252,21.3186314774
Elastic Container Service for Kubernetes($),9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
S3($),10.3257614054,7.0788613227,7.8695740187,7.4508902181,7.7807244473,7.6763694877,7.7585985895,7.6582569692,7.7027867506,7.6129647029,7.8830583907,7.7567288173,7.5764125806,7.4088470663,10.4693037983,7.3975145199,7.4461513081
CloudWatch($),5.4273082618,5.359299209,5.1563222304,5.1479309525,5.2067048583,5.010729093,5.071971153,3.4893979938,3.4424251957,3.4311486866,3.4045193752,3.5746782886,3.358107102,3.3412162091,3.4157451608,3.4310350655,3.4292618084
Glue($),2.84354796,2.85601448,2.92834652,2.89285304,2.84176068,3.00121756,2.9652336734,2.9238337133,2.9757379533,2.9130943534,2.8996568333,2.9039693533,2.7565051534,2.8891126333,2.9254107533,3.0915514334,3.0665420333
ElastiCache($),1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
DynamoDB($),0.912864396,0.912864396,0.912864396,0.912864396,0.912864396,0.912864396,0.912864396,0.912864396,0.9128643975,0.9128643984,0.9128643984,0.9128643984,0.9128643984,0.9128643984,0.9128643984,0.9128643984,0.9128643984
Key Management Service($),0.9075750072,0.9081240072,0.9076890072,0.9072450072,0.9080100072,0.9080100072,0.9074820072,0.9084480072,0.9072480072,0.9086550072,0.9087750072,0.9080070072,0.9090990072,0.9080070072,0.9088680072,0.9080040072,0.9085230072
EC2 Container Registry (ECR)($),0.8026270456,0.8030557512,0.8030557512,0.8030557512,0.8030557512,0.8030557512,0.8030557512,0.8040628867,0.8046321973,0.8046323064,0.8048963624,0.8051171736,0.8051171736,0.8051171736,0.8051171736,0.8054176417,0.8060343177
Secrets Manager($),0.2534383344,0.2430777788,0.2535383344,0.2534333344,0.2535383344,0.2535333344,0.2536383344,0.2430777788,0.2428827788,0.2535333344,0.2536383344,0.2535333344,0.2536383344,0.2535333344,0.2428827788,0.2535333344,0.2536383344
