Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
S3($),1148.1205381266,1116.4921052355,1093.9453728856,1036.029366492,645.3086426637,646.7328834631,986.7310961674,1010.8742947233,968.8203097251,982.1431113889,976.6991487976,671.1827636891,569.4498977017,839.2560819806,1069.4294110962,1118.4482176139,965.1694089212
EC2-Instances($),1014.9808213454,958.2069880814,929.9076845249,883.53648091,565.5309818256,566.8078025142,855.4935506242,837.8824098801,805.948252775,810.1651780661,816.7065669523,582.2844845006,535.4659142983,661.3981399729,827.5418941537,839.1393716967,784.3404672804
Relational Database Service($),169.1192017254,161.1921878882,159.106566015,159.2560026296,159.3840558354,159.4990572778,159.7390924705,159.907275005,168.0348707854,170.6170742113,170.7400248494,170.8711532429,171.0469606589,171.1141237102,171.2540615605,171.287043991,171.4929289261
EC2-Other($),46.7327882067,48.0112162218,48.1755602055,49.7431365061,40.906826153,42.4988001978,47.0473796328,46.9199680945,48.2989935267,48.1546232158,48.8616674787,41.5717082838,39.0241494407,45.4404688137,47.9436580094,48.4912179901,46.3786210273
VPC($),32.0877704424,31.2960278242,31.4200923627,30.7836321788,27.819974784,27.6735037796,30.5157627374,30.5521737067,30.852426424,30.6047612088,29.9428840534,28.0599908275,27.6780811876,28.529512879,30.8979225881,31.7132195768,30.8107605347
Elastic Load Balancing($),8.2536791347,8.1017706326,8.1088885553,8.0180216632,7.4255272427,7.3763342918,8.0016586229,7.9809754069,8.0052296627,8.0072232913,7.868513434,7.4861668997,7.3744667114,7.5765187934,7.9974613189,8.1889953711,8.0110119886
Elastic Container Service for Kubernetes($),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Elastic File System($),7.4687296393,3.5344405566,3.3342433939,3.8079367146,2.9933441564,7.3356654078,3.5961763768,3.4184428641,3.3455150444,3.4786689486,3.3468071039,2.9580986206,4.1267209964,3.0183828239,3.329748735,3.4581188592,3.3845468927
CloudWatch($),4.6335648066,6.4385563852,6.038162136,6.3206388576,4.4223039108,4.7306382303,5.8983387812,2.0066122734,1.988279145,2.0056401624,2.1038314567,1.5242477474,1.3496625561,1.8446633957,2.0478652457,2.1589739638,1.9504998384
Config($),1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122,1.122
