Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),6781.2112807977,6521.5687167591,6828.1175389055,6949.7940549721,6838.5902253047,6879.1253303569,6914.3340512582,6932.5883071938,6943.066003802,6593.457500343,6561.8942401232,6315.2611063868,6744.2050173966,6350.7204669361,6227.6617271058,5975.1869679515,6085.5194686358
S3($),5917.5069627726,5757.2158968653,5519.1000507106,5532.9044074173,5169.9696065516,5157.6391699975,5616.8873883055,5561.2302725074,5551.9662322755,5595.0316986242,5591.8330893053,5050.5545158769,4801.6313843552,5186.1582967577,5421.8927802446,5423.1511541324,5268.3054624325
Elastic MapReduce($),3507.6079911476,3438.3798955128,3518.5286600328,3667.0081184062,3607.7334619582,3708.0388487178,3743.7612115122,3768.826920155,3784.448592337,3615.167715356,3627.7071261612,3591.1001291788,3885.007851826,3610.7012910374,3553.121393857,3408.9564257632,3404.8286614452
EC2-Other($),694.4221410771,707.3576952575,699.065036775,698.0264379761,709.75352144,727.7624790661,704.6491499268,709.9921307877,714.7664565495,699.7445407659,692.2291344425,707.0079194585,718.0996460028,692.0529768792,677.0527953352,670.4953673356,714.9248893867
VPC($),152.3319803851,152.4580335963,148.9819566633,146.6200962968,148.5448253686,138.4013991892,143.4350626381,145.6956850509,146.4952943299,144.094794442,144.6061619533,144.6942296213,137.7039111926,135.5782450157,143.6640916446,143.011226815,142.8886901164
Relational Database Service($),48.6873821132,48.6909207913,48.6995872815,48.7004990539,48.7048764786,48.70294613,48.7037624036,48.6975449827,48.6994057525,48.6925480862,48.6943761058,48.7006687667,48.7138037402,48.7265489734,48.7172397451,48.7183885885,48.7220370841
CloudWatch($),28.3003058203,28.437829015,28.9865260727,28.4768780402,28.9377909732,28.9190345895,28.9298949104,25.8237771635,25.8311887388,25.4814461438,25.2685991921,25.0678099895,25.3385091326,25.1528147628,24.9987047135,25.0849319066,25.4477592762
Elastic File System($),24.9721262762,24.9914921039,25.1099354806,25.1310400321,25.0911725353,25.0799319347,25.1983260837,25.1588195511,25.5519028665,25.6673758355,28.3081470381,28.129314737,27.3758294839,27.2895513197,27.561801552,28.7575785435,27.6472916991
DynamoDB($),15.6095271277,15.6101961941,15.6108442885,15.6115068633,15.6121704702,15.6128429882,15.6135118541,15.6141709868,15.6148494167,15.615519614,15.61618778,15.6168169932,15.6174663964,15.6181181646,15.6187684668,15.6194188135,15.6200806619
Elastic Load Balancing($),13.4717016105,13.4185768584,13.427217616,13.4304800902,13.3868263755,13.3713690423,13.4492206732,13.4493010244,13.4764627011,13.4466238903,13.4404994763,13.4140910339,13.4003082802,13.3972579988,13.4484113844,13.4290477536,13.43998421
SES($),3.4696791504,5.768146728,6.3250392988,6.9906022653,6.5539933367,6.5283768576,7.4683858304,6.3906921899,6.7241436158,6.6421884373,6.4462982937,6.0035169001,8.3086376812,7.103619898,6.5325346244,6.5058861163,6.0081318157
OpenSearch Service($),2.6475444127,2.6476198834,2.6473518479,2.6471814941,2.6472219901,2.6472103235,2.647491688,2.6472922326,2.6473287321,2.6472393212,2.647381934,2.6472450525,2.6472570621,2.6471713731,2.6472211313,2.6472665118,2.647283652
Lambda($),1.6385592863,2.6733024366,2.7706481958,2.7931135184,2.571089953,2.5393011502,2.6860028036,2.7546331968,2.7086556343,2.5611947681,2.606222633,2.4122756587,2.4364636328,2.5953662803,2.5425063276,1.9026016893,1.2022813631
Elastic Container Service for Kubernetes($),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Glue($),1.59272388,1.5563064,1.50122896,1.62680144,1.62716928,1.46862276,1.8272830686,1.72606978,1.6733379986,1.6820709163,1.6858163052,1.7092629528,1.7188713549,1.7236445237,1.6864336223,1.5937370809,1.6658872483
ElastiCache($),1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152,1.152
Key Management Service($),0.9726770016,0.9700250016,0.9775100016,0.9902210016,0.9947450016,0.9998030016,0.9872480016,0.9898400016,0.9913880016,0.9996740016,0.9864950016,0.9917120016,0.9932510016,0.9858470016,0.9828290016,0.9743330016,0.9803750016
Cost Explorer($),0.61,0.87,0.87,0.62,0.6,0.62,0.63,0.75,0.93,0.96,0.84,0.61,0.61,0.61,0.71,0.88,0.67
EC2 Container Registry (ECR)($),0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368,0.6188308368
Secrets Manager($),0.428155,0.41247,0.426895,0.427285,0.42654,0.426765,0.427595,0.413515,0.42778,0.4286,0.42806,0.42735,0.427275,0.42721,0.427575,0.4278,0.43026
API Gateway($),0.5530735,0.544229,0.4372032,0.445816,0.37764888,0.3817877,0.37923872,0.38320142,0.38047156,0.38338944,0.37470244,0.37393846,0.3735053,0.37585674,0.37550688,0.37594004,0.37980754
SNS($),0.0028489234,0.0035994592,0.0179448372,0.0175030591,0.0135417174,0.0121596344,0.0218399331,0.0161520442,0.0161399713,0.0162345246,0.0158464319,0.0134864184,0.022143788,0.0190273236,0.0185212073,0.0170312539,0.0165249025
Route 53($),0.2,,,,,,,,,,,,,,,,
SQS($),0.0111304,0.014072,0.0118892,0.0116096,0.0089912,0.0081432,0.014522,0.0107356,0.01068,0.010752,0.0104436,0.0089192,0.0147844,0.0126732,0.012272,0.0112644136,0.0110432
Service Catalog($),0.0,0.0,0.0112,0.0077,0.0049,0.0105,0.0091,0.0098,0.0063,0.0084,0.0112,0.0112,0.0105,0.0119,0.0098,0.0084,0.0091
