Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),2654.2922993518,2778.4630871785,2734.6523328066,2626.627847053,2557.8804817398,2573.8958613173,2653.4253613586,2647.6790621743,2648.9684030504,2561.349797386,2589.4668499769,2574.6740250024,2706.0884552218,2636.5152298699,2487.1204049436,2454.7537119709,2460.4309926257
EC2-Other($),1030.5665231418,1046.6775733234,1031.1164225433,1021.3635970274,1009.8000779392,1009.2793555685,1031.3859292107,1028.1816882101,1036.3608296527,1012.9098441795,1029.3568581621,1030.2476128803,1036.7476931056,1030.712479417,1008.8705700152,1008.9369305938,1011.6529954551
S3($),390.4356445072,404.72996814,420.6253874715,383.8232136918,388.8199211943,386.8135554278,386.3883241488,389.4177409524,391.1624672922,385.4141721059,385.1491370049,378.5164473666,401.1723212436,416.0529923873,384.145274144,369.5088592582,384.7961777667
CloudWatch($),165.8709118126,237.2951367013,235.9962824467,236.4711388708,236.6067165559,227.7717613054,222.2337738102,188.2433810597,80.979831264,27.2521632239,27.3272009895,27.345505972,27.3623191567,27.5475035142,27.6676759311,27.4305593231,27.3390268121
VPC($),126.0865175577,124.9469233069,122.9557962806,120.9863913357,121.2381917367,114.6177222082,119.3035741883,120.8610380741,121.1718391248,118.6160303698,119.1619481471,120.4364417767,115.3349223613,113.7001246096,118.6812564859,118.3818174771,118.5016354937
Elastic Load Balancing($),102.0782710627,102.1272109662,101.594797841,101.976796885,104.3994039127,98.9105680166,101.6481389354,104.2045257163,103.5559078982,102.3401185215,103.528007167,103.6916059765,102.5975393269,102.015194259,100.6537885183,99.1043806911,99.8521180176
ElastiCache($),90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24
Relational Database Service($),69.8510591748,69.8551888992,69.856668297,69.8589105452,69.8635727628,69.8663730775,69.8701800393,69.8707612507,69.8718916641,69.8752775488,69.8757395157,69.8783828062,69.8792799204,69.8820010078,69.8823389247,69.8845373341,69.8828932189
Elastic MapReduce($),62.5990744104,129.2108450804,103.9111379216,49.2479414756,29.125941438,40.3684748446,74.015069426,66.0786906846,79.5987894226,37.9678675112,71.017398592,79.4353692716,137.177087058,111.5378042876,30.451059559,32.9953310222,46.896749023
Textract($),54.0885,69.4995,64.3065,54.2895,44.4315,25.461,43.0965,40.08,40.692,50.1495,47.835,44.4105,22.1895,34.2135,40.032,50.1495,44.6145
Rekognition($),59.9040656,62.6703156,62.7053156,61.2403156,62.2440656,19.3453156,62.9740656,112.4040656,15.2890656,26.6253156,25.5153156,22.6115656,4.3665656,16.6803156,23.4153156,27.9665656,24.9265656
