Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),1286.7595366815,1316.2937394561,1313.3522501998,1309.7871471878,1017.4008885695,1007.7646825181,1310.4874996089,1309.9802985287,1310.27337796,1386.1374194056,1315.5355454847,1033.5515183736,1007.4913765806,1201.9194369356,1215.2706986873,1214.7760608271,1214.6955670993
EC2-Other($),619.4442278989,587.3623267985,509.714471676,498.1990044202,497.1340777237,493.7976373239,496.0833872958,498.2704241271,504.4930235739,521.7445308673,493.959753667,452.6792390533,444.6991035433,441.8386013514,446.6341830103,441.0251357311,441.7157698246
S3($),93.3239518678,97.0588556414,101.3489260004,104.4809087713,107.4778470247,106.9436261872,108.6847081762,107.4838699072,105.0583001482,108.0348895301,108.2637075746,104.6682001237,104.4217349969,105.1591396263,104.5266777921,98.0578378297,92.034516245
SUSE Linux Enterprise Server for SAP Applications 15 SP1($),81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744,81.744
Elastic File System($),85.5247422893,45.1710542627,3.5599052343,3.5612404377,3.5533912966,3.5552719429,50.4759184155,22.0663647687,18.6490096285,18.6523783772,18.6538218393,18.6555737898,18.6556353846,18.6561304188,18.654721966,18.6548629063,18.6544901891
VPC($),21.9708428939,22.020949684,22.071946088,21.9812359777,21.9149936572,21.9151420952,21.9776090488,22.0606521006,22.0128538685,21.9230559661,22.0275413887,21.9693496093,21.8713111012,21.8981741143,21.9606344484,22.0435638744,21.9763372499
SUSE Linux Enterprise Server for SAP Applications 15 SP5($),12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24
Direct Connect($),7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Elastic Load Balancing($),1.7217995515,1.7237084734,1.7246196162,1.7214971962,1.7268591774,1.7214686679,1.7219973138,1.7219514653,1.7700194943,1.7221962115,1.7217332067,1.7213998671,1.7209983336,1.7212739995,1.7218365606,1.7218553965,1.7222081615
CloudWatch($),0.8164601467,0.8535630655,0.8534630654,0.8535030654,0.5477405586,0.5481405591,0.9539086422,0.5080391706,0.561482355,0.6181936508,0.6038437541,0.4983111159,0.4928007021,0.5908419066,0.5913340298,0.5902495853,0.5901729187
Backup($),,,,0.1768010004,0.1768010004,0.1768010004,0.1768010004,,,,0.1759732672,0.1759732672,0.1759732672,0.1759732672,,,
Cost Explorer($),0.05,0.08,0.08,0.07,0.07,0.08,0.08,0.21,0.1,0.05,0.1,0.07,0.06,0.07,0.07,0.07,0.06
Secrets Manager($),0.0266866664,0.0255855553,0.0267016664,0.0266816664,0.0266866664,0.0266966664,0.0267016664,0.0256005553,0.0255605553,0.0266816664,0.0267166664,0.0266966664,0.0267166664,0.0267116664,0.0255905553,0.0266816664,0.0267016664
Service Catalog($),0.0,0.0105,0.0098,0.0063,0.0063,0.0098,0.0091,0.0119,0.0063,0.0063,0.0126,0.0098,0.0112,0.0119,0.0091,0.0077,0.0091
Key Management Service($),0.006924,0.007587,0.007536,0.00756,0.003216,0.002991,0.007599,0.007563,0.00756,0.007983,0.007731,0.003372,0.003567,0.007398,0.007719,0.007479,0.00753
SES($),0.0008001938,,,0.0004001031,,,0.020091356,0.0132043938,0.0236084698,0.0003001403,0.0003001406,,,,0.0004001035,,0.0004001026
Lambda($),0.0002882328,0.0004975988,0.0004457249,0.0005381246,0.000433691,0.0005508144,0.0012598878,0.0011127327,0.0005817645,0.0005680253,0.0004932797,0.0005126543,0.000464955,0.0005153351,0.0004891249,0.0004908487,0.0004923231
Glue($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211,0.000176,0.000173,0.000155,0.000158
SNS($),0.0,2.2e-05,4.3236e-05,3.22237e-05,1.1e-05,2.2e-05,0.0002351018,0.0001338041,6.37467e-05,2.83337e-05,3.85e-05,2.5e-05,3.75e-05,3.85e-05,2.6e-05,1.25e-05,2.6e-05
SQS($),8.4e-06,8e-06,1.24e-05,1.2e-05,4.4e-06,1.2e-05,1.24e-05,8e-06,1.24e-05,1.16e-05,8.4e-06,1.2e-05,1.2e-05,1.2e-05,1.16e-05,1.12e-05,1.72e-05
Simple Workflow Service($),9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,4.767e-07,1.4301e-06,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,1.4301e-06,9.534e-07,9.534e-07,1.4301e-06
Step Functions($),5.001e-07,1.2474e-06,1.0002e-06,9.945e-07,7.473e-07,1.0002e-06,1.2474e-06,1.5001e-06,2.472e-07,7.473e-07,1.5001e-06,1.0002e-06,1.5003e-06,1.2531e-06,7.53e-07,7.473e-07,1.2474e-06
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),2210.8302702761,2171.7923997365,2053.9341233377,2042.0568645991,1751.2232519895,1737.7268452058,2091.8908315911,2063.5451250076,2064.165755642,2160.1085389517,2062.2738106225,1735.2139859509,1700.8151459613,1893.2603258044,1910.6575975846,1898.1660980662,1892.6774896577
