Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),1227.3999257356,1220.6307547679,1264.5889246333,1280.8398964541,1361.1265299224,1370.9323955536,1329.0749313868,1345.6347737729,1267.2139262138,1218.213595713,1225.514661033,1303.3126258324,1239.5756140559,1228.8187344292,1262.7809696604,1287.876511786,1242.1025708138
EC2-Other($),811.0257751867,816.0236244388,814.700515641,800.1805871244,788.1816283309,785.5443600684,818.4945401843,823.0104373571,805.875074912,799.3916073432,805.8580119392,817.1763422167,798.7776930906,791.0410127318,800.3597551067,826.5992005131,809.3954777892
S3($),706.4068720861,704.5926885324,714.4347125516,711.4937159265,695.9702601056,693.0177655877,700.9835018501,700.6085255858,705.0844166302,704.9689208804,698.5583253347,697.4870318688,693.6063791957,701.2646287439,709.4148806923,737.4929101866,711.4495438064
Elastic MapReduce($),443.5330375604,427.7061134184,457.9801454536,481.4043261132,529.114174148,540.8523498564,524.5906339732,521.1757568656,493.5879089616,468.8877095036,476.3064021236,520.5796364236,492.8909873824,482.381026164,503.206976946,517.361598852,505.2748576252
Elastic Load Balancing($),227.7724041904,230.4517403461,225.0889406677,225.3708734994,224.6146646707,202.141520644,221.1643488705,223.7782304182,226.1302315227,224.2601794263,226.4267416867,229.7608358785,213.6601678976,210.0550713131,222.7389025658,223.2629404911,220.9885137658
Relational Database Service($),33.3145427471,33.2899265571,33.3139492504,33.2909508419,33.29079019,33.3166867393,33.2902735188,33.2926933036,33.3151723694,33.2909540292,33.2914188042,33.2918252906,33.2914650261,33.2924986072,33.2899591192,33.289829076,33.2916065846
VPC($),33.0585834966,33.06546015,33.1249125952,33.0550935488,33.1271913173,33.1037175173,33.2356234348,33.4325637869,33.1293148804,33.0621880564,33.0695126139,33.106648331,33.0654832172,33.0528921359,33.0806683218,33.0765304408,33.0713967293
EC2 Container Registry (ECR)($),15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872,15.7224604872
DynamoDB($),2.9710477643,7.3320590052,7.3322049269,7.3317769571,7.3320183315,7.3318259977,7.3321877512,7.3319270057,7.3319499579,7.3319187753,7.3319135393,7.3318850832,7.3322205967,7.33163575,7.3321572714,7.331918305,7.3318847825
CloudWatch($),5.4881766622,5.7164688918,5.7126788849,5.7015791611,5.7142188668,5.7433650487,5.7581712335,4.8174737533,4.8170410578,4.7950553441,4.8222439418,4.8240577464,4.8345010067,4.8479527751,4.8271678325,4.8187032977,4.8233602542
Elastic Container Service for Kubernetes($),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Key Management Service($),3.5665703616,3.5738423616,3.5741933616,3.5760203616,3.5733953616,3.5749103616,3.5752343616,3.5738123616,3.5738513616,3.5759333616,3.5750813616,3.5750543616,3.5757593616,3.5749133616,3.5787143616,3.5744003616,3.5746853616
QuickSight($),3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256,3.2000000256
Glue($),0.67004828,0.68537304,0.68537392,0.6754264,0.67219724,0.6870775387,1.6722074524,1.5662180748,1.5678323284,1.570791662,1.5713274756,1.5691792892,1.5846716228,1.6839602879,1.584796182,1.5891889956,1.6182290092
Lambda($),0.4592622698,0.7336361732,0.7335182248,0.7328980479,0.7329653075,0.7327942731,0.7333215938,0.7330778148,0.733379164,0.7329365708,0.7345680245,0.7327885987,0.7330946042,0.7328786206,0.7297805915,0.7293256611,0.7297400671
Secrets Manager($),0.720845,0.6916555556,0.721355,0.7211,0.720815,0.72113,0.721085,0.6916555556,0.691355,0.72137,0.721115,0.72137,0.721355,0.7211,0.6919105556,0.7208444444,0.721085
Elastic File System($),0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384,0.5050014384
Route 53($),2.8969956,0.3317476,0.1403698,0.1843382,0.139952,0.2160628,0.1412726,0.2433282,0.156169,0.1813434,0.1934274,0.1403116,0.5611222,0.1590208,0.1716308,0.1787126,0.1460794
ElastiCache($),0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128,0.3507376128
Cost Explorer($),0.37,0.14,0.13,0.09,0.09,0.09,0.12,0.52,0.18,0.64,0.21,0.08,0.09,0.08,0.47,0.13,0.26
Redshift($),0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588,0.027588
Service Catalog($),0.0,0.0098,0.0091,0.007,0.0056,0.0091,0.0105,0.0119,0.0042,0.007,0.0119,0.0091,0.0119,0.0112,0.007,0.0063,0.0105
SQS($),0.006532,0.0080788,0.0074056,0.004342,0.0033776,0.002968,0.0077416,0.0082752,0.0060472,0.0054608,0.005602,0.0036016,0.0038464,0.004264,0.0068088,0.0067264,0.0063144
CloudWatch Events($),0.006505,0.007315,0.006193,0.002833,0.001748,0.001339,0.005765,0.004301,0.003367,0.0035,0.003979,0.001959,0.002206,0.003345,0.00437,0.005106,0.00312
SNS($),4.8241e-06,0.0004357315,0.0005597315,0.0004363244,0.0004373244,0.0005602308,0.0004507308,0.0006178244,0.0003792308,0.000436824,0.0005952308,0.0005602308,0.0004867308,0.0006173242,0.0005818242,0.0004368242,0.0004507308
CodeArtifact($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100136
Location Service($),,,,,3e-05,,,,,3e-05,,,,,3e-05,,
Step Functions($),7.473e-07,1.0002e-06,1.5003e-06,1.0002e-06,5.001e-07,1.2474e-06,1.2474e-06,1.0002e-06,1.5003e-06,1.2531e-06,1.0002e-06,1.2474e-06,1.2531e-06,1.2474e-06,1.2531e-06,1.2531e-06,1.2474e-06
Simple Workflow Service($),4.767e-07,9.534e-07,1.4301e-06,9.534e-07,4.767e-07,9.534e-07,9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),3524.2729175529,3509.5965098872,3586.8908437369,3609.268983478,3709.0177822575,3702.6257189821,3705.5175803066,3725.0413573979,3608.007407285,3526.2467219371,3542.8126160265,3678.310603593,3548.9247436355,3523.6625418093,3608.8828508782,3702.6569744824,3599.4063060205
