account_id,service_name,2025-04-23,2025-04-24,2025-04-25,total_cost
2637409966,AWS Service Catalog,0.01,0.03,0.01,0.12
2637409966,Amazon ElastiCache,615.62,618.03,619.83,4320.76
2637409966,EC2 - Other,2229.21,2211.28,2202.5,15485.82
2637409966,Amazon Simple Workflow Service,0,0,0,0
2637409966,Amazon Elastic Load Balancing,78.94,79.95,80.34,558.12
2637409966,AWS Cost Explorer,0.06,0.07,0.05,0.43
2637409966,Amazon Simple Queue Service,0,0,0,0
2637409966,Amazon Elastic Compute Cloud - Compute,1864.93,1869.72,1857.35,13027.32
2637409966,AWS Key Management Service,0.21,0.21,0.21,1.47
2637409966,Amazon Simple Notification Service,0,0,0,0
2637409966,Amazon EC2 Container Registry (ECR),1.34,1.34,1.34,9.38
2637409966,Amazon Virtual Private Cloud,56.27,56.32,56.38,392.8
2637409966,CloudWatch Events,0,0,0,0
2637409966,AWS Secrets Manager,1.25,1.29,1.26,8.99
2637409966,Amazon Managed Streaming for Apache Kafka,12.94,12.94,12.94,90.57
2637409966,Amazon Simple Storage Service,181.29,171.72,163.83,1188.08
2637409966,AWS X-Ray,0,0,0,0
2637409966,AWS CloudTrail,0,0,0,0
2637409966,Amazon Elastic Container Service for Kubernetes,4.8,4.8,4.8,33.6
2637409966,Amazon DynamoDB,1.79,1.79,1.79,12.53
2637409966,Amazon Location Service,0,0,0,0
2637409966,AmazonCloudWatch,116.04,115.25,104.58,799.48
2637409966,Amazon Elastic File System,0.43,0.43,0.43,3.01
2637409966,AWS Lambda,2.15,2.23,2.21,15.35
2637409966,AWS Step Functions,0.06,0.06,0.05,0.41
2637409966,Amazon Relational Database Service,5.1,5.1,5.1,35.7
2637409966,AWS Glue,0,0,0,0
3079193758,AWS Service Catalog,0,0.02,0.01,0.11
3079193758,EC2 - Other,173.26,173.39,174.7,1216.94
3079193758,Amazon Simple Workflow Service,0,0,0,0
3079193758,AWS IoT,1013.84,1020.94,1020.01,7064.76
3079193758,AWS IoT Device Defender,0,0,0,0
3079193758,Amazon Elastic Load Balancing,16.71,16.61,16.88,116.74
3079193758,AWS Cost Explorer,0.09,0.09,0.07,0.59
3079193758,Amazon Simple Queue Service,1.83,1.8,1.87,12.76
3079193758,Amazon Elastic Compute Cloud - Compute,134.06,133.8,133.82,938.68
3079193758,AWS IoT Device Management,368.77,390.24,359.12,2525.83
