"Service","EC2-Other($)","EC2-Instances($)","VPC($)","WorkSpaces($)","S3($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Elastic MapReduce($)","Relational Database Service($)","Red Hat Enterprise Linux (RHEL) 8.10 with support by ProComputers($)","Route 53($)","Secrets Manager($)","SQS($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Service Catalog($)","SES($)","Key Management Service($)","Athena($)","DevOps Guru($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","107902.9043252921","71556.3179389068","4120.7662374255","3806.16275647","2954.2301976125","2043.2873657537","1295.370602973","1061.458613433","952.068","522.1404458283","40.8","28.1510588","23.7319289698","19.9460019827","14.81","9.5528424921","8.5095877102","2.4087","1.4808983365","1.256574","0.872615","0.19208","0.0773381595","0.0240716263","0.000579067","0.0005361849","3.61e-8","0","0","0","196366.52129606"
"2024-04-01","126.5450362315","104.2892159233","11.1541688151","","1.0173143545","3.8199985576","2.4","0.6533653461","1.632","0.8423347405","","2.000468","0.0277883344","0.000004","0.05","0.006095664","0.021312","0","","0.003813","","0","","0","0.0000014182","0.0000007584","","0","0","","254.4629171436"
"2024-04-02","128.3406211207","105.7236554465","12.6952856789","","1.0311080461","3.8273762641","2.4","0.6486407883","1.632","0.8423347407","","0.0005848","0.0277783344","0.0000056","0.06","0.006095664","0.021312","0","","0.003999","","0","","0","0.0000014198","0.0000007616","","0","0","","257.2607996651"
"2024-04-03","128.4890066419","100.94667922","11.2172857293","","1.0912574705","3.8569601139","2.4","0.647473702","1.632","0.8423347373","","0.001258","0.0272777788","0.0000056","0.05","0.006095664","0.021312","0","","0.003999","","0","","0","0.0000014198","0.00000076","","0","0","","251.2329478375"
"2024-04-04","129.0339627521","105.9702489237","11.1276710655","","1.0799340192","3.8250861329","2.4","0.6457950455","1.632","0.8423347374","","0.000718","0.0279183344","0.000012","0.01","0.006095664","0.0213120648","0","","0.003171","","0","","0","0.0000018976","0.0000010224","","0","0","","256.6262626595"
"2024-04-05","123.0684266131","107.7376206371","11.1601701335","","1.1070415194","3.8391398573","2.4","0.6521026378","1.632","0.8423347366","","0.0002008","0.0278783344","0.000008","","0.006095664","0.0213120648","0","","0.002148","","0","","0","0.0000009516","0.0000005168","","0","0","","252.4964804664"
"2024-04-06","120.6676656637","110.0907991905","11.097737898","","1.1065157679","3.8024531281","2.4","0.6488052908","1.632","0.8423347437","","0.000212","0.0276783344","","","0.006095664","0.0213120648","","","0.000015","","","","","","","","0","","","252.3436247459"
"2024-04-07","120.8105889151","110.0507536528","11.0956691252","","1.0962116323","3.8039029722","2.4","0.6451109107","1.632","0.8423347331","","0.0001696","0.0278433344","0.0000088","0.01","0.006095664","0.0213120648","0","","0.001767","","0","","0","0.0000009646","0.000000526","","0","0","","252.4437698952"
"2024-04-08","128.0098797996","112.280245103","11.2260172148","","1.1764441649","3.8537712133","2.4","0.6505487148","1.632","0.842334737","","0.0005524","0.0280583344","0.00002","0.01","0.006095664","0.0213120648","0","","0.003816","","0","","0","0.0000019339","0.0000010552","","0","0","","262.1410983997"
"2024-04-09","136.5968431179","112.5179043475","11.2205381911","","1.2228141874","4.0743698713","2.4","0.6455614639","1.632","0.8423347407","","0.0004244","0.0280883344","0.0000208","0.01","0.0062004883","0.0213120648","0","","0.003072","","0","","0","0.0000014544","0.0000007986","","0","0","","271.2214862603"
