"Service","DynamoDB($)","VPC($)","EC2-Other($)","CloudWatch($)","Route 53($)","Secrets Manager($)","Service Catalog($)","Cost Explorer($)","S3($)","Key Management Service($)","Lambda($)","SNS($)","SQS($)","Athena($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","EC2-Instances($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","6332.9700808728","1926.8677809081","1079.3869241638","205.0936496439","33.4","31.4780981799","13.0802","4.67","3.6140020853","1.231938","0.1478079021","0.0263881331","0.0198508","0.00065","0.0004396067","0.0004339117","0.0004127681","0.0002274213","0","0","0","9631.9888843968"
"2024-04-01","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-02","","","","","","","","","","","","","","","","","","","","","","0"
"2024-04-03","15.7071851514","5.1305031059","2.1695865827","0.1926760112","","0.0633333327","","0.01","0.0001702216","0.000108","0.0000145326","","0.0000012","","0.0000012729","","","0.0000000688","0","0","","23.2735794798"
"2024-04-04","23.8189223182","6.4806405259","2.7346532992","0.2433733468","","0.0779316659","0","0.02","0.00704671","0.00216","0.000016358","0.000000036","0.0000616","","0.00000251","0.000000165","0.0000003132","0.0000001117","0","0","","33.3848089599"
"2024-04-05","23.8064555569","6.480642708","2.7346539124","0.2433733626","","0.0812649992","0","0.02","0.0069878682","0.002268","0.0000125171","0.0000000432","0.0000616","","0.0000012468","0.000000135","0.000000261","0.0000006427","0","0","","33.3757228531"
"2024-04-06","23.7399763517","6.4806450682","2.7346535933","0.2433748412","","0.0799999992","","0.01","0.0069717681","","0.0000179951","","","","0.0000012216","","","0.0000003661","0","","","33.2956412045"
"2024-04-07","23.483020701","6.4806918717","2.7346537394","0.8433733903","","0.0812649992","0","0.02","0.0070499525","0.002052","0.0000131791","0.0000000324","0.000056","","0.0000024703","0.000000179","0.000000261","0.0000004925","0","0","","33.6521792684"
"2024-04-08","23.7537884356","6.4806779976","2.7346533266","0.8433734043","","0.0826449992","0","0.03","0.00704671","0.004428","0.0000168705","0.00000009","0.0001356","","0.0000024811","0.0000003","0.0000006525","0.0000001352","0","0","","33.9367690026"
"2024-04-09","23.441077398","6.4807164729","2.7346532266","0.843373419","","0.0831049992","0","0.02","0.00704671","0.00432","0.0000146807","0.0000000936","0.0001288","","0.000002656","0.000000313","0.0000006264","0.0000000487","0","0","","33.6144394441"
"2024-04-10","23.8588706674","6.4806820981","2.7346533202","0.8433734352","","0.0825299992","0","0.02","0.0070500144","0.004536","0.0000162736","0.0000000828","0.0001288","","0.0000026453","0.00000033","0.0000006264","0.0000001299","0","0","","34.0318444225"
"2024-04-11","23.6899343606","6.480683823","2.7346533869","0.8433734487","","0.0828749992","0","0.02","0.00704671","0.004416","0.0003954527","0.00000009","0.0001456","","0.0000026778","0.000000313","0.0000006525","0.0000001876","0","0","","33.863527702"
"2024-04-12","23.7370748093","6.4806872959","2.7346539081","0.8433734641","","0.0833349992","0","0.03","0.0070499525","0.004434","0.0003835712","0.0000001008","0.0001456","","0.0000025936","0.000000387","0.0000007308","0.0000006382","0","0","","33.9211420507"
"2024-04-13","23.3925336912","6.4806911499","2.7346534705","0.8433734796","","0.0831049992","0","0.02","0.0070500028","0.004536","0.0004186654","0.0000000828","0.0001232","","0.0000025924","0.000000388","0.0000006786","0.0000002595","0","0","","33.5664886599"
"2024-04-14","23.1863105776","6.4807303202","2.7346536061","0.8433734932","","0.0831049992","0","0.02","0.00704991","0.004428","0.0003883404","0.0000001008","0.0001512","","0.0000026385","0.000000416","0.0000007569","0.0000003772","0","0","","33.3601947361"
