"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","VPC($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","OpenSearch Service($)","Cost Explorer($)","DynamoDB($)","Secrets Manager($)","Route 53($)","EC2 Container Registry (ECR)($)","Service Catalog($)","Key Management Service($)","SQS($)","SNS($)","Athena($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"Service total","82132.7700039744","45058.949238411","11920.011265362","6164.6060812774","2152.7013421167","952.8","361.1963251435","82.9408877075","61.4","33.6153671888","7.1708563177","3.4","2.6142786122","2.4178","0.918297","0.2463876124","0.0850500008","0.00113","0.0005750694","0.0005207069","2.443e-7","0","0","0","148937.845406745"
"2024-04-01","117.8932474582","48.7205811004","23.1454803513","14.414353159","3.1450975525","2.4","0.2399999976","10.7598992042","0.04","0.085248","0.0128477788","0.5","0.00596688","0","0.003345","0.000002","0","","0.0000009428","0.0000007488","","0","0","","221.3660701736"
"2024-04-02","197.6858990844","73.7577317334","23.1449928539","14.418366425","3.1448696624","2.4","0.6533333304","10.7598990598","0.07","0.085988","0.0133933344","","0.00596688","0","0.003201","0.0000028","0","","0.0000014142","0.0000007488","","0","0","","326.1436463267"
"2024-04-03","247.9471556752","107.4465775392","23.1488678901","14.3804160895","3.1393436238","2.4","0.6534533304","10.7598990895","0.04","0.085248","0.0134033344","","0.00596688","0","0.003504","0.0000028","0","","0.0000014142","0.0000007488","","0","0","","410.0238404151"
"2024-04-04","296.6753762329","137.2700463625","23.6532971142","14.4029430772","3.136405743","2.4","0.6533333304","10.7598998555","0.05","0.0852485876","0.0134533344","","0.00596688","0","0.003198","0.000006","0","","0.0000018856","0.0000007488","","0","0","","489.1091771521"
"2024-04-05","306.8961105728","139.1708230757","23.1564367635","14.3964149468","3.1328553752","2.4","0.7033333299","10.7598999173","","0.0852485973","0.0134533344","","0.0060452272","0","0.001716","0.0000048","0","","0.0000009428","0.0000004992","","0","0","","500.7223433821"
"2024-04-06","309.0452538075","139.7096174806","23.1676796987","14.8659813825","3.1288500272","2.4","0.7333333296","10.7599008878","","0.0852485792","0.0133333344","","0.0061006824","","","","0","","","","","0","","","503.9152992099"
"2024-04-07","308.8412912529","139.763717209","23.1641867187","14.620985329","3.1217709821","2.4","0.7333333296","10.7599000886","0.01","0.0852485475","0.0134333344","","0.0061006824","0","0.001482","0.000004","0","","0.0000009566","0.0000005068","","0","0","","503.5214549376"
"2024-04-08","311.9913081602","141.007523824","23.2056422073","15.0111634993","3.1326677957","2.4","0.7181365707","7.6215896048","0.01","0.0852485492","0.0135833344","","0.0061006824","0","0.003264","0.0000096","0","","0.0000019128","0.0000010136","","0","0","","505.2062407544"
"2024-04-09","311.7669589061","141.8036172815","23.189719956","14.7579382317","3.1557044128","2.4","0.686666664","","0.01","0.0852485872","0.0135933344","","0.0061006824","0","0.003147","0.0000104","0","","0.0000014349","0.0000010136","","0","0","","497.8787079046"
"2024-04-10","310.2803183018","142.3427715499","23.2567229492","14.413868632","3.1320813385","2.4","0.700466664","","0.01","0.0852485976","0.0135733344","","0.0061006824","0","0.003432","0.0000088","0","","0.0000019128","0.0000007602","","0","0","","496.6445955228"
"2024-04-11","310.2796217183","142.4086601161","23.4565781087","13.9291984882","3.1254528973","2.4","0.686666664","","0.01","0.0852485976","0.0135733344","","0.0061006824","0","0.00273","0.00001","0","","0.0000014349","0.0000010136","","0","0","","496.4038430555"
"2024-04-12","308.1818529334","142.0914980949","23.4512949683","14.4160258436","3.1426981049","2.4","0.687566664","","0.01","0.0852485976","0.0136133344","","0.0061006824","0","0.003198","0.0000108","0","","0.0000019128","0.0000010136","","0","0","","494.4891109499"
"2024-04-13","308.0325033991","143.0317104547","23.6516599868","14.149709105","3.1276552308","2.4","0.686666664","","0.01","0.0852485976","0.0135833344","","0.0061006824","0","0.003198","0.0000108","0","","0.0000019128","0.0000010136","","0","0","","495.1980491812"
"2024-04-14","308.023277789","143.0681403516","23.8383760691","13.6538811868","3.1245839338","2.4","0.686966664","","0.01","0.0852485976","0.0135833344","","0.0061006824","0","0.003198","0.0000112","0","","0.0000019128","0.0000007602","","0","0","","494.9133704817"
"2024-04-15","304.7227063396","143.6953617685","24.0211312201","16.705467407","3.152481556","2.4","0.6956999973","","3.09","0.0852485976","0.0136133344","","0.0061006824","0","0.003276","0.0000112","0.0000000249","","0.0000014349","0.0000010136","","0","0","","498.5911005763"
"2024-04-16","304.3835024159","143.8551901836","24.357004039","17.1243492964","3.1302759129","2.4","0.6453166645","","0.19","0.0852485976","0.0136033344","","0.0061006824","0","0.003198","0.0000108","0.0000000249","","0.0000019128","0.0000010136","","0","0","","496.193802878"
"2024-04-17","304.6219958163","143.9110560704","24.4210604916","16.7139561482","3.1345164248","2.4","0.6008333315","","1.99","0.0852485976","0.0136083344","","0.0061006824","0","0.002574","0.00001","0","","0.0000014349","0.0000007602","","0","0","","497.9009620923"
