"Service","EC2-Other($)","EC2-Instances($)","OpenSearch Service($)","Elastic Load Balancing($)","VPC($)","S3($)","ElastiCache($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Route 53($)","Secrets Manager($)","SQS($)","Glue($)","Service Catalog($)","SNS($)","Lambda($)","Elastic File System($)","CloudWatch Events($)","Backup($)","API Gateway($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","X-Ray($)","Total costs($)"
"Service total","7918.2391216655","3544.0380061623","3514.5944385971","1285.1243708303","770.3942580173","252.4440580893","192.17","147.2082878391","81.698016666","17.2698633577","14.77","5.4922162344","5.3029337079","0.5737042","0.2314855736","0.0597348465","0.0538166848","0.049","0.0385949797","0.0235205069","0.012701856","0.006086","0.0056089035","0.0000926072","0.0000280628","0.0000153188","0","0","17749.7999607067"
"2024-04-01","458.7778905924","212.3715758109","177.9195483835","81.5059081367","45.7244141436","14.7244793308","11.192","9.5708664984","4.8","1.0158757791","0.26","0.3230715432","0.2078810016","0.507304","0.0134133344","0.0034676","0.0000943344","0","0.0000923115","0.001315025","0.000747168","0.000382","0.0003299355","","0.0000013929","0.0000007445","0","","1018.9206590664"
"2024-04-02","461.1834127641","212.9579122542","177.7216865143","88.1834708803","46.0697151596","14.3539548211","11.316","9.7623512312","4.8","1.0158742183","0.25","0.3230715432","0.2466740019","0.0076076","0.0134383344","0.0034772","0.0000993344","0.0063","0.0027900226","0.0013250701","0.000747168","0.000308","0.0003299355","0.000006461","0.0000013929","0.0000007461","0","","1028.2205546532"
"2024-04-03","461.4610909402","213.6544464229","190.4555815674","90.8995574077","45.5942767623","15.1619472899","11.328","9.6980497773","4.8","1.0158742178","0.25","0.3230715432","0.2757116688","0.0031748","0.0128877788","0.003476","0.0000943344","0.0063","0.0022943781","0.0013516955","0.000747168","0.000184","0.0003299355","0.0000043076","0.0000013953","0.0000007493","0","","1044.94845414"
"2024-04-04","462.0179255886","212.4281871397","211.7685405424","90.9452678143","46.5390767265","15.0261493984","11.31","9.7959800102","4.8","1.0158742187","0.41","0.3230715432","0.2755076688","0.0038596","0.0130077788","0.0034936","0.0001133344","0.0014","0.0030308659","0.0013450386","0.000747168","0.000336","0.0003299355","0.0000021538","0.000001862","0.0000007589","0","","1066.6832487467"
"2024-04-05","468.2061230091","209.6534710467","211.9095451561","87.6408828743","45.2232109667","14.5785656943","11.316","9.7524808893","4.8","1.01587422","0.27","0.3230715432","0.2757386688","0.0045868","0.0136933344","0.003514","0.0001143344","0.0014","0.0023426166","0.0012921453","0.000747168","0.000336","0.0003299355","0.0000064614","0.0000014049","0.0000010108","0","","1064.9933292798"
"2024-04-06","464.3089288551","208.0836910875","212.1735459459","76.0518635695","43.5817020538","15.1453874753","11.31","9.6541096055","4.8","1.0158742209","0.22","0.3230715432","0.28674478","0.0034164","0.0137133344","0.0035156","0.0001133344","0.0028","0.0017961945","0.0009750091","0.000747168","0.000156","0.0003299355","","0.0000018676","0.0000007765","0","","1046.9824847567"
"2024-04-07","445.5955960286","206.1816058305","212.1735449505","36.8713481492","43.5289928584","14.3077612821","11.286","9.5323996688","4.8","1.0158742205","0.22","0.3230715432","0.314387558","0.0031346","0.0136983344","0.0035128","0.0048213344","0.0028","0.0009493618","0.0007102486","0.000747168","0.000086","0.0003299355","","0.0000018708","0.000001022","0","","986.1813747653"
"2024-04-08","464.3398099368","207.6682042349","212.1075503861","82.554931338","45.7244633804","14.8318705514","11.328","9.7359571102","4.8","1.0158742208","0.23","0.3230715432","0.341232336","0.0050172","0.0137683344","0.003524","0.0047903344","0.0028","0.0022855891","0.0012681577","0.000747168","0.000412","0.0003299355","0.0000043076","0.0000014057","0.000001022","0","","1055.0359144922"
"2024-04-09","471.951087449","206.0345033559","212.1075575441","69.8748196275","44.7585606695","14.4771611905","11.316","9.6951323806","4.8","1.0158742218","0.21","0.3230715432","0.342495336","0.004754","0.0137433344","0.0035324465","0.0048223344","0.0028","0.0020280799","0.0011944755","0.000747168","0.000682","0.0003299355","0.0000043044","0.0000018708","0.0000007733","0","","1046.9409040408"
"2024-04-10","474.4219351457","204.9649027491","212.2395643802","77.14505361","45.5867161645","15.515121643","11.316","9.731054653","4.8","1.0158742246","1.95","0.3230715432","0.342549336","0.0045672","0.0137233344","0.0035064","0.0048243344","0.0028","0.0027900724","0.0012231017","0.000747168","0.000482","0.0003299355","0.0000064614","0.0000018732","0.0000010156","0","","1059.3868463459"
"2024-04-11","464.0809708148","203.5957578956","211.7685325902","57.9379595629","43.5955551421","14.6088307797","11.316","9.6792178201","4.898016666","1.0158742297","0.19","0.3230715432","0.342504336","0.0033994","0.0137733344","0.0035252","0.0048013344","0.0028","0.001497303","0.001383751","0.000747168","0.000248","0.0003299355","0.0000053845","0.0000014073","0.0000010236","0","","1023.384804622"
"2024-04-12","473.6261775163","204.2315254326","212.1735408514","87.4651655248","45.2621797497","14.9064447799","11.298","6.7990444371","4.8","1.0158742272","1.18","0.3230715432","0.342114336","0.003642","0.0137733344","0.003528","0.0048113344","0.0028","0.0034740596","0.0017936738","0.000747168","0.000448","0.0003299355","0.0000010769","0.0000018756","0.0000007813","0","","1063.4584896377"
"2024-04-13","466.6706137912","201.2510004398","211.9095241924","80.0031641771","46.4572210955","15.0754475804","11.328","6.7386573612","4.8","1.0158742271","0.19","0.3230715432","0.342111336","0.0037098","0.0137683344","0.0035272","0.0048193344","0.0028","0.0023200857","0.0015887619","0.000747168","0.00031","0.0003299355","","0.0000018724","0.00000103","0","","1046.1386092662"
"2024-04-14","460.386278466","197.8296954164","212.173527254","43.2312223498","45.787786825","14.2070229642","11.31","6.6820023797","4.8","1.0158742269","0.19","0.3230715432","0.342300336","0.003048","0.0137733344","0.0035252","0.0048103344","0.0028","0.0013788777","0.0011834085","0.000747168","0.000168","0.0003299355","","0.0000014129","0.0000010268","0","","998.3105484594"
"2024-04-15","471.7045480121","214.4313383039","211.975527289","78.3225137202","46.2089031627","15.6769461766","11.328","6.7868494958","4.8","1.0158742287","5.48","0.3230715432","0.340740336","0.0043922","0.0137833344","0.0035372","0.0048993344","0.0028","0.0039037098","0.0019101478","0.000747168","0.000772","0.0003299355","0.0000107682","0.000001874","0.00000103","0","","1068.4314009703"
