"Service","EC2-Other($)","OpenSearch Service($)","EC2-Instances($)","S3($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","VPC($)","CloudWatch($)","Elastic Load Balancing($)","Backup($)","Elastic File System($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","DynamoDB($)","Route 53($)","SES($)","SQS($)","Service Catalog($)","Glue($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Total costs($)"
"Service total","3270.1137062327","2917.704829779","2082.1740206945","1124.5357317303","287.1905925143","244.8","219.9666151667","44.1205675297","39.0584526733","3.0804719184","2.4574848468","1.2288563424","0.9116422132","0.5","0.3623052274","0.2372532","0.198048968","0.1115860484","0.0266","0.002141","0.0012875206","0.0000286874","0.0000149755","0","10238.7822372686"
"2024-04-01","192.6334641906","171.7027592898","122.5118511616","64.4841925674","16.7141999095","14.4","13.0771711123","3.2917425628","2.2992344078","0.1812349628","0.1405750159","0.0723306672","0.0535433328","0.07","0.0213120722","0.2036544","0.0117919371","0.0051832","0","0.000096","0","0.0000013881","0.0000007365","0","601.8743389144"
"2024-04-02","192.1186117358","171.7027585398","122.5125836854","64.8458583816","16.7505843468","14.4","12.8583153945","3.2892065276","2.2976099536","0.1812347686","0.1406895968","0.0724506672","0.0534883328","0.07","0.0213120722","0.0037768","0.0139949653","0.0070964","0.0028","0.000094","0","0.0000013881","0.0000007365","0","601.3424682926"
"2024-04-03","191.1808923337","171.702759515","122.3437295306","65.0012874381","16.851702405","14.4","12.8910354073","3.2915118126","2.297137493","0.1812351978","0.1412304815","0.0724506672","0.0513161106","0.06","0.0213120722","0.0040226","0.0095850453","0.0060795035","0.0035","0.000103","0.0000000648","0.0000018508","0.0000007365","0","600.5108932655"
"2024-04-04","194.0059962818","171.0817594527","122.5172740055","65.4300567243","17.2772796871","14.4","12.8496417165","3.2914363845","2.2973633262","0.1812373354","0.1432482247","0.0725586672","0.0514861106","0.02","0.0213120722","0.0030498","0.0095821195","0.0063948","0.0014","0.000095","0.0000525","0.0000013881","0.000000982","0","603.6612265783"
"2024-04-05","192.3680933878","171.7027599659","122.5148792782","65.6860546915","16.9121917438","14.4","12.8680702354","3.2914912447","2.296815377","0.181235116","0.1419355166","0.0724806672","0.0538483328","0.02","0.0213120722","0.002047","0.0095815274","0.0071124592","0.0014","0.000128","0.0000790648","0.0000018508","0.0000007365","0","602.5515182678"
"2024-04-06","191.7347653023","171.7027604754","122.4836334276","65.6977874528","16.7636193881","14.4","12.8014015422","3.2914492933","2.2962487506","0.1812356667","0.1423572859","0.0725916672","0.0539133328","0.02","0.0213120722","0.0018388","0.016194704","0.00708","0.0014","0.000105","0.0000875","0.0000018508","0.000000982","0","601.6897844939"
"2024-04-07","192.0942041995","171.7027607966","122.5186807078","65.75731854","16.7882823665","14.4","12.7993841348","3.2913459359","2.2963945997","0.1812357393","0.1426530112","0.0724476672","0.0539583328","0.02","0.0213120722","0.0015096","0.0139877961","0.0070376","0.0014","0.000117","0.000084","0.0000013881","0.000000982","0","602.1641164697"
"2024-04-08","192.8567339776","171.7027613309","122.51821896","65.8495461253","16.8067680453","14.4","12.8626656615","3.291408752","2.2968452652","0.1812363285","0.1428614449","0.0714636672","0.0540133328","0.02","0.0213120722","0.0017036","0.0095754375","0.0070132","0.0014","0.000118","0.0000875","0.0000018508","0.000000982","0","603.0957355337"
"2024-04-09","192.6683084988","171.7027662414","122.5157546301","65.9262198608","16.8342382729","14.4","12.8369290086","3.2914441422","2.2971768181","0.1812373508","0.1427788111","0.0724476672","0.0540333328","0.02","0.0213120722","0.0017578","0.0095725096","0.0069392","0.0014","0.000116","0.000098","0.0000018508","0.0000007365","0","602.9845328039"
"2024-04-10","191.9843086585","171.7027684161","122.5184417877","66.3645459111","16.7862762381","14.4","13.020858238","3.292273145","2.2991485197","0.1806849933","0.1927183069","0.0724506672","0.0539633328","0.02","0.0213120722","0.0017662","0.0161859651","0.0064832","0.0014","0.000114","0.000084","0.0000018508","0.000000982","0","602.9357864845"
"2024-04-11","191.5012421611","171.0817522101","122.5168554615","66.3708427773","16.7252908145","14.4","13.0370483336","3.2929132369","2.2974902804","0.1812366972","0.1400205326","0.0724506672","0.0537883328","0.02","0.0213120722","0.001582","0.0095737301","0.0070568","0.0021","0.000125","0.000077","0.0000013881","0.000000982","0","601.7327604776"
"2024-04-12","192.4127130327","171.70274728","122.5153932759","66.5287597726","16.8089368904","14.4","13.0949385632","1.3222359454","2.2989962392","0.1812353505","0.1396616044","0.0724596672","0.0540333328","0.03","0.0213120722","0.0017982","0.0095753751","0.006162","0.0014","0.000103","0.0001256319","0.0000018508","0.0000007365","0","601.6025898208"
"2024-04-13","198.9218923355","171.7027454669","122.5149504915","66.8137371021","18.4196163004","14.4","13.0781863228","1.3177001817","2.298038242","0.1812392336","0.1453904742","0.0725916672","0.0540383328","0.02","0.0213120722","0.0018914","0.0117749864","0.0088156857","0.0014","0.000112","0.0001132591","0.0000018508","0.000000982","0","609.9855483869"
"2024-04-14","191.0745098867","171.7027460093","122.4144521061","66.9368207335","16.6908021867","14.4","13.0481765469","1.3174463431","2.2970619089","0.1812393075","0.1402565958","0.0713196672","0.0540583328","0.02","0.0213120722","0.001722","0.0117719905","0.0071968","0.0014","0.000115","0.0001015","0.0000013881","0.000000982","0","600.3925113573"
"2024-04-15","191.0475834543","171.7027491268","122.5193836224","67.1799884387","16.7023597736","14.4","13.1123838841","1.3201177901","2.2978079972","0.1812390597","0.1393950338","0.0714636672","0.0540883328","0.02","0.0213120722","0.0016372","0.0117689055","0.00518","0.0014","0.000207","0.000098","0.0000018508","0.0000007365","0","600.7901659457"
"2024-04-16","190.6542993866","171.7027423241","122.3692085668","67.6168168835","16.6875579555","14.4","12.9001914633","1.3179744625","2.2982809256","0.1812374597","0.1407811679","0.0724476672","0.0540333328","0.02","0.0213120722","0.001718","0.0139703365","0.00524","0.0014","0.000211","0.0000945","0.0000018508","0.000000982","0","600.459520337"
"2024-04-17","190.8560874094","171.7027333382","122.3687299958","68.0458983297","16.6708861901","14.4","12.8302176017","1.3188697694","2.2968025691","0.181237351","0.1409317426","0.0724506672","0.0540383328","0.03","0.0213120722","0.0017778","0.009561637","0.0055152","0.0014","0.000182","0.000105","0.0000018508","0.000000982","0","601.008739839"
