"Service","S3($)","EC2-Instances($)","Elastic MapReduce($)","EC2-Other($)","VPC($)","Elastic File System($)","Relational Database Service($)","CloudWatch($)","Elastic Load Balancing($)","DynamoDB($)","SES($)","OpenSearch Service($)","Elastic Container Service for Kubernetes($)","Lambda($)","Glue($)","ElastiCache($)","Key Management Service($)","SageMaker($)","Cost Explorer($)","API Gateway($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","SNS($)","Route 53($)","SQS($)","CloudWatch Events($)","Service Catalog($)","Athena($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","X-Ray($)","Total costs($)"
"Service total","89049.9982348595","78637.8227836488","52039.1728151244","17537.6163634717","1825.5897823159","1215.7492177989","913.4508759346","460.7778534087","340.2226768812","261.081011288","85.2432572325","45.0012248485","40.8","31.0858843341","27.4683043978","19.584","14.952247356","11.9317333152","10.82","7.60531492","7.5823381268","6.740585","0.2287316704","0.2","0.1879024136","0.0477","0.0315","0.00095","0.0003792471","0.0000282247","0.0000144845","0.000003","0","242590.9937133029"
"2024-04-01","7725.7902378228","4513.2339324447","3160.572481848","932.8570830458","118.9316186527","72.7348739044","53.6982678652","28.3025632627","20.7742814137","15.3516909292","4.2997448814","2.6471668017","2.4","1.8189849062","1.5402934408","1.152","0.875833668","0.7018666656","0.57","0.6178515","0.4202721348","0.378945","0.0034780891","0.2","0.0136248","0.002939","0","","0.000022305","0.0000013881","0.000000491","0","0","16659.8900562609"
"2024-04-02","5660.2105634752","4492.8915332674","3033.534564762","971.6996433914","120.9572465526","70.790272018","53.7123492704","28.5575138463","20.8269153","15.3524183652","3.3138373605","2.6471761727","2.4","2.9076406597","1.6058166008","1.152","0.870517668","0.7018666656","0.67","0.4783492","0.4209463014","0.394125","0.0027676965","","0.01099","0.003059","0.0091","","0.0000223123","0.0000009254","0.0000007365","0","0","14486.1212365479"
"2024-04-03","6111.7656802746","4574.1276344253","3092.8508642728","1027.0411371042","118.6538194598","70.8802692458","53.7332077487","28.247669932","20.8272071822","15.3531670106","3.1265363222","2.6470780836","2.4","1.6156169055","1.5601325608","1.152","0.875668668","0.7018666656","1.2","0.493738","0.4211569497","0.394955","0.0026017864","","0.010244","0.002755","0.0035","","0.0000222997","0.0000013881","0.0000007365","0.000003","0","15130.0885340221"
"2024-04-04","6034.0477123305","4576.3911106423","3006.337975194","1035.1360489126","117.5333312119","70.9646010799","53.7374786158","28.2757400761","21.0776927283","15.3539136096","3.4757299122","2.6471249754","2.4","1.6272130589","1.5496388008","1.152","0.881392668","0.7018666656","0.53","0.42688632","0.4724962316","0.38198","0.0031257317","","0.01118","0.00315","0.0014","","0.0000223123","0.0000018508","0.0000007365","0","0","14975.1208136648"
"2024-04-05","4946.5378021997","4397.8955216562","2900.1038675704","945.1915464482","111.5637276313","71.0497970749","53.7390919483","27.9100295145","20.7159286703","15.3546716062","3.3360493886","2.6471767775","2.4","1.610220886","1.5672871208","1.152","0.881503668","0.7018666656","0.51","0.43305766","0.421441212","0.3984","0.0165846305","","0.01088","0.00271","0.0014","0.00095","0.0000223148","0.0000018508","0.000000982","0","0","13506.1535374766"
"2024-04-06","4618.4431991476","4451.6271427192","2950.710407978","921.5621558672","105.0893099473","71.1321578664","53.7399753691","27.9361106054","20.6700152001","15.3554306531","3.5663720708","2.6470592828","2.4","1.5620200716","1.5243280408","1.152","0.885076668","0.7018666656","0.51","0.43886486","0.421441212","0.39785","0.0134779879","","0.0088212","0.002118","0.0007","","0.0000222921","0.0000018508","0.000000982","0","0","13252.4979265378"
"2024-04-07","4527.1309720353","4491.4169108482","2952.6290981932","954.6417038073","102.7676532951","71.2140985138","53.7329971357","27.9058045092","20.6493922177","15.3562023477","3.4706762256","2.6470458741","2.4","1.5540567968","1.6349021705","1.152","0.883450668","0.7018666656","0.51","0.43428812","0.421441212","0.39853","0.0113653729","","0.007406","0.002225","0.0014","","0.0000223173","0.0000013881","0.0000007365","0","0","13233.6755114506"
"2024-04-08","5105.7636329919","4557.108878281","3068.4702398008","991.9763107745","105.2434647175","71.3107353088","53.7377743041","27.9509372868","20.5028382677","15.3569776592","3.7399573936","2.6470967124","2.4","1.6031901418","1.616317855","1.152","0.877279668","0.7018666656","0.51","0.4238423","0.424474584","0.398745","0.0199986376","","0.0130632136","0.002499","0.0014","","0.0000223197","0.0000018508","0.000000982","0","0","14033.9535457164"
"2024-04-09","5132.7590820136","4477.3182374087","2978.6484127824","1014.8814954206","104.7797860472","71.4076383369","53.7333514634","28.1311368853","20.2091390079","15.3577222024","4.7650519899","2.6471194377","2.4","1.6917860091","1.6780444486","1.152","0.878662668","0.7018666656","0.57","0.42354956","0.431709925","0.401585","0.0170699881","","0.011128","0.002808","0.0014","","0.0000223101","0.0000018508","0.000000982","0","0","13914.9998084033"
