"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","VPC($)","CloudWatch($)","Relational Database Service($)","QuickSight($)","DynamoDB($)","Key Management Service($)","Glue($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Elastic File System($)","Secrets Manager($)","Route 53($)","Config($)","CloudWatch Events($)","Service Catalog($)","SNS($)","Lambda($)","Athena($)","Location Service($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Migration Hub Refactor Spaces($)","Total costs($)"
"Service total","22914.6987171261","21394.9279353993","13449.137415814","8445.7423945149","922.0621432894","424.6624697893","123.0305929878","83.0742730344","7.970700648","6.4005593832","3.8561442555","2.6304354456","2.42","2.4014995056","1.5937438934","1","0.969","0.048643","0.0287","0.0279079254","0.0250555309","0.003595","0.000867","0.0008032","0.000027762","0.00001473","0","0","67786.7136392348"
"2024-04-01","1838.4632981889","1233.5741633852","1102.833919402","611.7501436743","55.2176399949","27.7049889112","7.2590717001","4.8867219432","0.468864744","0.3774546696","0.3083458408","0.1547314968","0.27","0.1412646768","0.0935533336","1","0.066","0.004793","0","0.0008568977","0.0017561007","0.00015","0.00005","0.000014","0.0000013881","0.000000491","0","0","4884.5777838389"
"2024-04-02","1617.493826188","1258.7553698832","989.707482816","561.9345210646","56.104878909","26.228304952","7.2649791901","4.8867219432","0.468864744","0.3771126696","0.2936791208","0.1547314968","0.64","0.1412646768","0.0936283336","","0.06","0.003592","0.0084","0.000868058","0.0017466073","0.002125","0.00004","0.0000152","0.0000013881","0.0000007365","0","0","4524.6221549776"
"2024-04-03","1677.4329172265","1245.8088436546","1023.2298096112","553.7753800034","55.0697661445","25.1809242204","7.2740273875","4.8867219432","0.468864744","0.3775896696","0.2052623208","0.1547314968","0.11","0.1412646768","0.0897794447","","0.051","0.003414","0.0014","0.0007291114","0.0016226796","0.00055","0.0000495","0.0000184","0.0000013881","0.000000982","0","0","4594.2646686051"
"2024-04-04","1735.0313635434","1300.0910239749","1068.3183478624","602.3329008799","55.0150494452","26.8240277032","7.2675327539","4.8867219432","0.468864744","0.3770856696","0.1999339208","0.1547314968","0.31","0.1412646768","0.0900344447","","0.051","0.003468","0.0014","0.0013439593","0.0018028768","","0.00003","0.0000332","0.0000013881","0.0000007365","0","0","4801.5679632195"
"2024-04-05","1454.0970949176","1295.254223666","855.2874742104","498.9484306327","54.9812555126","26.3331242017","7.2334667099","4.8867219432","0.468864744","0.3758556696","0.1911986808","0.1547314968","0.07","0.1412646768","0.0941133336","","0.06","0.002614","0.0021","0.0016647886","0.001434353","","0.0000895","0.0000472","0.0000018508","0.000000982","0","0","4198.5857730701"
"2024-04-06","1051.4313293045","1217.1288136062","584.6305169848","364.9865774848","54.7917320037","24.5074552959","7.176521595","4.8867219432","0.468864744","0.3756006696","0.1934289608","0.1547314968","0.02","0.1412646768","0.0942383336","","0.048","0.001275","0.0014","0.001682959","0.0011604328","","0.00005","0.0000484","0.0000018508","0.0000007365","0","0","3311.0414164788"
"2024-04-07","1073.4085323278","1226.3963156135","588.971806912","366.8409149835","54.7768811518","23.5568909861","7.1740587576","4.8867219432","0.468864744","0.3770886696","0.2547847296","0.1547314968","0.02","0.1412646768","0.0943433336","","0.057","0.001165","0.0014","0.0019035801","0.0011190195","","0.00004","0.0000508","0.0000013881","0.000000982","0","0","3347.5858810956"
"2024-04-08","1268.9251217723","1226.1872531319","731.5337345","484.2735320417","55.1860663876","24.5296014257","7.2380684121","4.8867219432","0.468864744","0.3771336696","0.2584669991","0.1547314968","0.19","0.1412646768","0.0943883336","","0.069","0.002729","0.0014","0.0018265635","0.0015130328","","0.0000495","0.0000504","0.0000018508","0.000000982","0","0","3804.5215208635"
"2024-04-09","1409.9976870218","1240.110308309","844.5665825704","556.8545004901","54.9184823865","25.7798993313","7.2732539413","4.8867219432","0.468864744","0.3760896696","0.1936636607","0.1547314968","0.07","0.1412646768","0.0941633336","","0.054","0.003463","0.0014","0.0019995034","0.0015952568","","0.00003","0.0000552","0.0000018508","0.000000982","0","0","4145.9487593681"
