"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","ElastiCache($)","Managed Streaming for Apache Kafka($)","Relational Database Service($)","Elastic Load Balancing($)","Athena($)","DynamoDB($)","EC2 Container Registry (ECR)($)","CloudWatch($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Glue($)","CloudTrail($)","Key Management Service($)","WAF($)","Route 53($)","Secrets Manager($)","CodePipeline($)","Cost Explorer($)","DevOps Guru($)","Lambda($)","CodeBuild($)","Elastic File System($)","API Gateway($)","Backup($)","Compute Optimizer($)","CloudFront($)","Service Catalog($)","CloudWatch Events($)","SNS($)","DocumentDB (with MongoDB compatibility)($)","SQS($)","Systems Manager($)","Keyspaces (for Apache Cassandra)($)","Amplify($)","Simple Workflow Service($)","Step Functions($)","Elastic Container Service($)","Total costs($)"
"Service total","19550.3194130461","12803.6114672165","8392.1146697794","6640.520939955","4797.494","2668.0198087902","2462.4027970876","2322.3168084102","970.6024","850.2331217496","670.6943710515","650.7348681294","367.2371255984","122.4000007362","122.4","24.8113519372","20.5937359989","11.0334627528","4.6543980984","4.6505086","3.5893016561","2","1.75","1.07524","0.9189314555","0.48","0.3929319184","0.2538471369","0.2369329042","0.137096772","0.1040565992","0.035","0.011694","0.0116497635","0.0016453008","0.000756","0.000546","0.0003923606","0.0001363069","0.0000282247","0.00001473","0","63467.8454500662"
"2024-04-01","1197.6240217561","746.1110287548","531.9058250954","386.4996321071","283.918","152.093624934","163.9938336314","84.3315881211","58.54992","46.350932849","37.954856289","46.8743564504","22.1527498123","7.2000000041","7.2","1.35338792","1.2679353583","0.6494193384","0.4035005352","0.8147464","0.2000933328","0","0.06","0.30268","0.0386006102","0","0.0259190007","0.0170709523","0.0135370688","0.008064516","0.00323215","0.0035","0.000655","0.0002201072","0.0000967824","0.00001","0","0.0000230775","0.0001348366","0.0000013881","0.0000007365","0","3777.9231989157"
"2024-04-02","1133.5307690856","752.0423689215","484.5545877116","381.6256582087","284.868","156.8983886282","150.5746134706","110.669582387","70.67624","52.9922952104","38.369623038","45.7508755133","21.963915768","7.2","7.2","1.6399308","1.2565441108","0.6472683384","0.3321449352","0.4340808","0.2004883328","","0.14","0.30268","0.0486912375","0.092","0.0284981841","0.0176166086","0.0135387234","0.008064516","0.0036938425","0.0091","0.000944","0.0001813554","0.0000967824","0.0000144","0","0.0000230788","","0.0000013881","0.0000007365","0","3704.0925201134"
"2024-04-03","1167.7613166603","744.9473530283","524.5713229148","405.7159157551","282.014","159.5511632625","150.737672318","112.5153552153","70.25599","51.6095176756","38.6772498619","46.5950704789","21.860613701","7.2000007321","7.2","1.37998008","1.2581281346","0.6497493384","0.2797139352","0.4193796","0.2002483328","","0.13","0.30272","0.0723037297","0.042","0.0206010162","0.0169414602","0.0135413529","0.008064516","0.00258005","0.0035","0.000667","0.0000129031","0.0000967824","0.0000164","0","0.0000230808","","0.0000013881","0.0000007365","0","3796.0128114407"
"2024-04-04","1158.8252307519","753.2746436444","501.2390813724","394.7507330352","281.75","158.4802684639","145.8221483035","128.9027927074","68.506775","49.7287740113","38.9507900802","45.8698514101","21.720685604","7.2","7.2","1.43172492","1.2802824292","0.6517383384","0.2728343352","0.215433","0.1939611106","","0.09","0.1534","0.0531971412","0.048","0.0207627112","0.0161677345","0.0135438824","0.008064516","0.0121950451","0.0014","0.000626","0.0002284429","0.0000967824","0.00003","0.000546","0.0000230798","0.0000008916","0.0000018508","0.0000007365","0","3766.6860333321"
"2024-04-05","1149.9451124691","750.5961474224","476.6838782636","390.8830046244","282.2","156.5152800261","143.9933402528","141.5907840838","61.124165","53.0407365504","39.1957488053","46.4826203352","21.7905980739","7.2","7.2","1.38400468","1.3746710312","0.6478713384","0.2594525352","0.2167676","0.2016083328","2","0.09","0.00088","0.050291951","0.016","0.0199272996","0.0156469072","0.0135535522","0.008064516","0.0025353","0.0007","0.000861","0.0013221142","0.0000967824","0.0000444","0","0.0000230793","","0.0000013881","0.000000982","0","3734.7457406966"
"2024-04-06","1070.9481924545","724.1540693029","419.91220894","365.9911947711","282.144","156.5374176131","137.1397434746","142.3600090859","51.76442","49.9790045599","39.3179369375","44.9597103286","21.6046556546","7.2","7.2","1.37060568","1.2895031132","0.6465123384","0.2607359352","0.2030232","0.2091333328","","0.09","0.00092","0.0388780402","","0.0200744764","0.0135759411","0.0135546343","0.008064516","0.00265595","0.0014","0.000398","0.0003365692","0.0000967824","0.0000484","0","0.0000230802","0.000000046","0.0000018508","0.000000982","0","3525.3821059909"
"2024-04-07","1103.7811658037","733.5759324274","453.57370835","373.4315801224","283.082","156.2253445667","137.1193552032","143.388316318","52.968485","50.0177284966","39.3195657308","45.1236210245","21.6204487015","7.2","7.2","1.3420932676","1.2640357647","0.6472983384","0.2568845352","0.1906766","0.2099233328","","0.09","0.001","0.0388874303","","0.0185622269","0.0140128902","0.0135703207","0.008064516","0.00306525","0.0014","0.000679","0.0003973777","0.0000967824","0.000048","0","0.0000230804","","0.0000018508","0.0000007365","0","3611.7279730454"
"2024-04-08","1152.9790548788","752.425538681","498.9920929308","387.1334855601","282.448","156.8585637876","147.0889316921","150.9024639583","66.300455","50.250698609","39.4244678391","45.2834608913","21.5920542264","7.2","7.2","1.3732761905","1.2029837125","0.6499233384","0.2609201352","0.2155874","0.2025533328","","0.09","0.001","0.0510830534","0.158","0.0177693861","0.0158179872","0.0135715547","0.008064516","0.00257625","0.0014","0.000946","0.0003982368","0.0000967824","0.0000504","0","0.0000230805","","0.0000013881","0.000000982","0","3770.3453117811"
"2024-04-09","1123.571750049","744.017408057","472.0912739648","390.7437265398","281.132","158.5594437886","143.1443184677","150.22630876","61.55492","50.1177881988","39.6880669083","46.3294376497","21.4691675167","7.2","7.2","1.4304174927","1.2044012174","0.6498903384","0.2613905352","0.20672","0.2013383328","","0.09","0.00108","0.056106896","0.048","0.017913582","0.0156468618","0.013572841","0.008064516","0.00350335","0.0014","0.000647","0.0003998051","0.0000967824","0.000056","0","0.0000230794","","0.0000018508","0.000000982","0","3701.2562813634"
"2024-04-10","1126.0152630645","771.5370545517","479.0674093072","390.9740371813","282.94","158.5814425867","144.78939784","156.06730839","58.72082","50.7762351347","39.8988461808","47.8733557659","21.4974673261","7.2","7.2","1.5083325805","1.1363918478","0.6497463384","0.2550887352","0.2085452","0.2013333328","","0.09","0.001","0.0528501304","0.024","0.0515814716","0.0151028309","0.0141702221","0.008064516","0.00593335","0.0014","0.000646","0.0009244889","0.0000967824","0.0000424","0","0.0000230805","0.0000001759","0.0000018508","0.0000007365","0","3747.3639133996"
