"Service","EC2-Other($)","EC2-Instances($)","S3($)","SageMaker($)","VPC($)","Managed Streaming for Apache Kafka($)","CloudWatch($)","Elastic Load Balancing($)","Relational Database Service($)","QuickSight($)","Elastic Container Service for Kubernetes($)","Elastic MapReduce($)","Config($)","Glue($)","ElastiCache($)","EC2 Container Registry (ECR)($)","Step Functions($)","Kinesis($)","Transfer Family($)","Key Management Service($)","SQS($)","Cost Explorer($)","Secrets Manager($)","DynamoDB($)","Route 53($)","Lambda($)","Kinesis Firehose($)","Athena($)","Direct Connect($)","Elastic File System($)","SNS($)","CloudWatch Events($)","Service Catalog($)","SES($)","Backup($)","Simple Workflow Service($)","API Gateway($)","CloudShell($)","CloudTrail($)","Total costs($)"
"Service total","77334.6423479088","25453.5752888291","7530.8534128999","4591.20191773","1694.592317109","1692.7137067242","1609.5805616601","1381.2592116484","1234.1722469235","775.2000062016","612","514.0885888152","497.052","433.165243135","400.499","347.1206430971","344.6256362443","214.4420772915","122.4","57.1314579815","52.6108575577","50.25","40.5071994493","34.1361251744","27.9201444","14.1055630793","2.465674753","0.659445","0.3719842636","0.209265036","0.0927245432","0.054844","0.0427","0.0275241486","0.000089165","0.0000285296","0.0000047742","2.46e-8","0","127063.7698380977"
"2024-04-01","5142.4949509677","1665.409730217","474.9770116444","274.8869463017","99.8444575675","95.8870276062","111.127655144","85.098399435","72.6066027008","45.6000003648","36","30.24","31.098","13.08355716","23.302","19.7596520827","14.0358802445","12.616043052","7.2","3.4062098026","2.7346379909","2.31","2.2540255553","1.9821950645","4.2848324","0.275661925","0.1797380154","0.163845","0.0218932463","0.012309708","0.0001163149","0.003624","0","0.0022015815","0.000005245","0.0000013929","","","0","8272.8992117306"
"2024-04-02","4853.8915530555","1579.75189128","467.2733089183","249.3712060346","100.365313619","95.9089469143","115.4326084872","84.4179474498","72.6186519716","45.6000003648","36","30.24","41.238","32.02241708","23.354","19.8473726819","0.1041453825","12.6159964135","7.2","3.3395980248","3.2957111059","4.93","2.3755733329","1.9821562007","2.6977376","0.2548440047","0.1736077586","0.117745","0.0218981238","0.012309708","0.0039284306","0.004581","0.0035","0.0016011549","0.000005245","0.0000013946","","","0","7886.4681577375"
"2024-04-03","4654.269053858","1552.9453786147","454.3155722597","317.1272165209","100.3510899632","95.8423931102","115.6475117564","82.3598018488","72.6203840782","45.6000003648","36","30.24","26.7","4.08068908","23.563","19.9722488163","51.5766013023","12.6158699475","7.2","3.3311500248","3.0960976244","3.96","2.3035244446","1.9823886391","2.4795816","1.1545738124","0.1711606493","0.028085","0.0218994506","0.012309708","0.0034382041","0.002866","0.0028","0.0016012156","0.000005245","0.0000013937","","","0","7721.5782945326"
"2024-04-04","4660.3939184239","1556.3314873641","457.8938762693","223.3115815542","99.9376057541","95.7948848278","114.7786933736","86.3280128711","72.633137556","45.6000003648","36","30.2485888152","40.842","4.1612798","23.758","20.0960059761","35.4660185019","12.616341198","7.2","3.3359290248","3.113700618","2.84","2.3128038894","1.9825209115","1.2583256","0.8321963088","0.1759514319","0.042915","0.0218834964","0.012309708","0.0052464001","0.005212","0.0014","0.0016012495","0.000005245","0.0000014001","","","0","7639.3334349336"
"2024-04-05","4614.2018442048","1559.4652593462","466.5158927614","292.1470393139","99.4112285172","95.8663876057","115.0657431852","88.9018519575","72.6135455273","45.6000003648","36","30.24","28.35","106.72093296","23.577","20.1868406459","21.9550815523","12.6157282375","7.2","3.3349930248","3.4117226","2.76","2.4024866672","1.9820443762","1.343685","0.5641620356","0.1759801287","0.04862","0.0218486947","0.012309708","0.0079080463","0.003548","0.0014","0.0018017735","0.000005245","0.0000018676","","","0","7752.7068933473"
"2024-04-06","4588.3827530143","1534.4682345642","436.992082624","276.5767143227","98.3712601593","95.8388946652","114.1926776434","81.5619083671","72.6018122127","45.6000003648","36","30.24","22.194","1.813805","23.263","20.2192714879","43.2970582701","12.6148279535","7.2","3.3223150248","3.4255784","2.45","2.3805116672","1.9820228822","1.2141936","0.8972440489","0.1519248871","","0.0218952194","0.012309708","0.0056621688","0.002359","0.0028","0.0006007621","0.000005245","0.00000187","","","0","7557.2977251327"
"2024-04-07","4595.9247982761","1527.0517238891","420.867514647","249.4410375965","98.2641603569","95.7648621771","113.2597150445","81.415541022","72.6191410508","45.6000003648","36","30.24","20.034","1.8977291317","23.432","20.2311956622","0.9273340188","12.612470813","7.2","3.3037240248","2.8603652","2.54","2.3742466672","1.9820224873","1.1781932","0.2433397935","0.1181715114","","0.0218810275","0.012309708","0.0065121902","0.002185","0.0028","0.0041050304","0.000005245","0.0000014081","","","0","7467.4330865439"
"2024-04-08","4485.2958653684","1493.1976080864","431.7012231081","319.4291137237","100.0205315678","95.8274198947","115.2699847905","80.2137572898","72.6123534043","45.6000003648","36","30.24","34.158","9.0884460004","24.008","20.3071982263","47.8401417556","12.6147034855","7.2","3.3508930248","2.8228451654","2.17","2.4273966672","1.9822091762","1.2551124","1.1285458206","0.1490735996","0.02505","0.0218648076","0.012309708","0.0069891278","0.003691","0.0028","0.0016012544","0.000005245","0.0000018732","","","0","7475.9847359361"
"2024-04-09","4415.9863864373","1458.9315770929","433.7662772092","223.602303221","100.0286512665","99.460810248","114.9714175428","79.2449534605","72.5991450609","45.6000003648","36","30.24","36.798","107.5449363541","23.605","20.4080245851","0.9953992261","12.6138495995","7.2","3.3427224694","2.8859576016","2.55","2.4183466672","1.9822580408","1.2279582","0.7382340014","0.13407545","0.016005","0.0219015403","0.012309708","0.007734867","0.004198","0.0028","0.001601257","0.000005245","0.0000018724","","","0","7334.9428415888"
