"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Elastic MapReduce($)","Relational Database Service($)","VPC($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Key Management Service($)","Lambda($)","QuickSight($)","Glue($)","CloudFront($)","Athena($)","Secrets Manager($)","Elastic File System($)","Route 53($)","ElastiCache($)","Cost Explorer($)","Redshift($)","SQS($)","CloudWatch Events($)","Service Catalog($)","SNS($)","Direct Connect($)","SES($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CodeArtifact($)","Systems Manager($)","Total costs($)"
"Service total","26425.5280935635","15217.8568079707","11228.0289626953","8136.5252332154","7834.2684774472","1147.7070389761","619.3046016244","530.4","272.0354170771","125.3545212013","119.6212163247","74.0847475848","72.3654625416","54.4000004352","22.6062105976","22.5855579","16.71241","12.2946811112","8.5850244528","6.9361268","5.9625394176","1.08","0.468996","0.1086618064","0.043334","0.0315","0.0250841503","0.0103791563","0.0006002754","0.0000417422","0.0000098136","0.0000055888","0","0","0","71954.9317434695"
"2024-04-01","1526.9026983898","899.5985875485","665.4757461543","395.3911314457","447.236317224","67.5110991412","39.870475082","31.2","16.1652060794","6.4173044616","2.3279376685","4.3574320344","3.371755891","3.2000000256","1.2162442024","1.993325","","0.6932455556","0.5050014384","2.862894","0.3507376128","0.08","0.027588","0.004155052","0.002641","0.0049","0.0000091841","0.0006005405","","0.0000022752","0.0000001305","0.000000075","0","0","","4116.7670352125"
"2024-04-02","1590.6131850715","916.9350464271","664.5709325638","417.7778403492","512.7625324724","67.5101259137","39.0577749428","31.2","16.1085481499","8.4280983916","7.3319657555","4.3584280344","4.4232701235","3.2000000256","0.9845971224","1.57474435","","0.722675","0.5050014384","0.2900104","0.3507376128","0.14","0.027588","0.006077094","0.003531","0.0042","0.0000008673","0.0006204853","","0.0000024849","0.0000002088","0.000000105","0","0","0","4288.8875343899"
"2024-04-03","1566.3346851035","899.8784914908","664.4881182816","413.1444186731","484.0840693724","67.5124991694","38.2139875263","31.2","15.8010852819","8.4009337103","7.3319063441","4.3584070344","4.42329439","3.2000000256","1.0324683224","1.287976","3.604545","0.6943105556","0.5050014384","0.3665298","0.3507376128","0.07","0.027588","0.005216294","0.00305","0.0028","0.0000008666","0.0006228807","","0.0000024608","0.0000001827","0.0000001058","0","0","","4216.3227459232"
"2024-04-04","1558.0188748521","902.3792490891","661.8980603839","419.9818850814","468.5065491352","67.5124180955","38.3420110529","31.2","16.3289163093","8.4541450526","7.3318137524","4.3578400344","4.4700572248","3.2000000256","0.9805374824","1.5741295","","0.6963055556","0.5050014384","0.1839164","0.3507376128","0.05","0.027588","0.00637183","0.002937","0.0014","0.0001330218","0.0006013906","0.0003001304","0.0000024461","0.0000003915","0.000000225","0","0","","4196.3617825138"
"2024-04-05","1530.2704264042","890.3405249464","658.8972173623","450.9361418476","444.838757618","67.5118988697","38.3925680662","31.2","16.4849561975","8.4447254258","7.3317915537","4.3587910344","4.3772516235","3.2000000256","0.9150974024","1.5147305","0.00025","0.7281","0.5050014384","0.1699704","0.3507376128","0.04","0.027588","0.005096798","0.001869","0.0014","0.0016841382","0.0005901092","","0.0000024307","0.0000005742","0.000000327","0","0","","4160.8471697058"
"2024-04-06","1538.7032579539","889.7385712498","653.6986947902","466.2458583349","449.8437962192","67.5114885028","38.4329998849","31.2","15.59090184","8.4294583643","7.332112647","4.3574230344","4.2364883158","3.2000000256","0.8651940424","1.10373385","","0.72908","0.5050014384","0.1769382","0.3507376128","0.04","0.027588","0.0054925238","0.001803","0.0014","0.0015390994","0.0005955507","","0.0000025053","0.0000006003","0.000000328","0","0","","4182.3301579139"
"2024-04-07","1528.9304708003","884.6313878729","644.2723716299","463.6829425666","445.4151936816","67.512642405","38.8723599605","31.2","15.59090184","8.4151388047","7.33207922","4.3576000344","4.2349580408","3.2000000256","0.8771063224","1.01938295","","0.729435","0.5050014384","0.1925142","0.3507376128","0.04","0.027588","0.0055254078","0.001671","0.0014","0.0019016962","0.0005968118","","0.0000023716","0.0000006003","0.000000373","0","0","","4151.4009106666"
"2024-04-08","1558.6318597198","894.8020180833","668.1367292422","494.7563714795","468.5309394532","67.5133946117","39.0438830606","31.2","16.1213219171","8.4860386519","7.3318642132","4.3577020344","4.3763976275","3.2000000256","1.8306208824","1.76531765","2.03897","0.73045","0.5050014384","1.0498298","0.3507376128","0.04","0.027588","0.0068278076","0.002714","0.0014","0.0019748189","0.0006059698","","0.000002512","0.0000007047","0.000000326","0","0","","4274.8405616426"
"2024-04-09","1546.6233151285","891.9605135005","668.3685866063","495.8856727135","450.33013714","67.5125154226","38.4949693242","31.2","16.8068325336","8.5160607663","7.3321331198","4.3572850344","4.3290822268","3.2000000256","1.592741028","1.0910237","","0.729825","0.5050014384","0.2063864","0.3507376128","0.04","0.027588","0.0068414914","0.002412","0.0014","0.002046735","0.0006245071","","0.0000023366","0.0000005742","0.000000387","0","0","","4239.4737347526"
