"Service","EC2-Instances($)","Elastic MapReduce($)","S3($)","EC2-Other($)","SageMaker($)","Elastic File System($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Cost Explorer($)","Glue($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Athena($)","Secrets Manager($)","SES($)","Key Management Service($)","Service Catalog($)","SNS($)","Lambda($)","CloudWatch Events($)","SQS($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Total costs($)"
"Service total","24104.5430923864","11791.5979264284","8698.4273268422","6938.0657472569","2149.1097428863","489.0360201152","471.6829997985","449.9960342664","49.1410303712","38.947465861","6","1.7005920216","0.7253597914","0.553358568","0.43394","0.2318061292","0.0714096829","0.066792","0.0329","0.0082799735","0.0037410581","0.001465","0.000298","0.0000241719","0.0000128795","0.0000070646","0","55190.3773725532"
"2024-04-01","1408.4476949244","683.918347726","443.3435333313","397.0275480869","149.2644241869","27.3097974436","30.4335290775","26.808350728","3.0051512245","2.4","0.64","0.05641552","0.0426246936","0.032550504","0.020065","0.0138733344","0.005706838","0.003996","0","0.0000094608","0.0001417355","0.000061","0.000034","0.0000001566","0.00000009","0.0000021283","0","3172.7738571903"
"2024-04-02","1659.2602050962","859.2443363962","455.4368776943","455.6054702713","131.6043246636","27.7395422545","30.6533195719","26.8193084441","3.2573625838","2.266852583","0.37","0.35408568","0.0426246936","0.032550504","0.130755","0.0139383344","0.004106888","0.004092","0.0028","0.0000924869","0.0003435007","0.000078","0.0000412","0.0000001566","0.00000009","0.0000021727","0","3652.8431102658"
"2024-04-03","1815.448415484","957.7594624976","482.7518924298","438.1787402906","131.69952","27.8256993894","28.4405307691","26.4975138432","2.9993216704","2.4","0.35","0.15022316","0.0426246936","0.032550504","0.030345","0.0140583344","0.0044082679","0.004209","0.0035","0.0000689106","0.0003495692","0.000048","0.0000552","0.0000002088","0.000000134","0.0000021496","0","3914.6335395062"
"2024-04-04","1957.4910620052","1060.3547412446","532.4585775538","522.6700901314","114.5162182739","27.8256501146","27.5205164796","26.7137355194","3.3907882688","2.4","0.31","0.17548392","0.0426246936","0.032550504","0.0285","0.0131677788","0.0042079437","0.003417","0.0014","0.0004906915","0.0004815791","0.000043","0.0000256","0.0000014403","0.0000007815","0.000000614","0","4275.9537751378"
"2024-04-05","1502.5189131291","805.0365754842","512.5934750389","419.8933734189","124.4467776285","27.8257608536","27.3999654304","26.6689154882","3.0563203001","2.4","0.31","0.05894468","0.0426246936","0.032550504","0.005575","0.0135183344","0.004307894","0.004179","0.0014","0.0004422873","0.0001850401","0.000036","0.0000092","0.0000018508","0.0000007365","","0","3452.3138519926"
"2024-04-06","1144.7847988556","509.781781753","500.4028517045","328.130124408","131.69952","27.8258146368","26.7858033792","26.3962424728","2.8009811209","2.4","0.31","0.06560196","0.0433646953","0.032550504","0.00565","0.0135283344","0.0032028997","0.004062","0.0014","0.0004575302","0.0000342627","0.000038","0.0000096","0.0000013881","0.000000982","","0","2701.4878204872"
"2024-04-07","1081.2752440682","471.8242865172","505.8293081007","305.7543519831","131.69952","27.8258146368","25.6830860119","26.2530542739","2.773168342","2.4","0.31","0.07216424","0.042624696","0.032550504","0.005705","0.0135833344","0.0017012164","0.004059","0.0014","0.0004422592","0.0000431953","0.00004","0.0000104","0.0000018508","0.000000982","","0","2581.8021606119"
"2024-04-08","1361.3736590485","638.0613999168","535.5477250652","391.0145290081","112.973159794","27.9613827752","26.8513644662","26.5213257425","3.1003480559","2.4","0.45","0.0573047816","0.042624696","0.032550504","0.0458","0.0136183344","0.0052056413","0.003885","0.0014","0.0006254393","0.0002116298","0.000042","0.0000104","0.0000018508","0.000000982","","0","3126.4581751316"
"2024-04-09","1567.9112807379","724.8171098352","556.383228622","519.1180523069","121.2265214591","28.1372035874","26.9073713299","26.6484397321","3.592528427","2.4","0.31","0.0663851692","0.042624696","0.032550504","0.090705","0.0135883344","0.004508569","0.003372","0.0021","0.000565615","0.0002552452","0.000195","0.0000112","0.0000018508","0.0000007365","","0","3577.7085999576"
"2024-04-10","1445.7947412401","703.266185174","552.4849892737","430.7869929827","125.6087929679","29.1926847107","27.619041335","26.5240663905","3.3007396021","2.4","0.31","0.1037371152","0.042624696","0.032550504","0.028215","0.0135933344","0.0045081612","0.00426","0.0049","0.0005107924","0.000249035","0.000164","0.00001","0.0000013881","0.000000982","","0","3347.523558685"
"2024-04-11","1209.8579854913","524.072843725","508.5437754973","404.2020276489","87.39552","29.6866190427","27.0507335067","26.3116111874","3.2115905466","2.4","0.31","0.0537477428","0.042624696","0.032550504","0.01205","0.0136083344","0.0043078949","0.004062","0.0014","0.0005770016","0.0002006791","0.000036","0.0000108","0.0000018508","0.000000982","","0","2823.2078851315"
"2024-04-12","1565.9706350344","789.7928474226","544.281237431","428.3692607478","120.1036221112","29.8862710178","28.5925629707","26.5303759442","2.5451681785","2.4","0.32","0.0761782088","0.042624696","0.032550504","0.01196","0.0136333344","0.004507543","0.004086","0.0014","0.0007241468","0.0002704696","0.000183","0.000012","0.0000013881","0.0000007365","","0","3538.9801128854"
"2024-04-13","959.0773733927","408.8775150138","497.0026693901","287.5775288334","131.531653936","29.9389715803","28.0506535168","26.2260560077","2.0987731977","2.4","0.31","0.0880850764","0.0426246845","0.032550504","","0.0136283344","0.0046034639","0.004161","0.0014","0.0006019665","0.0000599175","0.000049","0.000012","0.0000018508","0.000000982","","0","2373.2789736485"
"2024-04-14","1048.9311650368","445.6111095586","496.8442468068","344.5900315624","131.69952","29.9389716048","27.0752568186","26.122195365","2.2269681165","2.4","0.31","0.1014100624","0.0426246984","0.032550504","","0.0136133344","0.0017011608","0.003267","0.0014","0.0005953279","0.000062328","0.000036","0.0000116","0.0000018508","0.0000007365","","0","2555.9467394727"
"2024-04-15","1274.821095288","619.6866855854","542.1027957998","373.7743553275","140.6244936504","29.9655691435","28.4659074548","26.3634544468","2.5540734685","2.4","0.45","0.079206168","0.0426246984","0.032550504","0.00615","0.0135983344","0.0054094687","0.004185","0.0014","0.0007043347","0.0002483311","0.000104","0.000012","0.0000018508","0.000000982","","0","3041.3946258368"
"2024-04-16","1650.9637843394","844.7265221924","518.1985194908","479.3823675808","128.6118224144","30.0556476073","28.0620315096","26.4133852915","2.7252184419","2.4","0.31","0.0696522756","0.0426246854","0.032550504","0.006205","0.0136283344","0.0045076978","0.00327","0.0014","0.0007488902","0.0003101446","0.000266","0.0000112","0.0000013881","0.000000982","","0","3712.0244759702"
