"Service","EC2-Instances($)","EC2-Other($)","VPC($)","S3($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","Kinesis Firehose($)","CloudWatch Events($)","CloudWatch($)","Resilience Hub($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Lambda($)","WAF($)","Key Management Service($)","Cost Explorer($)","Route 53($)","SQS($)","Service Catalog($)","Direct Connect($)","SNS($)","Glue($)","Elastic File System($)","DynamoDB($)","Simple Workflow Service($)","Step Functions($)","Backup($)","CloudTrail($)","Systems Manager($)","Total costs($)"
"Service total","754.0105488003","636.2863453058","463.555195323","438.9778969937","159.5547373256","90.006704445","56.4170536768","37.2336325","26.0138231502","15","10.8659109206","10.0383588708","6.2681325601","3.4000000272","1.3426193424","1.15","0.7","0.1767443483","0.0511","0.0355893041","0.0056637224","0.002226","0.000206856","0.0000425658","0.0000289882","0.0000158194","0.0000097903","0","0","2711.092586636"
"2024-04-01","48.5758275716","41.0199964881","27.315730519","26.5067884122","9.9280316914","13.206704445","4.9269729704","2.940203","2.0399189595","15","0.6240000959","0.5883016656","0.4486002503","0.2000000016","0.0800286672","0.11","0.7","0.0105181","0","0.0033109721","0.0000422854","0.000083","0.000012168","0.0000018566","0.0000018564","0.0000007461","0.0000005759","0","0","194.2250762983"
"2024-04-02","48.0430948864","39.3750028729","27.3037642711","43.0723861716","10.0186862979","4.8","5.4479110336","3.160304","1.8341058816","","0.6284524445","0.5885116656","0.5416484065","0.2000000016","0.0794466672","0.1","","0.0103274","0.0091","0.0037404696","0.0001417671","0.000085","0.000012168","0.0000018651","0.0000009302","0.0000007461","0.0000005759","0","0","185.2167255225"
"2024-04-03","47.9486840183","38.3543123155","27.2967796141","51.143683715","9.915533948","4.8","4.5962742219","2.9102346","1.7806230311","","0.632953419","0.5887366656","0.5033637619","0.2000000016","0.0797736672","0.11","","0.0102801763","0.0042","0.0031406213","0.0000214228","0.000106","0.000012168","0.0000018461","0.0000018572","0.0000007493","0.0000005759","0","0","190.8787183961"
"2024-04-04","47.9565325942","37.8557289049","27.3082621548","28.5397172319","9.7723774245","4.8","4.0052790257","2.7296124","1.7042036518","","0.636540718","0.5657472212","0.4667136423","0.2000000016","0.0775326672","0.05","","0.0106599","0.0028","0.0022832672","0.0002856533","0.000116","0.000012168","0.0000018462","0.0000014001","0.0000010076","0.0000005759","0","0","166.6844094564"
"2024-04-05","47.7058270324","37.1493160485","27.3034311886","24.4058704013","9.6581146871","4.8","3.7814089","2.539826","1.6658577026","","0.639148894","0.5921816656","0.4318320689","0.2000000016","0.0797616672","0.05","","0.0107715865","0.0014","0.0021462492","0.0003433566","0.000114","0.000012168","0.0000018464","0.0000018668","0.0000010172","0.0000005759","0","0","161.0173689244"
"2024-04-06","49.3527165984","37.0497804729","27.3056019554","23.1302018219","9.495899317","4.8","3.306709269","2.2567324","1.625427051","","0.6407015003","0.5922866656","0.355084423","0.2000000016","0.0792936672","0.05","","0.0108793","0.0028","0.0019596567","0.0003474768","0.000112","0.000012168","0.0000018461","0.0000018692","0.0000007765","0.0000005759","0","0","160.2565508125"
"2024-04-07","50.2810321047","36.4926295358","27.2835470146","21.3776383214","9.1030372782","4.8","2.5913993338","1.8591866","1.5630940287","","0.6410096568","0.5926566656","0.2854097857","0.2000000016","0.0787086672","0.05","","0.0116959","0.0028","0.0017981356","0.0003682634","0.000123","0.000012168","0.0000018463","0.0000018716","0.0000010204","0.0000005759","0","0","157.2161517753"
"2024-04-08","45.6286160632","36.7343913723","27.2761664604","20.5209235593","9.5334363765","4.8","3.3372149662","2.2645238","1.6189767221","","0.641009674","0.5928816656","0.3984435253","0.2000000016","0.0794676672","0.05","","0.0111133","0.0028","0.0020393284","0.0004161756","0.000113","0.000012168","0.0000018491","0.0000014105","0.0000010204","0.0000005759","0","0","153.6925506816"
"2024-04-09","43.9116873466","36.6819265667","27.2615647855","24.3380030343","9.3548797637","4.8","3.0978569117","2.1098585","1.5572962689","","0.6410109354","0.5928816656","0.3562800012","0.2000000016","0.0791676672","0.05","","0.0106701279","0.0028","0.0018918346","0.0003954532","0.000125","0.000012168","0.0000018501","0.0000018716","0.0000010236","0.0000005759","0","0","155.0483133533"
