"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","CloudWatch($)","Elastic File System($)","VPC($)","Network Firewall($)","ElastiCache($)","Direct Connect($)","OpenSearch Service($)","Elastic Container Service for Kubernetes($)","Backup($)","DynamoDB($)","Athena($)","QuickSight($)","Lambda($)","SQS($)","Secrets Manager($)","Key Management Service($)","Global Accelerator($)","WAF($)","Cost Explorer($)","Route 53($)","EC2 Container Registry (ECR)($)","CloudWatch Events($)","Config($)","Service Catalog($)","SNS($)","Glue($)","Relational Database Service($)","Systems Manager($)","IoT($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","X-Ray($)","Total costs($)"
"Service total","48396.3882574075","33359.4607286112","7643.2557260612","2098.2375899576","1627.9238729643","1193.9808983765","1103.0286134237","1037.3310749025","758.88","670.5894155203","347.9598444414","227.01594597","132.332458486","113.2236446454","54.215225","40.8000003264","36.7918563982","24.5321996","21.6419277868","16.4399601288","10.2004751673","3.4000000272","1.4","0.646265","0.16989222","0.107226","0.075","0.0511","0.0317048061","0.0021050088","0.0018946704","0.000156","0.000033732","0.0000280564","0.0000155748","0","0","98920.1151362708"
"2024-04-01","2940.4174741072","1994.0402708104","445.5198600093","140.6311564381","105.8602011605","71.0953043363","68.3132808434","66.2054021763","44.64","39.6208029688","20.4682290781","14.4","7.9386352664","6.6603077981","3.02981","2.4000000192","1.2598496042","2.9779576","1.2879138894","0.8885366736","0.6000287862","0.2000000016","0.07","0.4253156","0.00999366","0.006838","0.012","0","0.0003534251","0.000096","0.0001114512","","","0.0000009294","0.0000007461","0","","5978.9797313789"
"2024-04-02","2956.5556515876","2013.1266861892","442.7196577862","143.2590378899","102.5216935675","70.1459313357","69.3615268793","67.8790123513","44.64","40.3658960158","20.4682288255","14.4","7.9204780109","6.6603471431","3.048735","2.4000000192","2.5591524473","3.0360368","1.3284616672","0.8887346736","0.6000283489","0.2000000016","0.12","0.0314036","0.00999366","0.008473","0.018","0.0091","0.0003227087","0.000082","0.0001114512","0.000156","","0.0000013937","0.0000007461","0","","6014.2829410995"
"2024-04-03","2951.3535251733","2006.2263969545","457.1495774519","139.2139653208","103.2879977212","73.3699936641","68.3023955709","66.3006753422","44.64","40.4415583066","20.4682292061","14.4","7.9425514641","6.6602857403","3.068395","2.4000000192","2.5217788355","1.0405248","1.3169388894","0.8871896736","0.6000291556","0.2000000016","0.11","0.015271","0.00999366","0.00742","0.009","0.0056","0.0001971011","0.000114","0.0001114512","","","0.0000013937","0.0000007493","0","","6011.9497176462"
"2024-04-04","2910.0792392378","1997.1227391835","445.5165757848","134.6293025465","102.3941289603","71.9766675514","67.9081871046","65.2109079314","44.64","40.2807898402","20.468229872","14.4","7.9539867934","6.6603033275","3.09303","2.4000000192","2.4461403036","1.0743512","1.3009216672","0.9536913408","0.6000266583","0.2000000016","0.07","0.0138682","0.00999366","0.007071","0.003","0.0014","0.0018020986","0.000115","0.0001114512","","","0.0000018628","0.000001006","0","","5941.4165836027"
"2024-04-05","2889.4131736176","1996.0689090189","449.3618282743","134.7246471879","98.7592641924","73.2362643768","67.7817925436","65.6859430592","44.64","42.3637826207","20.4682301847","14.4","7.9096784011","6.6602857156","3.11445","2.4000000192","2.4559481992","1.0482528","1.3965566672","0.9868296744","0.6000276822","0.2000000016","0.07","0.0137902","0.00999366","0.006832","","0.0014","0.0019429448","0.000092","0.0001114512","","","0.0000014025","0.0000007637","0","","5923.7800286588"
"2024-04-06","2893.0239907582","1995.2503053867","454.202879491","131.9264909102","95.8897878754","69.7376511554","66.195446715","64.9119733535","44.64","45.5077871321","20.4682304705","14.4","7.8862835278","6.6602885053","3.133335","2.4000000192","2.2811765133","0.94797","1.4256166672","0.9865746744","0.6000316801","0.2000000016","0.07","0.0127314","0.00999366","0.006316","","0.0028","0.0018875356","0.000127","0.0001114512","","","0.0000018668","0.000001022","0","","5922.7797897725"
"2024-04-07","2888.8527788983","1993.8352638159","446.0356344439","123.9154416932","95.7329475927","69.9320138423","66.022965476","62.7545938582","44.64","44.3897470576","20.4682303786","14.4","7.8924009947","6.6602456564","3.152485","2.4000000192","2.2080272055","0.7545452","1.4443366672","0.9869316744","0.6000252906","0.2000000016","0.07","0.0094538","0.00999366","0.006546","","0.0028","0.0020450745","0.0001290008","0.0001114512","","","0.00000187","0.0000007733","0","","5897.3796963961"
"2024-04-08","2892.7792951268","2001.9898704646","447.9573459128","132.0845677814","103.329843015","68.6297094704","66.0094328261","64.1286934545","44.64","42.1816045435","20.4682304106","14.4","7.8213411565","6.6602131604","3.171765","2.4000000192","2.3683041826","2.1586356","1.3332016672","0.9871086744","0.6000270813","0.2000000016","0.07","0.0129382","0.00999366","0.006775","","0.0028","0.0039921747","0.0000990008","0.0001114512","","","0.0000014089","0.0000010261","0","","5926.4059014706"
"2024-04-09","2864.0653812625","1993.0025933732","453.5772688182","125.0396004226","97.182483327","70.8828138421","65.2684478835","62.0228293584","44.64","41.5692431188","20.4682325811","14.4","7.7955297187","6.6602197872","3.19104","2.4000000192","2.2393132912","1.9393452","1.3636066672","0.9867696744","0.6000267164","0.2000000016","0.07","0.0120812","0.00999366","0.007513","","0.0028","0.0022546974","0.0001290008","0.0001114512","","0.000033732","0.00000187","0.0000010252","0","","5879.5996646999"
"2024-04-10","2847.4033431068","1985.8878498829","448.6778124711","127.3911290292","98.7988616276","70.1556589966","64.8641290599","63.3564213373","44.64","36.5455094459","20.4682341179","14.4","7.7691090731","6.660192988","3.209885","2.4000000192","2.1891791579","1.760082","1.3631116672","0.9839286744","0.6000279839","0.2000000016","0.07","0.0130846","0.00999366","0.006087","","0.0028","0.0018846942","0.0001160008","0.0001114512","","","0.0000014073","0.0000010188","0","","5849.8285454728"
"2024-04-11","2815.2983351009","1976.750527722","447.7231526454","117.1060597122","95.1567202919","69.0547809312","63.6481818988","58.562031263","44.64","35.6785407368","20.4682253356","14.4","7.7535542994","6.6602014976","3.229365","2.4000000192","2.1202779217","0.814564","1.3840266672","0.9864516744","0.6000251394","0.2000000016","0.07","0.0123196","0.00999366","0.005352","","0.0028","0.0017509746","0.0001040008","0.0001114512","","","0.0000018724","0.0000007797","0","","5784.737456197"
"2024-04-12","2821.576205278","1983.5743422146","456.0713576022","122.9772129824","86.8697552818","71.367476893","64.4661900222","59.3889433316","44.64","41.2455407972","20.468224442","14.4","7.6892289353","6.6601429059","3.248245","2.4000000192","2.2975443986","1.4790436","1.2036816672","0.9865656744","0.6000260255","0.2000000016","0.13","0.0138114","0.00999366","0.005912","","0.0028","0.0019100104","0.0001290008","0.0001114512","","","0.0000018732","0.0000010316","0","0","5813.9743974999"
"2024-04-13","2756.9510523923","1932.1918728829","446.0092031182","107.4158537402","86.3736407014","68.7906613002","61.6478477154","55.3066459797","44.64","40.0471940179","20.4682245506","14.4","7.6648737345","6.6601650649","3.26731","2.4000000192","2.1561202663","1.3073316","1.2948416672","0.9860526744","0.6000278531","0.2000000016","0.07","0.0121462","0.00999366","0.005158","","0.0028","0.00184159","0.0001260008","0.0001114512","","","0.0000014105","0.0000010268","0","","5660.8810986193"
"2024-04-14","2743.1891841983","1917.4484802152","444.4209465153","101.8670478475","84.1923331007","70.3073769141","61.1075228428","54.140999085","44.64","33.2409412904","20.4682253168","14.4","7.638272598","6.6601873899","3.286035","2.4000000192","1.8974640387","0.7410956","1.3094166672","0.9846936744","0.6000312681","0.2000000016","0.07","0.0090314","0.00999366","0.00441","","0.0028","0.00181906","0.0001170008","0.0001114512","","","0.000001874","0.00000103","0","","5615.2385390592"
"2024-04-15","2749.218025301","1892.658241424","454.9559008246","109.7058812862","100.9033600886","69.3465880731","61.7338934913","56.3136435939","44.64","38.215975273","20.46822557","14.4","7.6085764462","6.6600376566","3.30462","2.4000000192","2.0176446312","1.2389356","1.2997716672","0.9865476744","0.6000288537","0.2000000016","0.07","0.0130666","0.00999366","0.00525","","0.0028","0.0033822126","0.0001040008","0.0001114512","","","0.0000018756","0.0000007765","0","","5638.9806080525"
"2024-04-16","2745.5945398786","1862.4486171572","444.4618502894","105.3690736798","85.2064579714","68.6190190862","61.2172633921","54.3883029771","44.64","31.8273533804","20.4682172002","8.61594597","7.582105504","6.6601151141","3.323925","2.4000000192","1.9311237748","0.9285592","1.1448966672","0.9869316744","0.600030247","0.2000000016","0.07","0.0132346","0.00999366","0.006005","0.027","0.0028","0.0025528685","0.0002180008","0.0001114512","","","0.000001874","0.0000010268","0","","5558.746246666"
