"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Elastic File System($)","ElastiCache($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Rekognition($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","QuickSight($)","DynamoDB($)","Secrets Manager($)","Route 53($)","Key Management Service($)","Glue($)","Backup($)","SQS($)","Relational Database Service($)","Service Catalog($)","SNS($)","Lambda($)","CloudWatch Events($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Total costs($)"
"Service total","15180.6396674824","8357.6079028748","3709.6576265484","3011.1833763813","881.4640362916","828.4584270168","805.4975944912","367.2","367.2","95.975","81.4732458497","64.7507104207","47.78","20.4000001632","8.7588687173","7.0730244354","1.526343","1.1390482304","0.5522751008","0.1522045734","0.0890312","0.0587402904","0.0462","0.0380814457","0.0180178443","0.006202","0.003913679","0.000028062","0.0000155963","0","33838.7495816951"
"2024-04-01","898.7305233061","494.273727781","358.371597247","205.0725840938","51.8509936452","49.9395545304","47.9862373397","21.6","21.6","0.01","5.5959317016","3.7217979897","0.27","1.2000000096","0.5151694426","0.4144433328","1.5025876","0.0406353336","0.13577716","0.0083480489","0.0051968","0.0034553112","0","0.0011870735","0.0010112422","0.000352","0.0002261812","0.0000013921","0.0000007461","0","2162.8513393083"
"2024-04-02","896.7989258903","496.2574801976","223.8495265391","204.9641599926","51.8528757687","48.5995545304","47.3252036225","21.6","21.6","0.0325","5.6112465934","3.7317927474","0.26","1.2000000096","0.5151945606","0.4144633328","0.0026236","0.0406173336","0.01734968","0.0085756521","0.0051968","0.0034553112","0.0056","0.0013472552","0.0012301652","0.000414","0.0002267036","0.0000013945","0.0000007461","0","2024.6995624265"
"2024-04-03","896.5048212916","493.8648606113","209.9741729703","184.9710898347","51.8422748545","48.3315545304","47.3518604103","21.6","21.6","0.015","5.6616047725","3.7417611947","0.25","1.2000000096","0.5152628804","0.4149283328","0.0013298","0.0394713336","0.01719052","0.0088032552","0.0052028","0.0034553112","0.0042","0.0016050672","0.0010963977","0.000468","0.0002294543","0.0000013937","0.0000007493","0","1987.9222457753"
"2024-04-04","887.1586261045","491.0085849388","208.4787852117","182.9397140429","51.8743689719","48.7335545304","47.442583377","21.6","21.6","0.02625","5.5512596316","3.7703133795","0.22","1.2000000096","0.5152401875","0.3985711106","0.00132","0.062119556","0.017045","0.009030858","0.0052168","0.0034553112","0.0014","0.0021010915","0.0012067719","0.000322","0.0002274963","0.0000014009","0.000001006","0","1972.6212987878"
"2024-04-05","900.0548128187","494.5941406909","207.3499101304","181.8555494855","51.8416479378","49.0015545304","47.5069305481","21.6","21.6","0.58125","5.6997469591","3.7962706426","0.22","1.2000000096","0.5152686453","0.4172133328","0.0015152","0.0725076672","0.024758","0.0090308582","0.0052304","0.0034553112","0.0014","0.0021459399","0.0013568541","0.000682","0.0002398475","0.0000018644","0.0000007717","0","1987.9566204454"
"2024-04-06","905.8032845376","493.8385847982","205.6950714638","178.1755679058","51.8523092466","49.1235545304","47.3249917045","21.6","21.6","8.09125","5.6911447102","3.8068086648","0.22","1.2000000096","0.5152019604","0.4172983328","0.0016918","0.0742596672","0.02556196","0.0090308583","0.0052432","0.0034553112","0.0028","0.002468193","0.0008809431","0.000384","0.000231705","0.0000014065","0.0000010188","0","1995.0810779278"
"2024-04-07","894.2973876565","491.2084155452","205.6344962461","174.8461799754","51.8433275682","49.2695545304","47.2728454246","21.6","21.6","6.88375","5.5673266093","3.8068086648","0.2","1.2000000096","0.5157551231","0.4176283328","0.0016704","0.0727896672","0.0273998128","0.0090302984","0.0052404","0.0034553112","0.0028","0.0022165738","0.0007240449","0.000276","0.0002228537","0.0000018708","0.000001022","0","1976.2893039408"
"2024-04-08","902.1212669725","494.6592445252","211.3808698509","175.9470381433","51.8426429961","47.6615545304","47.3321918768","21.6","21.6","9.01375","5.6109680177","3.8138547371","0.2","1.2000000096","0.5151703832","0.4177183328","0.0014988","0.0742656672","0.0242665328","0.0090302989","0.0052452","0.0034553112","0.0028","0.0024710024","0.0012159237","0.00048","0.0002315762","0.0000018724","0.0000010236","0","1995.041233584"
"2024-04-09","885.1284054268","495.8093293397","203.8570233541","161.3120003841","51.8722967224","48.7335545304","47.5505958298","21.6","21.6","8.855","5.6275085961","3.8243231896","0.2","1.2000000096","0.5152373284","0.4178233328","0.0013252","0.0742386672","0.0247079728","0.0090302989","0.005252","0.0034553112","0.0028","0.0024930079","0.0010978674","0.00027","0.000231777","0.0000014073","0.0000007797","0","1958.2280023332"
