"Service","EC2-Other($)","EC2-Instances($)","S3($)","VPC($)","ElastiCache($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","SQS($)","DynamoDB($)","Cost Explorer($)","Key Management Service($)","CloudFront($)","Route 53($)","SNS($)","Service Catalog($)","Lambda($)","CloudWatch Events($)","Secrets Manager($)","Glue($)","Simple Workflow Service($)","Step Functions($)","Direct Connect($)","CloudTrail($)","Total costs($)"
"Service total","10456.8806180746","2877.2013137222","830.7016603666","610.2615660562","386.548","381.9629816408","135.8616114651","81.6","33.8343720008","33.290384","11.8214875111","6.99","3.9791662529","3.1017762","1.9551896","0.051275101","0.0511","0.0060558011","0.005486","0.00385","0.0021246696","0.0000285304","0.0000155899","0.0000050349","0","15856.1100676172"
"2024-04-01","614.2836052008","172.3031535304","47.753576879","35.9953748145","22.442","23.3346023258","6.5865436631","4.8","1.9799152557","1.9575428","0.5683489272","0.25","0.2087330016","0.0000045","1.6361076","0.0000662609","0.0042","0.0004007672","0.000464","0.00007","0.000072","0.0000013938","0.0000007477","","0","934.1047836677"
"2024-04-02","616.3792854139","171.6521619987","58.2714742893","35.8594660283","23.055","24.1061454399","9.4490970601","4.8","1.9810364118","1.9547008","0.7033290298","0.25","0.2089340016","0.0000047","0.0393536","0.0040699457","0.0049","0.0004139243","0.000372","0.000065","0.000095","0.0000013929","0.0000007477","0.0000003745","0","948.7199071585"
"2024-04-03","616.7400787616","170.3822142212","46.9170305088","36.3446443146","23.601","25.9657606701","8.7608700346","4.8","1.9828754188","1.9556416","0.7033176569","0.24","0.2088500016","0.000021","0.0212572","0.0035390872","0.0056","0.0003784595","0.000326","0.000085","0.000092","0.0000013945","0.0000007493","","0","938.6335840787"
"2024-04-04","617.1980073544","170.9436425969","45.5225828161","36.065381205","23.423","23.6741955617","9.1172196873","4.8","1.9837218243","1.9578196","0.7033185726","0.19","0.2064680016","0.000002","0.0214224","0.0037163098","0.0014","0.0004096678","0.000364","0.00016","0.000126","0.0000018628","0.0000010044","0.0000001794","0","935.8129606441"
"2024-04-05","616.498178589","171.5676540657","46.5627108306","35.8311248378","23.077","23.5083513132","9.1964651232","4.8","1.9839258504","1.9571704","0.70332418","0.19","0.2088050016","0.0000009","0.0211736","0.0023978717","0.0014","0.000322383","0.00035","0.000215","0.000094","0.0000014065","0.0000007717","0.0000001398","0","936.1106662642"
"2024-04-06","612.5440783736","169.6137110419","53.4032488915","35.4940792025","21.996","22.8954315073","9.1015608235","4.8","1.9839258504","1.9573392","0.7033136725","0.19","0.2077730016","0.0000035","0.0157418","0.002886855","0.0028","0.0003206622","0.00024","0.00023","0.000127","0.0000018692","0.000001022","0.0000006237","0","934.9128148969"
"2024-04-07","604.5512384939","168.9106355847","37.1683500786","35.4014056324","22.066","12.9040056515","8.9977078858","4.8","1.9839258504","1.9581744","0.7033122832","0.19","0.2089730016","0","0.014459","0.0021369896","0.0028","0.0002709247","0.00009","0.000255","0.0001273336","0.0000014065","0.0000010236","","0","899.8638705401"
"2024-04-08","618.7438301651","169.628663861","46.4155799601","37.1892392418","22.592","23.2161837507","9.0285943322","4.8","1.9852177297","1.956282","0.7033258069","0.19","0.2076050016","0.000005","0.0210434","0.003569294","0.0028","0.0004188973","0.000414","0.000265","0.0001033336","0.0000018716","0.0000010204","","0","936.685143666"
"2024-04-09","617.341371641","168.1610786399","45.7971792508","36.10580401","22.176","21.9594687454","8.5854191651","4.8","1.9873172211","1.9561916","0.7033299104","0.19","0.2086460016","0.0000009","0.0203198","0.0036564465","0.0028","0.0003694743","0.000408","0.00021","0.0001143336","0.0000018716","0.0000007829","0.0000004792","0","929.9996882734"
"2024-04-10","616.8150217502","169.4347865343","61.2356793464","35.8089513414","22.809","22.658478156","8.7396139169","4.8","1.9910222029","1.9562052","0.7033244198","0.19","0.2199131128","0.000002","0.0209284","0.0037558977","0.0028","0.0003900589","0.000418","0.000255","0.0001123336","0.0000018708","0.000001022","0.0000022278","0","947.3906627915"
"2024-04-11","610.7906017198","166.6989187941","43.6938609472","35.3199165106","23.005","18.4722236916","8.5281656611","4.8","1.9917838248","1.9541348","0.7033161654","0.19","0.2423603352","0.2919072","0.0144558","0.0027883503","0.0028","0.0003277428","0.000254","0.000275","0.0001113336","0.0000014113","0.0000010252","","0","916.703204313"
"2024-04-12","617.4877693103","168.0830504571","56.2917415826","35.7132023225","23.882","22.2326759382","6.7999957647","4.8","1.993016691","1.959778","0.7033184564","0.23","0.2657404465","0.6306897","0.0181046","0.0033439692","0.0028","0.0003452689","0.000346","0.00029","0.0001243336","0.0000018724","0.0000007765","0.0000002994","0","941.0983357893"
"2024-04-13","614.4735756391","167.7446316789","65.8773613753","35.3842893315","22.772","21.8205368196","6.4045407936","4.8","1.9940025","1.960358","0.7033124393","0.19","0.2742206688","0.5650556","0.0144132","0.0036310575","0.0028","0.0003646269","0.000222","0.000305","0.0001153336","0.000001874","0.0000010268","","0","944.9857389649"
"2024-04-14","606.3471703737","166.8592749196","44.5021862652","35.3275515323","22.468","12.8595700307","6.3536238701","4.8","1.9940025","1.9614788","0.7033121929","0.19","0.2754626688","0.0676548","0.0153878","0.0023739727","0.0028","0.0002761612","0.000094","0.00031","0.0001073336","0.0000014113","0.0000010268","","0","904.7306396589"
"2024-04-15","618.6571799037","168.5446231176","52.9615743657","36.6829762149","21.652","21.6507444519","6.6685124438","4.8","2.0025571547","1.9629668","0.7033320979","2.11","0.2755076688","0.544369","0.0208928","0.0032336806","0.0028","0.0003795091","0.000324","0.000295","0.0002163336","0.0000018748","0.0000010316","0.0000004252","0","939.2444878739"
"2024-04-16","619.1012750932","168.3180814278","44.659621142","35.8514809623","23.329","27.7212221865","6.5033398136","4.8","2.0072520072","1.9624444","0.7033317516","0.31","0.2756756688","0.5313514","0.020374","0.0033994838","0.0028","0.0003265673","0.000438","0.0003","0.0001893336","0.000001874","0.0000007845","0.0000002859","0","936.1019061821"
"2024-04-17","618.9283502913","168.3550312524","33.6679018374","35.8866785538","22.203","32.9833854007","7.0403414264","4.8","2.0088737076","1.9621556","0.7033199483","1.7","0.2754986688","0.470704","0.0197546","0.0027096288","0.0028","0.0003407057","0.000362","0.000265","0.0001973336","0.0000018724","0.0000010268","","0","931.011672854"
