"Service","EC2-Other($)","EC2-Instances($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","S3($)","Route 53($)","DynamoDB($)","Direct Connect($)","Backup($)","SQS($)","WAF($)","Secrets Manager($)","Key Management Service($)","Cost Explorer($)","SNS($)","Lambda($)","EC2 Container Registry (ECR)($)","CloudWatch Events($)","Service Catalog($)","SES($)","Glue($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Total costs($)"
"Service total","32021.1539459825","21933.0469319315","845.3834601103","787.2300339856","781.4778725942","690.956264625","103.815726","25.8516476858","24.4860758644","24.2287696894","23.2348919412","4.7536738272","4.2995983392","1.2722213424","1.08","0.110834702","0.0711918722","0.0657753936","0.056909","0.0462","0.0079785985","0.002177328","0.0000280668","0.0000155867","0","57272.6322244665"
"2024-04-01","1860.1397505823","1286.9773117964","56.7337756242","47.0884446997","48.1132542351","40.5998693889","7.8017788","1.8874777077","1.4403803466","1.4125723822","1.3624464","0.2868962016","0.2202272212","0.0753936672","0.1","0.0053372855","0.0032907062","0.0038691408","0.003245","0","0.0009307592","0.000086","0.0000013921","0.0000007461","0","3354.256340083"
"2024-04-02","1870.7110797424","1288.7643645899","58.4448704279","46.8228614283","48.898283507","41.0405051632","6.0015656","2.385937355","1.4403999718","1.4138373231","1.634946","0.2852222016","0.2328316656","0.0752466672","0.09","0.0051391806","0.0048501812","0.0038691408","0.003833","0.0056","0.0003412227","0.000094","0.0000013937","0.0000007477","0","3368.2656805097"
"2024-04-03","1858.6447131683","1268.6468444286","58.4246008226","46.8172056725","47.6932752448","40.5745768119","6.0009464","2.1506408668","1.4403662491","1.4152632076","1.5983832","0.2845256016","0.2305216656","0.0755136672","0.12","0.0054335141","0.0039331464","0.0038691408","0.003324","0.0042","0.00034319","0.000096","0.0000009318","0.0000007493","0","3334.138577679"
"2024-04-04","1864.2767472225","1291.9328240665","58.4385299191","47.0476573311","46.9836692064","40.6141914762","6.0012626","2.1276836554","1.4403611821","1.4168125341","1.3388468","0.2847644016","0.2959166664","0.0743976672","0.07","0.0057507314","0.0047877356","0.0038691408","0.003718","0.0014","0.0003470372","0.000118","0.0000018628","0.0000010076","0","3362.363658244"
"2024-04-05","1862.0783269581","1313.6885791279","58.444798986","46.4136917228","46.5709523877","40.912385317","6.0011344","1.9815306997","1.4403310282","1.4184496695","1.3544492","0.2868218016","0.250025","0.0752196672","0.04","0.0064685837","0.0047441894","0.0038691408","0.003472","0.0014","0.0003405385","0.000105","0.0000014041","0.0000007685","0","3380.9770975907"
"2024-04-06","1857.4213924445","1286.3540926457","58.3490620112","45.8510528794","46.7814533043","40.7455774679","6.0004098","1.377321759","1.4403754579","1.4201422545","1.3602812","0.2867594016","0.24636","0.0753006672","0.05","0.0073872058","0.0049652782","0.0038691408","0.003678","0.0028","0.0003423828","0.000126","0.0000018708","0.0000010188","0","3347.7827521904"
"2024-04-07","1851.9632866876","1270.5024751132","58.3097094961","45.7916914211","44.9426021327","40.3295817049","6.0004362","1.3048855851","1.4404085933","1.4218584263","1.3499296","0.2700614016","0.24379","0.0740346672","0.05","0.0070318691","0.0035669815","0.0038691408","0.003266","0.0028","0.0003383472","0.000114","0.0000018692","0.0000010204","0","3324.0157402573"
"2024-04-08","1855.1304494749","1279.1335823396","58.4467875919","46.1696300257","46.4321426052","40.9369884818","6.0011068","1.3521171329","1.4403519074","1.4235829443","1.3349054786","0.2875724016","0.248355","0.0740976672","0.04","0.0073948773","0.0050024906","0.0038691408","0.00374","0.0028","0.0003360874","0.0001143328","0.0000014089","0.0000007797","0","3338.4749289686"
"2024-04-09","1872.4031253364","1299.1461054911","57.8696225374","46.0498902528","45.6414879161","40.6272915142","6.0008902","1.3442935734","1.4403389845","1.4253236164","1.3446364","0.2709464016","0.2545444452","0.0759126672","0.04","0.0068699128","0.004298489","0.0038691408","0.00337","0.0028","0.0004471752","0.0001163328","0.0000018716","0.0000010252","0","3373.9561832837"
