"Service","Relational Database Service($)","ElastiCache($)","OpenSearch Service($)","QuickSight($)","Cost Explorer($)","Athena($)","S3($)","Glue($)","Savings Plans for  Compute usage($)","EC2-Other($)","CloudWatch($)","Service Catalog($)","Bedrock($)","Lambda($)","VPC($)","Claude 3.5 Sonnet v2 ( Bedrock Edition)($)","EC2-Instances($)","Config($)","Key Management Service($)","Secrets Manager($)","Polly($)","API Gateway($)","SQS($)","SNS($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Savings Plans for  Machine Learning($)","CloudFormation($)","Total costs($)"
"Service total","2945.5622837274","1165.824472879","392.454737317","348.6813352464","227.152671333","69.68349","55.07150962","25.6820644358","13.1747883563","4.8714601525","1.7774352122","1.7451","1.415542144","1.3807940217","1.245873615","0.616767","0.4981186898","0.362","0.051513","0.003695","0.00183","0.0006795382","0.0005744","0.0002441734","0.0000407163","0.0000010701","9.632e-7","2.208e-7","0","0","0","5257.2590228321"
"2025-04-01","2945.5622837274","1165.824472879","297.5299350512","20.5106667792","14.1993113333","3.013005","2.745773595","1.9736926","0","1.3926403275","0.1704645952","0","","0.0061646371","0.36","","0.1440001606","0.02","0.002874","0.00017","","0.0001928055","0.000014","0.0000002192","0.000002305","","0.0000000272","","0","0","","4453.4556640424"
"2025-04-02","","","5.9328001416","20.5106667792","14.6776886667","5.911145","3.8393417273","1.81419524","0","1.3926402594","0.172925971","0.0105","0.111605916","0.0844873667","0.36","","0.1440001008","0.02","0.00294","0.000175","","0.0000645615","0.0000348","0.0000150523","0.0000023743","0.0000000783","0.0000000544","","0","0","","54.9852290895"
"2025-04-03","","","5.9328001417","20.5106667792","14.638237","5.50062","3.7729220431","1.29856188","0","1.3926402166","0.172863869","0.0098","0.102126464","0.0857131479","0.36","","0.1440000633","0.02","0.002883","0.000255","","0.000030866","0.0000412","0.0000145587","0.0000023948","0.0000000783","0.0000000694","","0","0","","53.944178772"
"2025-04-04","","","5.9328001416","20.5106667792","14.7855326667","4.14101","3.218120215","1.47250928","0","0.693539349","0.1718713718","0.0084","0.024919408","0.026267459","0.165873615","","0.0661183651","0.02","0.003081","0.00026","0.00183","0.000014316","0.0000348","0.0000195745","0.0000025055","0.0000000522","0.0000000422","0.0000002208","0","0","","51.2428711616"
"2025-04-05","","","5.9328001416","20.5106667792","15.419658","3.09641","2.9020924736","1.4231096","0","","0.1701793626","0.0063","","0.0050803275","","","","0.02","0.00291","0.000085","","","0.0000208","0.0000105301","0.0000024197","0.0000000522","0.0000000272","","0","0","","49.4893255137"
"2025-04-06","","","5.9328001416","20.5106667792","15.6956943333","3.11367","2.9138605581","1.45556972","0","","0.1701831428","0.0091","","0.0051144989","","","","0.02","0.003099","0.00026","","","0.0000416","0.0000140587","0.0000023268","0.0000000783","0.0000000544","","0","0","","49.8300762921"
"2025-04-07","","","5.9328001416","20.5106667792","49.1836913333","3.132125","2.9303489962","1.5782521895","0","","0.1701912866","0.0112","","0.0065120557","","","","0.02","0.002973","0.000255","","0.0000023861","0.0000344","0.0000165666","0.0000022756","0.0000000522","0.0000000544","","0","0","","83.479071517"
"2025-04-08","","","5.9328001416","20.5106667792","16.191166","3.91149","3.152927894","1.5855402694","0","","0.0581289441","0.2023","0.10988224","0.0961386531","","","","0.02","0.003099","0.000175","","0.0000524922","0.000028","0.0000150523","0.0000023621","0.0000000522","0.0000000666","","0","0","","51.7744129468"
"2025-04-09","","","5.9328001416","20.5106667792","22.7550253333","3.812195","3.1196407305","1.4130884189","0","","0.0577767435","0.1547","0.079919484","0.0995433002","","","","0.02","0.002925","0.000255","","0.0000214741","0.0000412","0.0000145587","0.0000024031","0.0000000783","0.000000045","","0","0","","57.9586156904"
