"Service","EC2-Instances($)","EC2-Other($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","ElastiCache($)","Relational Database Service($)","Elastic MapReduce($)","Textract($)","Rekognition($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","Elastic File System($)","SageMaker($)","DynamoDB($)","Key Management Service($)","Cost Explorer($)","SNS($)","Secrets Manager($)","Lambda($)","Route 53($)","Service Catalog($)","Glue($)","SQS($)","CloudWatch Events($)","Athena($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","X-Ray($)","Cognito($)","CloudFormation($)","Total costs($)"
"Service total","44346.2842030275","17414.1669804257","6646.9716041032","2050.7408887492","2034.9821705342","1734.278373712","1534.08","1187.8050559872","1181.6346310284","769.539","690.8841152","271.561464641","96.1768255237","58.2333753911","51.6842061192","2.900564","2.6653924648","2.43","1.4907336019","1.1292077868","0.4010147822","0.4","0.1617","0.160915","0.0052156","0.000859","0.00015","0.0000200097","0.0000176379","0","0","0","0","80080.7686843257"
"2025-04-01","2654.2922993518","1030.5665231418","390.4356445072","165.8709118126","126.0865175577","102.0782710627","90.24","69.8510591748","62.5990744104","54.0885","59.9040656","24","5.6481233304","3.425492496","3.0403520064","0.1706215788","0.173749668","0.08","0.0000013362","0.0667316672","0.0156041694","0.4","0","0","0.0003032","0.000083","","0.000000753","0.0000004767","0","0","0","","4843.0339303011"
"2025-04-02","2778.4630871785","1046.6775733234","404.72996814","237.2951367013","124.9469233069","102.1272109662","90.24","69.8551888992","129.2108450804","69.4995","62.6703156","24","5.6500070234","3.425492496","3.0403520064","0.1706215788","0.174136668","0.12","0.000096624","0.0639488894","0.0245497453","","0.0105","0","0.0003864","0.000129","","0.0000012474","0.0000004767","0","0","0","","5152.3959713513"
"2025-04-03","2734.6523328066","1031.1164225433","420.6253874715","235.9962824467","122.9557962806","101.594797841","90.24","69.856668297","103.9111379216","64.3065","62.7053156","24","5.652835172","3.425492496","3.0403520064","0.1706215788","0.173695668","0.1","0.0994610353","0.0667616672","0.0243629249","","0.0112","0","0.0002704","0.000063","0.00015","0.0000012531","0.0000014301","0","0","","","5074.7259098401"
"2025-04-04","2626.627847053","1021.3635970274","383.8232136918","236.4711388708","120.9863913357","101.976796885","90.24","69.8589105452","49.2479414756","54.2895","61.2403156","24","5.6552833211","3.425492496","3.0403520064","0.1706215788","0.174121668","0.1","0.0998139448","0.0667566672","0.0241698619","","0.0091","0","0.0002568","0.000042","","0.0000015003","0.0000009534","0","0","","","4852.8916652824"
"2025-04-05","2557.8804817398","1009.8000779392","388.8199211943","236.6067165559","121.2381917367","104.3994039127","90.24","69.8635727628","29.125941438","44.4315","62.2440656","24","5.6556799728","3.425492496","3.0403520064","0.1706208688","0.173845668","0.09","0.0999984805","0.0667016672","0.0237951257","","0.0084","0","0.0001484","0.000021","","0.0000007473","","0","0","","","4751.4049293121"
"2025-04-06","2573.8958613173","1009.2793555685","386.8135554278","227.7717613054","114.6177222082","98.9105680166","90.24","69.8663730775","40.3684748446","25.461","19.3453156","24","5.6556799728","3.425492496","3.0403520064","0.1706208688","0.174019668","0.09","0.1005133553","0.0667566672","0.0238426524","","0.0112","0","0.0002128","0.000021","","0.0000012531","0.0000009534","0","0","","","4693.3287010593"
"2025-04-07","2653.4253613586","1031.3859292107","386.3883241488","222.2337738102","119.3035741883","101.6481389354","90.24","69.8701800393","74.015069426","43.0965","62.9740656","24","5.6556799728","3.425492496","3.0403520064","0.1706215788","0.174130668","0.11","0.0992876233","0.0667616672","0.0243260142","","0.0098","0.01455","0.000226","0.000038","","0.0000015003","0.0000009534","0","0","","","4891.3721851977"
"2025-04-08","2647.6790621743","1028.1816882101","389.4177409524","188.2433810597","120.8610380741","104.2045257163","90.24","69.8707612507","66.0786906846","40.08","112.4040656","16.364862085","5.6556799728","3.425492496","3.0403520064","0.1706215792","0.174328668","0.24","0.0993600981","0.0668366672","0.0243038476","","0.0105","0.01455","0.0004","0.000089","","0.0000012474","0.0000009534","0","0","","","4886.5483323433"
"2025-04-09","2648.9684030504","1036.3608296527","391.1624672922","80.979831264","121.1718391248","103.5559078982","90.24","69.8718916641","79.5987894226","40.692","15.2890656","10.396602556","5.6567910902","3.425492496","3.0403520064","0.1706215788","0.1512694456","0.15","0.1010418858","0.0639938894","0.0244815375","","0.0077","0.01455","0.000474","0.000091","","0.0000010002","0.0000014301","0","0","","","4701.094488885"
