"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","ElastiCache($)","EC2-Other($)","Relational Database Service($)","Systems Manager($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Managed Streaming for Apache Kafka($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Athena($)","VPC($)","Transfer Family($)","Glue($)","CloudTrail($)","Secrets Manager($)","Key Management Service($)","Route 53($)","WAF($)","Cost Explorer($)","Lambda($)","SNS($)","Backup($)","CloudFront($)","Elastic File System($)","API Gateway($)","Service Catalog($)","Compute Optimizer($)","CloudWatch Events($)","DocumentDB (with MongoDB compatibility)($)","DevOps Guru($)","Keyspaces (for Apache Cassandra)($)","Amplify($)","SQS($)","Step Functions($)","Simple Workflow Service($)","Elastic Container Service($)","CodeBuild($)","CloudFormation($)","Total costs($)"
"Service total","18107.0657511339","16462.1888188123","7450.7618655146","5658.4217285616","5492.9238740302","2964.1397268705","1646.44635","1391.1413514539","969.8548434958","774.3381809331","669.9079037563","537.663187063","326.4","322.33497","273.8494522817","245.3765339292","20.6477242536","19.8162639086","18.0336711156","12.0847400952","4.9631708","3.9666666984","1.36","1.0849712962","0.4541180431","0.3940892527","0.3870399","0.3090197999","0.1866222888","0.1561","0.1300403205","0.01249","0.0016453008","0.0016","0.0003269675","0.0001369892","0.000084","0.0000197496","0.000014301","0","0","0","63376.8050929168"
"2025-04-01","1068.6655363598","971.4806511652","413.737761752","376.3478643715","317.8144032485","175.2643128856","0.31038","82.8296404898","56.7756235491","51.5055316797","39.6529770269","42.9230896167","19.2","16.768985","16.0388175725","14.5452264868","1.17093812","1.3283207415","1.0703483336","0.7104910056","0.8240696","0.2333333352","0.06","0.0433200733","0.0222805082","0.0231824901","0.0011158","0.0194987304","0.0148148484","0","0.008064516","0.00109","0.0000967824","0.00008","0.0000192332","0.0001348833","0.0000028","0.0000004999","0.0000004767","0","","","3669.3920039819"
"2025-04-02","1067.2173050856","954.4182687008","398.656123446","373.1317558872","317.4693838432","175.289358064","110.56992","85.1506816478","56.8504758327","52.5378090696","39.6235304622","43.3357231157","19.2","21.47882","15.9299127402","14.4","1.20159116","1.2417689791","1.0702733336","0.7103650056","0.4342284","0.2333333352","0.08","0.0617625878","0.0156752303","0.0231824901","0.0012207","0.0194989974","0.0126870049","0","0.008064516","0.00159","0.0000967824","0.00008","0.0000192335","","0.0000052","0.0000014999","0.0000009534","0","","","3750.3745133042"
"2025-04-03","1142.0132756589","943.7658531139","471.0580740768","375.6096996788","359.8521945262","175.302373424","154.51844","79.9892628834","56.916063005","45.6136858011","39.6678720794","43.6394484354","19.2","22.011065","16.0684573154","14.4","1.35348972","1.4074975464","1.0697533336","0.7101790056","0.222306","0.2333333352","0.07","0.0660423433","0.034334464","0.0231821367","0.00116685","0.0194993789","0.0134852534","0.0126","0.008064516","0.001149","0.0000967824","0.00012","0.0000192335","0.0000000849","0.0000052","0.0000009998","0.0000009534","0","0","","3964.8720911354"
"2025-04-04","1058.0915251954","942.2035354348","412.279184856","367.7687449319","315.5182883732","175.3240296787","107.58916","83.8997808263","56.9805212564","47.8750181793","40.048703486","41.6482392531","19.2","24.372005","16.1116066475","14.4","1.19171492","1.1533748991","1.0710783336","0.7107880056","0.3123806","0.2333333352","0.07","0.0682446813","0.041222607","0.0231821367","0.001231","0.0194992645","0.0115273667","0.0098","0.008064516","0.000518","0.0000967824","0.00012","0.0000192338","","0.0000032","0.0000012527","0.0000004767","0","","0","3728.2365437299"
"2025-04-05","962.2377550881","947.5366092006","390.032955151","372.592524083","300.3174368269","175.3329690552","69.55868","85.5764048999","57.0039583944","51.1150378989","39.4995282241","41.0177582882","19.2","20.89226","16.0708665903","14.4","1.16472884","0.9957978692","1.0707183336","0.7101730056","0.3002452","0.2333333352","0.07","0.0579489816","0.0473619698","0.0231821367","0.00139545","0.0194989974","0.0107717367","0.0063","0.008064516","0.000504","0.0000967824","0.00004","0.0000192328","","0.0000032","0.0000009998","0.0000004767","0","","","3567.1049287641"
"2025-04-06","944.2634598122","948.4361485573","382.1614445796","373.1294317311","293.2457607594","175.3459729844","81.76806","80.2351316783","57.0039583944","44.6745092611","39.4285743808","41.013045768","19.2","15.313695","16.0653529155","14.4","1.1716958","1.0161640146","1.0710533336","0.7114480056","0.2783288","0.2333333352","0.07","0.0542684784","0.0352735648","0.0231821367","0.0023319","0.0211525578","0.010160064","0.0126","0.008064516","0.000392","0.0000967824","0.00012","0.0000192331","","0.0000048","0.0000009998","0.0000009534","0","","","3530.4042370975"
"2025-04-07","1067.9167531101","967.1004060113","420.7128093476","374.7401411156","322.5861681014","175.3472539025","88.87434","83.3884564902","57.0198815651","48.6570713694","40.4985763885","42.110551871","19.2","18.129515","16.1606804353","14.4000036001","1.2995490714","1.1419392608","1.0725883336","0.7112470056","0.2848218","0.2333333352","0.09","0.0686759396","0.0215401724","0.0231821367","0.03884625","0.0173062704","0.011238126","0.0105","0.008064516","0.001069","0.0000967824","0.00012","0.0000192338","0.0000003417","0.0000056","0.0000014997","0.0000009534","0","","0","3761.8767539368"
"2025-04-08","990.2563327231","944.0705829065","382.4462818106","369.716643484","301.0590355198","175.3803408517","93.19813","85.3787622578","57.0377599831","46.6595536745","39.5111122228","24.5466557149","19.2","17.42519","16.1334248741","14.5649914661","1.2878378284","1.1091106246","1.0276594447","0.7104100056","0.3034572","0.2333333352","0.22","0.0635502706","0.0345867547","0.0231821367","0.02830315","0.0173069189","0.0107573529","0.0084","0.008064516","0.000636","0.0000967824","0.00008","0.0000192326","","0.0000052","0.0000014999","0.0000009534","0","","","3581.6715966956"
"2025-04-09","1137.5894154111","982.5742622837","485.535270374","365.227864014","361.5770837865","174.3084663165","167.83385","86.0876698191","57.0977852117","43.8305516152","39.3628719576","24.6544476142","19.2","18.628","16.178227379","14.4987156874","1.3087344995","1.4504181663","1.0269144447","0.7100710056","0.2152008","0.2333333352","0.11","0.0702765941","0.0257060702","0.0231821367","0.0128003","0.0173062704","0.0108938957","0.0105","0.008064516","0.001063","0.0000967824","0.00008","0.0000192333","0.000000046","0.0000012","0.0000009998","","0","0","0","3999.4191447659"
