"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Elastic MapReduce($)","VPC($)","Elastic Container Service for Kubernetes($)","Athena($)","Transfer Family($)","EC2 Container Registry (ECR)($)","CloudWatch($)","SES($)","Secrets Manager($)","DynamoDB($)","WAF($)","Elastic File System($)","Key Management Service($)","Service Catalog($)","Bedrock($)","Cost Explorer($)","Backup($)","Route 53($)","Relational Database Service($)","Glue($)","CloudFront($)","CloudWatch Events($)","Lambda($)","SNS($)","API Gateway($)","SQS($)","Glacier($)","ElastiCache($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","QuickSight($)","CloudFormation($)","Total costs($)"
"Service total","16136.7065069215","11224.192406088","2692.0983274225","1626.6294784491","345.8888372068","279.79040586","204","133.34594","122.486755498","88.1541852784","38.1886533564","23.7923133505","21.1664249914","3.9853557628","3.416666694","2.8300831282","1.8792023469","1.7535","1.69178112","1.35","1.0753245648","0.8670258","0.4404712733","0.3762631991","0.3256405958","0.007776","0.0063679782","0.005740355","0.0015490916","0.0005692","0.0000407412","0.0000050592","0.0000010678","0.000001045","0","0","0","32956.4535994455"
"2025-04-01","930.7900420063","750.9452843917","168.8325604606","94.6866964396","52.2717930064","16.2129267128","12","13.437695","7.2049205957","5.1651406454","6.0226076484","1.3028233993","1.2591483328","0.2344330108","0.2000000016","0.1685832107","0.1099780008","0","","0.06","0.0641544398","0.6193456","0.0259100749","0","0.001228","0.000365","0.000186771","0.0000100529","0.0001229222","0.0000148","0.0000025162","0.0000002976","0.0000000281","0.0000000167","0","0","","2061.6159733823"
"2025-04-02","930.7731498405","740.8906996786","159.1040886595","94.2658047808","52.348794808","16.6218217151","12","12.436555","7.2049783455","5.1831898434","2.0844084979","1.3350516854","1.2078061106","0.234432672","0.2000000016","0.1685905883","0.1110910008","0.0119","0.0008316","0.07","0.0641677379","0.0197484","0.0259100749","0","0.0014975548","0.000447","0.0003458547","0.0000632244","0.00011941","0.000038","0.0000023065","0.0000002976","0.0000000843","0.0000000606","0","0","","2036.3655348337"
"2025-04-03","926.8639359792","724.7089284948","151.9667388051","93.5638854735","44.16162464","16.576564864","12","8.273185","7.2051249456","5.1689188929","2.0707444468","1.3169958083","1.2608783328","0.234432672","0.2000000016","0.1686250994","0.1106740008","0.0105","0.0031824","0.08","0.0641827781","0.0100786","0.0259100749","0","0.0030193839","0.000405","0.0003268964","0.000353019","0.000098422","0.0000376","0.0000023484","0.0000002976","0.0000000562","0.0000000742","0","0","","1996.0493544075"
"2025-04-04","937.1401493406","683.5669089047","160.8960701397","95.5164429993","34.2516737608","16.6298775068","12","9.837195","7.2053108815","5.1786887636","2.0172633449","1.3984582289","1.2604433328","0.234432672","0.2000000016","0.1686751831","0.1103740008","0.0105","","0.07","0.0641968582","0.0249372","0.0259100749","0","0.00121425","0.000365","0.000306744","0.000350877","0.000098422","0.0000368","0.000002401","0.0000002976","0.0000000562","0.0000000439","0","0","","1967.8098830859"
"2025-04-05","942.3235894499","601.9286495126","146.0768593485","98.4407858826","6.3079272544","16.4152219656","12","2.68201","7.2053348067","5.1706085246","1.8718883971","1.3748459436","1.2600833328","0.234432672","0.2000000016","0.1695923756","0.1062043341","0.0091","","0.05","0.0642114271","0.015881","0.0259100749","0","0.0015491321","0.00016","0.0002506628","0.0002915738","0.0000861141","0.0000148","0.0000022759","0.0000002976","0.0000000562","0.0000000439","0","0","","1843.9354912601"
"2025-04-06","943.1323379388","592.9050897928","144.311448401","98.2861383876","5.7656941464","16.3301147804","12","0.96035","7.2030344774","5.1692050032","1.874873157","1.4053782052","1.2604333328","0.234432672","0.2000000016","0.1654203503","0.1110190008","0.0105","0.04425912","0.07","0.0642260686","0.0239974","0.0259100749","0","0.0032881","0.000148","0.0002863461","0.0003485006","0.00008133","0.0000288","0.0000025949","0.0000002976","0.0000000562","0.0000000742","0","0","","1831.5580464104"
"2025-04-07","940.8059659475","653.9080561968","158.5702802402","96.0256602161","9.6779554956","16.3021515521","12","9.83297","7.2076418135","5.1708328867","2.0362946645","1.340202937","1.2601133328","0.234432672","0.2000000016","0.1654323668","0.1111960008","0.0112","0.20113704","0.08","0.0642404839","0.0192192","0.0259100749","0.0304646248","0.0254204761","0.000505","0.0003955148","0.0003939467","0.0000908982","0.0000364","0.0000024715","0.0000002976","0.0000000843","0.0000000606","0","0","","1915.3082028974"
"2025-04-08","964.6621864308","661.3611576855","171.0590103637","96.5295881175","11.201378372","16.1951667644","12","14.525735","7.2052244454","5.1993488706","2.019800435","1.3313456586","1.2078911106","0.234432672","0.2166666684","0.1654310199","0.1114870008","0.2023","","0.21","0.0642539427","0.0246616","0.0259100749","0.0304881531","0.0259917048","0.000469","0.0004369567","0.0003789718","0.0000861141","0.000036","0.0000024234","0.0000002976","0.0000000843","0.0000000606","0","0","","1965.8108659992"
"2025-04-09","972.2586356977","676.0541535153","163.1861232563","98.6749849558","15.0195977668","16.3970667177","12","7.853945","7.2053431865","5.1991851976","2.0307128066","1.4271638949","1.2079361106","0.234432672","0.2000000016","0.1654389968","0.1103380008","0.119","","0.12","0.0642691436","0.0112098","0.0259100749","0.0305107784","0.0035337","0.000471","0.0004030085","0.0003516638","0.0000861142","0.0000364","0.0000023749","0.0000002976","0.0000000562","0.0000000408","0","0","","1979.6008422299"
