"Service","EC2-Instances($)","Elastic MapReduce($)","S3($)","EC2-Other($)","Systems Manager($)","Relational Database Service($)","VPC($)","Transfer Family($)","CloudWatch($)","Elastic Load Balancing($)","Cost Explorer($)","Route 53($)","Service Catalog($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Glue($)","Lambda($)","SNS($)","Secrets Manager($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","11451.8484123532","7369.56671526","2820.3894269825","2780.8722784573","490.67781","214.433149577","184.0053310152","122.4","26.315008892","10.8528092229","2.32","0.3","0.1596","0.0644522904","0.045273","0.028185","0.0106234863","0.0003065","0.000235","0.0000308","0.0000195447","0.0000192567","0","0","25474.2896866382"
"2025-04-01","753.2563760808","456.8053860036","160.6714597191","177.5150368763","0.05112","12.613714681","10.8224282195","7.2","1.5261717381","0.6384000489","0.08","0.3","0","0.0037913112","0.002514","0","","0","","0.0000008","0.0000009534","0.0000002472","0","","1581.4864006791"
"2025-04-02","787.6294810463","458.1385074972","170.8195143831","157.1417600403","3.09472","12.613714681","10.8214601385","7.2","1.5308592335","0.638400337","0.12","","0.0084","0.0037913112","0.002661","0","0.0023004064","0.00001","0.000015","0.0000024","0.0000009534","0.0000012474","0","","1609.7655996753"
"2025-04-03","736.2358178844","477.0014741568","168.3214763765","148.1915912004","33.06907","12.613714681","10.8399048924","7.2","1.5384320864","0.6384003809","0.11","","0.0119","0.0037913112","0.002364","0","","0.0000215","0.000015","0.0000016","0.0000014301","0.0000012531","0","","1595.7779777532"
"2025-04-04","914.0947938551","568.572629814","175.9808785777","173.1792325743","32.22438","12.613714681","10.9612329448","7.2","1.5366697716","0.6384007452","0.09","","0.0098","0.0037913112","0.002589","0","","0.000017","0.000015","0.000002","0.0000014301","0.0000010002","0","","1897.1081497052"
"2025-04-05","689.9077833994","465.525684702","162.3372384274","177.3506322108","31.23279","12.613714681","10.842064739","7.2","1.5366697716","0.6384000229","0.09","","0.0042","0.0037913112","0.002697","0","","0.0000155","0.00001","0.0000012","0.0000004767","0.0000010002","0","","1559.2856944422"
"2025-04-06","600.200877092","413.3854669572","162.3230947416","157.4886618024","30.63535","12.613714681","10.7994654402","7.2","1.5387531051","0.6384002745","0.1","","0.0105","0.0037913112","0.002367","0","","0.0000215","0.00002","0.000002","0.0000014301","0.0000012531","0","","1396.9404885884"
"2025-04-07","790.2862976336","508.7341838448","164.7434003726","191.2551510327","32.03014","12.613714681","10.8517762754","7.2","1.5485299611","0.6384003553","0.1","","0.0105","0.0037913112","0.002769","0.002478","0.0012164627","0.000019","0.00001","0.000002","0.0000014301","0.0000012474","0","","1720.0223826079"
"2025-04-08","889.4569970532","558.023521356","171.8010335099","203.3812977277","30.33753","12.613714681","10.8983562353","7.2","1.546679944","0.6384006985","0.24","","0.0091","0.0037913112","0.00255","0.002478","","0.00002","0.000015","0.0000024","0.0000009534","0.0000012474","0","","1886.1554901176"
"2025-04-09","694.2168428757","449.1734727096","167.5983518429","165.3460089845","30.06466","12.613714681","10.8263984303","7.2","1.5473073589","0.638400494","0.14","","0.0105","0.0037913112","0.002697","0.002478","0.0022897292","0.0000175","0.00001","0.0000008","0.0000009534","0.0000010002","0","","1539.3869436709"
"2025-04-10","693.5973362229","432.6709434624","172.5319543155","168.5517252459","35.09622","12.613714681","10.805411958","7.2","1.5505736916","0.6384007306","0.38","","0.0098","0.0037913112","0.002589","0.002478","0.004816888","0.000015","0.000015","0.0000016","0.0000009534","0.0000010002","0","","1535.6597890607"
"2025-04-11","588.5215114693","377.074639998","169.1342539038","151.7592946086","31.50853","12.613714681","10.7979828089","7.2","1.5565101462","0.6384007253","0.17","","0.0098","0.0037913112","0.002991","0.002478","","0.0000255","0.000015","0.0000024","0.0000009534","0.0000015003","0","","1350.993944006"
"2025-04-12","491.6807512442","344.601561456","157.479137025","147.6386757226","32.56396","12.613714681","10.7786005802","7.2","1.5533378314","0.6384007402","0.09","","0.0119","0.0037913112","0.002589","0.002478","","0.0000215","0.00002","0.000002","0.0000014301","0.0000012531","0","","1206.858943775"
"2025-04-13","471.7896268297","329.4300380832","160.0028925071","143.6721869904","33.24737","12.613714681","10.7775270316","7.2","1.5533378314","0.6384003935","0.08","","0.0119","0.0037913112","0.002991","0.002685","","0.000021","0.00001","0.0000024","0.0000014301","0.0000012474","0","","1171.0264977366"
"2025-04-14","503.710146956","345.009601728","162.424152417","147.5127342794","31.33312","12.613714681","10.7813673529","7.2","1.5585934798","0.6384006929","0.09","","0.0105","0.0037913112","0.002589","0.002645","","0.0000235","0.00002","0.0000024","0.0000014301","0.0000012531","0","","1222.8914054814"
"2025-04-15","610.8971502807","389.8715388048","162.5620973525","156.2247076117","35.75067","12.613714681","10.7911123466","7.2","1.5595068134","0.6384012883","0.17","","0.0098","0.0037913112","0.002847","0.002655","","0.0000195","0.000015","0.0000012","0.0000009534","0.0000010059","0","0","1388.2980301495"
"2025-04-16","597.1482269384","392.4549262224","169.6501154381","156.5348141312","34.08803","12.613714681","10.8038451505","7.2","1.5635693137","0.6384009304","0.12","","0.0105","0.0037913112","0.0027","0.00268","","0.0000195","0.00002","0.0000016","0.0000009534","0.0000012531","0","","1382.8353574234"
"2025-04-17","639.2183954915","403.093138464","162.0083760727","158.1287674181","34.35015","12.613714681","10.8063964711","7.2","1.5695068142","0.6384003645","0.15","","0.0105","0.0037913112","0.002769","0.002652","","0.000019","0.00001","0.000002","0.0000014301","0.0000012474","0","","1429.7965917658"
