"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","VPC($)","CloudWatch($)","Elastic Load Balancing($)","Secrets Manager($)","Cost Explorer($)","DynamoDB($)","Key Management Service($)","Relational Database Service($)","Route 53($)","Service Catalog($)","Lambda($)","CloudWatch Events($)","Glue($)","SNS($)","SQS($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","11227.3855362236","11049.4971997591","5915.7617023752","3603.0773973413","340.0044846693","45.1759830545","40.1064014066","5.6182161156","4.23","2.175220215","1.7731130136","0.6613509116","0.3","0.1498","0.1360227767","0.023638","0.000885","0.000332","0.0000312","0.0000209962","0.0000152544","0","0","0","32236.0773503127"
"2025-04-01","621.7242773526","653.9421961787","293.6398733264","212.9094534093","19.9993880309","2.6574842256","2.3592000392","0.3335583336","0.2","0.127954365","0.1041070008","0.0389029948","0.3","0","0.0052574747","0.001213","0","0","0.0000012","0.0000009998","0.0000004767","0","0","","1808.3428684081"
"2025-04-02","528.0557952236","660.0786531792","253.4245345392","166.3312162522","19.9910403405","2.5606770972","2.3592000392","0.3199194447","0.23","0.12795408","0.1040800008","0.0389029948","","0.0098","0.0079391365","0.001022","0","0.000021","0.0000016","0.0000009998","0.0000009534","0","0","","1633.6407588811"
"2025-04-03","556.6764912707","664.6514098433","283.9830957336","162.4981060294","19.9933370298","2.6299380401","2.3592000392","0.3338483336","0.22","0.12795408","0.1042510008","0.0389029948","","0.0098","0.0080191661","0.001137","0","0.0000235","0.0000024","0.0000014997","0.0000009534","0","0","","1693.6355189145"
"2025-04-04","631.3009833376","662.2394396929","318.010797156","182.1360594129","19.9936883222","2.6445995482","2.3592000392","0.3336983336","0.2","0.12795408","0.1041760008","0.0389029948","","0.0098","0.0080155909","0.001339","0","0.00002","0.0000012","0.0000014999","0.0000009534","0","0","","1819.5086771624"
"2025-04-05","659.3208112228","657.7853468145","328.1989308456","226.934635348","19.9936475406","2.6014781192","2.359200039","0.3334133336","0.2","0.12795408","0.1042990008","0.0389029948","","0.0063","0.0082662576","0.001594","0","0.00001","0.0000012","0.0000004999","0.0000004767","0","0","","1898.0147917731"
"2025-04-06","717.8300693061","653.6411510488","349.7919836808","258.1347337584","19.9932584101","2.5863840505","2.3592000392","0.3336683336","0.21","0.12795408","0.1040440008","0.0389029948","","0.0098","0.0082500601","0.001321","0","0.00002","0.0000016","0.0000014997","0.0000009534","0","0","","2005.1707448163"
"2025-04-07","562.6158070212","664.8449295543","288.4380726324","191.333437369","19.9941001455","2.6216265133","2.3592000392","0.3336733336","0.21","0.12795408","0.1040470008","0.0389029948","","0.0105","0.0080933492","0.001416","0","0.0000195","0.000002","0.0000014997","0.0000009534","0","0","","1733.0417839864"
"2025-04-08","599.5203164943","670.9882556439","310.158754068","201.7096965976","19.9933799228","2.7803451475","2.3592000392","0.3198494447","0.35","0.12795408","0.1043140008","0.0389029948","","0.0112","0.0081710579","0.001331","0","0.0000225","0.0000016","0.0000009998","0.0000014301","0","0","","1808.4716970214"
"2025-04-09","568.204282132","661.0135957329","311.2384446912","196.673467678","19.9963970555","2.5604883962","2.3592000392","0.3339083336","0.26","0.12795408","0.1041190008","0.0389029948","","0.0049","0.0081159141","0.001341","0","0.0000195","0.0000016","0.0000014997","","0","0","","1762.925139648"
