"Service","EC2-Instances($)","EC2-Other($)","S3($)","ElastiCache($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Elastic File System($)","Directory Service($)","Transfer Family($)","WorkSpaces($)","Route 53($)","SES($)","Global Accelerator($)","Config($)","Backup($)","Secrets Manager($)","Cost Explorer($)","Key Management Service($)","Elemental MediaLive($)","Service Catalog($)","Glue($)","EC2 Container Registry (ECR)($)","CloudFront($)","DynamoDB($)","SNS($)","Lambda($)","SQS($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","20420.3667443748","18303.7590851674","7301.0713799591","4152.1387613284","1788.5783499671","937.971020047","475.3135135436","408","287.4998995382","216.6779827013","171.3776577137","122.4053722702","73.8","64.5278645966","28.2766666372","10.2000205142","8.748","8.5848511798","6.594795","4.6","4.1009436984","4.08","2.0622","2.0133519968","0.8542536325","0.5861903054","0.362304","0.029375482","0.0097213742","0.0006012","0.0000348001","0.0000010962","0.0000010908","4.2e-8","0","0","54804.590943257"
"2025-04-01","1373.0009596435","1076.832756437","426.5977961279","251.0422507008","106.1924870857","55.1767755451","28.4233790488","24","15.910825153","12.0611507956","10.0233333667","7.2","73.8","16.8629079998","1.6633333316","0.6000015713","0.612","0.5932819757","0.38653","0.25","0.2409533352","0.24","0","0","0.0522538872","0.00116315","0.021312","0.0028295618","0.0005372921","0.0000156","0.0000019596","0.0000000522","0.0000000122","","0","","3481.7888356328"
"2025-04-02","1478.3427461607","1093.1917029465","468.4348939116","256.8347507006","108.6408033839","55.1828966344","30.1233902411","24","16.4957856135","12.417923222","10.3068898726","7.2004714642","","4.5546083998","1.6633333316","0.6000013582","0.669","0.5700738141","0.373725","0.26","0.2410943352","0.24","0","0","0.0522538872","0.00145115","0.021312","0.0040368786","0.0006006678","0.0000372","0.0000021302","0.0000000522","0.0000000694","","0","","3570.4237844254"
"2025-04-03","1330.4505796035","1080.1963733342","439.1252109686","254.8112506959","106.6603950087","55.1830960817","28.1892819656","24","16.6679927405","12.6592430612","10.0634501136","7.2005503611","","3.9798035998","1.6633333316","0.6000012489","0.603","0.5451446606","0.394875","0.27","0.2408933352","0.24","0.0126","0","0.0522538872","0.00156195","0.021312","0.0044214082","0.000545812","0.0000444","0.0000018884","0.0000000783","0.0000000816","","0","","3373.8372166164"
"2025-04-04","1307.0249379082","1084.0548200952","421.8992097324","251.7937506934","105.9901614643","55.1832346239","27.8639165431","24","16.4474720131","12.393252576","10.0263623253","7.2005609371","","2.1891217998","1.6633333316","0.600001574","0.534","0.5223776149","0.396995","0.26","0.2410553352","0.24","0.0091","0","0.0522538872","0.00135325","0.021312","0.0046070048","0.0006093901","0.0000304","0.000002079","0.0000000783","0.0000000544","","0","","3330.6138317113"
"2025-04-05","1141.7623179471","1091.375227484","417.3848554605","251.6785006884","106.3956204627","55.1642571948","27.005746703","24","16.6582837154","12.448177481","10.276089853","7.2","","2.6901875998","1.6633333316","0.6000012943","0.432","0.4996971148","0.396035","0.25","0.2405513352","0.24","0.0063","0","0.0522538872","0.00128465","0.021312","0.0015305475","0.000594764","0.0000224","0.0000019613","0.0000000261","0.0000000422","","0","","3168.4441829439"
"2025-04-06","1115.2897460763","1081.752031043","407.7951626109","249.9925006786","104.1092183919","55.1819890799","27.2364596054","24","16.6796380546","12.5134607692","10.0571450196","7.2","","3.5665955998","1.6633333316","0.6000010579","0.477","0.4798104799","0.396605","0.26","0.2410223352","0.24","0.0112","0.1675136664","0.0522538872","0.0532339054","0.021312","0.0004163932","0.0006021927","0.0000372","0.0000021081","0.0000000783","0.0000000694","","0","","3120.0382906345"
"2025-04-07","1249.6366034412","1081.7739030895","427.4264499178","249.4490006643","102.948160095","55.1807360035","28.6319401257","24","17.0960176524","13.2981299875","10.0554736332","7.2","","2.2703397998","1.6633333316","0.6000008782","0.633","0.4790285265","0.39812","0.27","0.2410193352","0.24","0.1547","0.1675136664","0.0522538872","0.0417974","0.021312","0.0017794674","0.0005946422","0.00003","0.0000020636","0.0000000783","0.0000000544","","0","","3273.9312397409"
"2025-04-08","1234.2823820793","1084.3889327473","430.257679803","251.7360006524","104.3859233098","55.1799990806","28.6425925952","24","17.0999631944","12.4634925866","9.8040819525","7.2005305543","","2.2344309998","1.6633333316","0.6000008241","0.723","0.4799101582","0.378475","0.4","0.2404553352","0.24","0.1666","0.1675136664","0.0522538872","0.0518393","0.021312","0.0006730035","0.0006401108","0.0000372","0.0000019557","0.0000000522","0.0000000544","0.000000042","0","","3266.8620554765"
"2025-04-09","1222.9875485617","1084.1810114643","445.4594582547","249.5987506429","103.2383105799","55.167541018","29.2529662449","24","16.7644539394","12.7587374053","10.2160680028","7.2005677885","","2.1992215998","1.6633333316","0.6000010335","0.453","0.4816973938","0.374215","0.31","0.2414693352","0.24","0.2142","0.1675136664","0.0522538872","0.03967325","0.021312","0.0005551609","0.0005930631","0.0000376","0.0000019921","0.0000000783","0.0000000816","","0","","3267.8844923759"
