"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Route 53($)","VPC($)","CloudWatch($)","DynamoDB($)","Elastic MapReduce($)","Direct Connect($)","SageMaker($)","Elastic Container Service($)","EC2 Container Registry (ECR)($)","QuickSight($)","WAF($)","Step Functions($)","Cost Explorer($)","Key Management Service($)","Glue($)","CloudFront($)","Secrets Manager($)","SQS($)","Lambda($)","Service Catalog($)","FSx($)","SNS($)","Backup($)","Claude 3 Sonnet ( Bedrock Edition)($)","CloudWatch Events($)","Elastic File System($)","Bedrock($)","Location Service($)","API Gateway($)","Simple Workflow Service($)","Glacier($)","CloudTrail($)","SimpleDB($)","CloudFormation($)","Total costs($)"
"Service total","55811.7951730748","35376.9429108635","6282.5565495416","5312.5050226353","1531.8381869175","1069.7097797538","303.5029165532","263.5416716047","168.6746332842","48.96","44.0007530525","20.6068985518","13.7831954544","13.6000001088","11.9000000136","6.6942423634","5.78","3.6007810272","1.8260239912","1.6638573527","1.5729961156","1.279293","0.3506774571","0.2989","0.1614501951","0.1551616281","0.1300625658","0.057078","0.05017","0.0349862031","0.00037476","0.00032","0.0000238498","0.0000195775","1.38e-8","0","0","0","106297.5741095101"
"2025-04-01","3436.0676919722","2273.4514563936","366.0542800958","328.2985933729","225.6047183775","63.980206581","14.8035787583","61.8198785575","5.913804036","2.88","2.1907594065","0.6855750985","0.8107762032","0.8000000064","0.7000000008","0.3667672517","0.44","0.2111540016","0","0.0019737107","0.0934233336","0.0752316","0.0134491352","0","0.0094970703","0.0021157883","0.0076506949","","0.003448","0.0032283223","0.00037476","0.00001","","0.0000004775","","0","","","6785.2896430063"
"2025-04-02","3484.4983148672","2263.2776521878","366.1285728872","328.9472357135","135.2756561775","63.2682787448","18.756456469","12.6077302296","7.5734062452","2.88","4.1869034132","1.1394961749","0.8107762032","0.8000000064","0.7000000008","0.4176970062","0.33","0.2166740016","0","0.0039748","0.0895394447","0.0752476","0.0205293181","0.0098","0.0094970703","0.0028997474","0.0076506965","","0.003763","0.0031883209","","0.00004","","0.0000014325","","0","0","","6692.0409817585"
"2025-04-03","3584.0904918217","2228.060272882","368.4713941371","320.6531011394","82.6293349775","62.578378244","18.4005769271","12.6075847968","9.3628951608","2.88","5.8415497904","1.0521674489","0.8107762032","0.8000000064","0.7000000008","0.4111995093","0.33","0.2173100016","0","0.0028606","0.0934733336","0.075259","0.0236407471","0.0119","0.0094970703","0.0033469777","0.0076507144","","0.004854","0.0022709718","","0.00002","","0.0000014325","","0","0","","6700.1318078944"
"2025-04-04","3398.3515215404","2165.5655888773","364.5398631563","320.0652201318","84.5664802775","62.414027539","18.4020470672","12.6077302296","9.63975888","2.88","4.2283048918","0.6425099447","0.8107762032","0.8000000064","0.7000000008","0.4032190062","0.32","0.2138750016","0","0.00247795","0.0934283336","0.0752753","0.0221114891","0.0154","0.0094970703","0.0048576182","0.0076507298","","0.003533","0.0022680235","","0.00002","","0.000000955","","0","0","","6447.3874432233"
"2025-04-05","3292.536220964","2037.4294646201","365.4448278101","315.097400425","84.8027945775","62.2617513362","17.8473992164","12.607439364","8.9063011992","2.88","1.3653333336","0.0750154594","0.8107762032","0.8000000064","0.7000000008","0.3702155031","0.32","0.2094230016","0","0.0036384","0.0933883336","0.075232","0.0187598332","0.0126","0.0094970703","0.0098052526","0.0076507293","","0.002114","0.0015959114","","","","0.000000955","","0","0","","6204.698645506"
"2025-04-06","3284.0747885714","2023.5785297885","362.8584962889","295.8355825964","69.7487122775","60.7876624347","17.9352948726","12.6077302296","8.7860108136","2.88","1.3653333336","0.0475848632","0.8107762032","0.8000000064","0.7000000008","0.3640602548","0.35","0.2094950016","0","0.204551406","0.0934733336","0.075246","0.0178032705","0.0224","0.0094970703","0.0093642096","0.0076507293","","0.001923","0.0015979712","","0.00002","","0.0000014325","","0","0","","6144.1835859598"
"2025-04-07","3337.7704229998","2150.8446674725","365.8611828793","313.0380696294","116.8647741775","63.9697238296","18.6358745682","12.6077302296","17.9642053272","2.88","5.0211408681","1.2251068678","0.8107762032","0.8000000064","0.7000000008","0.4079502548","0.69","0.2166140016","0.1658689992","0.1292755","0.0934683336","0.0752479","0.0216380361","0.021","0.0094970703","0.0114889691","0.0076507288","","0.002682","0.0017624612","","0.00003","","0.000000955","0.0000000124","0","","","6410.8478502815"
"2025-04-08","3284.8662813231","2147.1982635598","392.5610845825","313.5186290956","89.6016766775","63.8080163166","30.4915573975","12.607439364","8.738093064","2.88","3.3354935629","1.69573415","0.8107762032","0.8000000064","0.7000000008","0.3735790062","0.43","0.2141360016","0.1658689992","0.13541435","0.0895444447","0.0752516","0.0223205639","0.0196","0.0094970703","0.0121679561","0.0076507293","","0.003144","0.0017061564","","0.00002","","0.0000014325","0.0000000014","0","0","","6355.1729476155"
"2025-04-09","3267.2330693297","2138.7224682571","380.5039770544","316.7010166127","69.3386423775","64.3705107842","16.7711999163","12.6075847968","9.4785457536","2.88","3.0197553584","0.9053028933","0.8107762032","0.8000000064","0.7000000008","0.3877725093","0.3","0.2101820016","0.1658689992","0.0545099","0.0895344447","0.0752552","0.0222661786","0.0196","0.0094970703","0.011911677","0.0076507304","0.003264","0.003046","0.0017975181","","0.00002","","0.000000955","","0","0","","6286.2050265286"
