"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","DynamoDB($)","API Gateway($)","DocumentDB (with MongoDB compatibility)($)","OpenSearch Service($)","CloudWatch($)","S3($)","Elastic Load Balancing($)","DynamoDB Accelerator (DAX)($)","Lambda($)","VPC($)","Elastic Container Service for Kubernetes($)","Secrets Manager($)","Backup($)","Route 53($)","Cost Explorer($)","Key Management Service($)","SES($)","Service Catalog($)","SQS($)","EC2 Container Registry (ECR)($)","SNS($)","CloudWatch Events($)","Glue($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","232147.813932917","46521.2340036832","37846.5346843","13298.502094063","8430.0524942182","6507.3017020564","4389.3185057902","1846.7572063336","1831.6675610539","1793.2531600966","1498.176","797.0309758796","355.081062417","49.76924264","4.8889900135","2.610856317","2.4442354","1.61","0.6439166712","0.3491728076","0.2674","0.1079352","0.0855093336","0.0650511059","0.023998","0.0022949912","0.0000196159","0.000014325","2.68e-8","0","0","0","357325.5920192564"
"2025-04-01","14031.7662731868","2700.4069917586","2335.0537523986","819.3465711802","666.2832486121","382.345738976","259.9664239402","111.4285840825","109.5451961882","102.3523985664","88.128","44.1059354988","20.4069663249","11.36924264","0.2891350008","0.1509964005","0.4428244","0.08","0.0379773336","0.0220824278","0","0.0063436","0.0050299608","0.0044054718","0.001388","0","0.0000005031","0.0000004775","","0","","","21683.5455069292"
"2025-04-02","14067.1764434599","2728.2166655805","2334.2254886405","800.1167949825","552.4457287972","382.5459621041","251.116388191","113.7834485733","111.5036196566","105.4114863664","88.128","46.7623904513","20.9439909244","2.4","0.2899750008","0.1509964005","0.2402196","0.09","0.0376773336","0.0196809856","0.0098","0.006514","0.0050299608","0.0053638057","0.001578","0","0.0000012616","0.000000955","","0","","","21605.6332450313"
"2025-04-03","14032.617646493","2723.5623786407","2298.6982286404","876.4044602925","545.1677471671","382.6649542224","263.0203809611","112.8910981684","110.9279263487","104.5996324781","88.128","46.2833502867","21.1151926927","2.4","0.2903700008","0.1509964005","0.1254126","0.09","0.0380373336","0.0234806074","0.0098","0.006586","0.0050299608","0.0044726793","0.001734","0","0.0000012548","0.000000955","","0","","","21609.226918184"
"2025-04-04","13653.5560554197","2737.9624612954","2268.90638235","799.703891059","515.1965793907","382.9039837847","251.4283768467","114.2052908392","110.3238339176","105.8527575751","88.128","46.759353868","20.7000078141","2.4","0.2888300008","0.1509964005","0.1141464","0.08","0.0377823336","0.0082780801","0.0154","0.0063452","0.0050299608","0.0033243442","0.001396","0","0.0000010062","0.0000004775","","0","","","21098.7385043639"
"2025-04-05","13467.3827689766","2760.447859627","2201.3160403864","795.8679848276","483.5910681969","383.0041249553","260.1223825032","115.4766940735","110.2802401591","107.943181251","88.128","48.0731031273","20.752370839","2.4","0.2885200008","0.1509964005","0.1088196","0.08","0.0380883336","0.0082786478","0.0098","0.0063812","0.0050299608","0.0043572567","0.001486","0","0.0000010062","0.0000004775","","0","","","20845.4875778068"
"2025-04-06","13545.2298703274","2748.0997670131","2219.7133401682","792.3273853013","466.95371996","382.7086403245","263.0203852082","113.4482227748","105.8276905806","104.9979046536","88.128","46.4835767674","20.3738415468","2.4","0.2885750008","0.1509964005","0.1069158","0.09","0.0378453336","0.0236845765","0.0182","0.0064044","0.0050299608","0.0034787111","0.001512","0","0.0000012548","0.000000955","","0","","","20900.444989019"
"2025-04-07","13604.9959017262","2757.7849972027","2286.6127876605","792.2080255135","473.7844079103","382.5815724419","254.3264136113","114.8053179098","104.5835949833","106.0669045546","88.128","47.2342546664","20.9052109129","2.4","0.2932050008","0.1509964005","0.123916","0.09","0.0378933336","0.027681915","0.0196","0.00657","0.0050299608","0.00417092","0.00169","0.0001189992","0.0000012607","0.000000955","","0","","","21037.178263839"
"2025-04-08","13482.0639335548","2722.8135418538","2288.404473892","799.5497534869","465.7521461915","382.681525317","251.4283722486","110.1738034443","105.3334904822","105.2122525553","88.128","46.566055663","21.1122778587","2.4","0.2771483341","0.1509964005","0.2559814","0.23","0.0376833336","0.0365856213","0.0196","0.0063264","0.0050299608","0.0032677452","0.001382","0.0001189992","0.0000015093","0.000000955","","0","","","20872.6437492071"
"2025-04-09","13482.1374051965","2752.5119426661","2380.8420874637","883.9862147611","486.1293883483","382.6227114618","257.068388887","110.6391557925","106.4980281687","108.5016744263","88.128","48.303083381","21.2206105377","2.4","0.2774833341","0.1509964005","0.110498","0.11","0.0374673336","0.0159803374","0.0112","0.0057756","0.0050299608","0.0037640153","0.000836","0.0001189992","0.0000010062","","","0","","","21111.7178420778"
