"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","Secrets Manager($)","Kinesis($)","DynamoDB($)","Cost Explorer($)","SQS($)","Service Catalog($)","Route 53($)","Key Management Service($)","SES($)","Lambda($)","CloudWatch Events($)","Glue($)","SNS($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","26155.6893216013","18730.7163226105","2324.9659240915","881.0421129299","297.8198674132","100.873038962","40.8","10.233699991","7.14","3.3572169493","1.76","0.3144432","0.1547","0.1","0.036567","0.0084159791","0.0047882119","0.003815","0.0008986608","0.0007208368","0.0000172278","0.0000171612","0","0","48555.0218878263"
"2025-04-01","1790.7558954831","1129.8223259883","131.5503893702","55.488051825","18.2156974095","10.2534595912","2.4","0.7055133328","0.42","0.197481004","0.06","0.022284","0","0.1","0.001938","0.0003002952","0.000078107","0.00031","0","0.0000078961","0.0000005001","0.0000004767","0","","3139.9937332792"
"2025-04-02","1764.2831223349","1273.5706716431","134.6776118768","55.4234798869","17.3081023546","10.4926276291","2.4","0.6624661106","0.42","0.1974882362","0.07","0.028844","0.0091","","0.002046","0.0003002953","0.0003015896","0.000425","0","0.0000180685","0.0000010002","0.0000014301","0","","3259.5466074559"
"2025-04-03","1618.4962980781","1133.4805357094","127.3123562807","51.8438276799","17.4724328665","9.6740991269","2.4","0.6194183328","0.42","0.1974831388","0.08","0.033858","0.0119","","0.002085","0.0003002952","0.0003513459","0.000242","0","0.0000542647","0.0000012474","0.0000009534","0","","2962.0452443197"
"2025-04-04","1583.3755101042","1097.6981554942","131.5311953674","53.1841583563","17.5835386212","9.4534524682","2.4","0.6187283328","0.42","0.1974843141","0.07","0.0328168","0.0084","","0.00207","0.0003002952","0.0002888796","0.000323","0","0.0000606627","0.0000007473","0.0000009534","0","","2896.5764843966"
"2025-04-05","1550.9732024005","1097.1621045553","134.0717496877","52.89915452","17.9282235946","9.4534524749","2.4","0.6159483328","0.42","0.1974791458","0.07","0.027966","0.007","","0.002154","0.0003002952","0.0002893676","0.000236","0","0.0000473821","0.0000007473","0.0000009534","0","","2866.2293094572"
"2025-04-06","1543.7819381409","1087.6500263192","133.597918795","48.1958921919","17.533588057","9.4534624816","2.4","0.5995633328","0.42","0.1974869984","0.11","0.034182","0.0119","","0.002052","0.0003002952","0.0002981821","0.000121","0","0.0000462847","0.0000012474","0.0000009534","0","","2843.9887782796"
"2025-04-07","1594.5335754149","1099.5220989541","128.3755864939","52.7852443955","18.3757544654","9.4585824883","2.4","0.6205083328","0.42","0.197479129","0.11","0.030542","0.0098","","0.002073","0.0003002952","0.000282143","0.000303","0.0000023328","0.0000564911","0.0000007473","0.0000009534","0","","2906.8421906367"
"2025-04-08","1596.930987539","1092.7406647335","133.9952075348","50.6299726383","17.8825365183","3.3068158503","2.4","0.6094411106","0.42","0.197486545","0.36","0.0327632","0.007","","0.002055","0.0014085735","0.0002828105","0.000214","0.0000023328","0.000049082","0.0000012474","0.0000014301","0","","2899.5168901461"
"2025-04-09","1591.1194565151","1090.4311509813","131.535859277","50.2299658205","17.4284586021","3.306935857","2.4","0.5930333328","0.42","0.1974807576","0.23","0.0311276","0.0063","","0.002091","0.0016017273","0.0003027162","0.00015","0.0000023328","0.0000294944","0.0000002472","0.0000004767","0","","2887.933946738"
"2025-04-10","1529.9725083015","1089.4462292856","159.5127845285","49.6849666767","17.0997412759","3.2951899965","2.4","0.5902733328","0.42","0.197482308","0.07","0.0227592","0.0084","","0.002457","0.0005005573","0.0002818785","0.000156","0.0000023328","0.0000336913","0.0000007473","0.0000009534","0","","2852.7237680661"
"2025-04-11","1466.3654944716","1076.8625524643","188.117274754","51.287559109","16.7697952876","3.2655192104","2.4","0.5717383328","0.42","0.1974833942","0.1","0.0023916","0.0112","","0.002298","0.000400431","0.0002838425","0.00014","0.0000023328","0.0000410977","0.0000015003","0.0000014301","0","","2806.3741772583"
"2025-04-12","1475.2802147712","1093.3355201331","145.0316786766","62.2120944619","18.3253517845","3.260119217","2.4","0.6237433328","0.42","0.1974856979","0.07","0.002684","0.0119","","0.002133","0.0004004311","0.0002958053","0.000286","0.0000023328","0.00005849","0.0000012474","0.0000009534","0","","2801.173970335"
"2025-04-13","1405.2175511944","1071.5952570884","132.4944347946","48.8122261708","16.860820112","3.2601192237","2.4","0.5644033328","0.42","0.1974820917","0.06","0.0024704","0.0091","","0.002319","0.0004004404","0.000285998","0.000185","0.0001983328","0.0000441912","0.0000012531","0.0000014301","0","","2681.897300054"
"2025-04-14","1444.6372122732","1068.4201004566","135.9137341362","47.7481420705","16.9385371246","3.2691863964","2.4","0.5602083328","0.42","0.1974881064","0.09","0.0023628","0.0119","","0.002133","0.0004004406","0.0002873192","0.00012","0.0001873328","0.0000359921","0.0000015003","0.0000009534","0","","2720.6120382351"
"2025-04-15","1444.5769162854","1077.4340336559","134.9296432837","51.0705036391","17.533853527","3.2505659079","2.4","0.5610561106","0.42","0.1974797808","0.07","0.0024452","0.0098","","0.002316","0.0004004402","0.0002825235","0.00016","0.0001683328","0.0000395984","0.0000010002","0.0000004767","0","0","2732.4596657622"
"2025-04-16","1383.8465105947","1071.2749344123","130.9222878277","49.5296211962","17.2846768282","3.2136162293","2.4","0.5607283328","0.42","0.1974802903","0.07","0.0024","0.0105","","0.002112","0.0004004403","0.0002916125","0.000162","0.0001643328","0.0000404946","0.0000010002","0.0000009534","0","","2659.7359285453"
"2025-04-17","1371.5429276986","1080.2699607359","111.3962114067","50.0172522914","17.2787589842","3.2058348133","2.4","0.5569283328","0.42","0.1974860111","0.07","0.0025464","0.0105","","0.002235","0.0004004309","0.0003040909","0.000282","0.0001663328","0.0000576552","0.0000012474","0.0000014301","0","","2637.3718548613"
