"Service","S3($)","EC2-Instances($)","Elastic MapReduce($)","EC2-Other($)","VPC($)","Relational Database Service($)","Elastic File System($)","CloudWatch($)","DynamoDB($)","Elastic Load Balancing($)","SES($)","Elastic Container Service for Kubernetes($)","OpenSearch Service($)","Lambda($)","Glue($)","ElastiCache($)","Key Management Service($)","Cost Explorer($)","SageMaker($)","EC2 Container Registry (ECR)($)","API Gateway($)","Secrets Manager($)","SNS($)","SQS($)","Service Catalog($)","Route 53($)","CloudWatch Events($)","Athena($)","Direct Connect($)","CloudTrail($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","1753061.8861165352","1733798.7873314435","1178892.677442279","268739.0469654796","44449.7676970614","18817.3718572404","9573.8455420018","9333.8346785365","5635.736898212","5084.7883799848","2293.1901025314","1317.61010583","965.7656035632","676.5015710792","625.0242840349","420.48","344.9953174839","256.68","228.766307565","216.3193890784","155.04801186","153.5853879396","5.2027364867","3.7526082391","2.6614","2.4","0.98608","0.11849","0.0025793186","0.001982","0.0005711492","0.0005165822","1.663e-7","0","0","5035056.835953682"
"2024-04-01","154077.3559369251","139486.8801823402","92037.3936528748","29273.7574011972","3229.9493362679","1612.3227287643","2160.6634802776","784.9160616991","460.4157822155","560.2785413681","165.0447874161","72","79.4138316921","52.6002588971","48.8605773674","34.56","26.38713504","19.21","21.055999968","14.0512820512","13.07167988","11.92714","0.4392256045","0.3254940136","0.0497","0.2","0.076851","0.039825","0.0006693699","0.000018","0.0000495089","0.000026023","","0","","424243.2476547616"
"2024-05-01","150929.3508792026","137520.7810610134","83816.9232848848","24707.3970410649","3373.9944794991","1665.1376512267","1610.0313895488","787.7912685877","475.0202924676","467.1514897742","199.0169710713","247.34994944","81.9581249177","37.4192819338","49.7921637053","35.712","26.40865092","22.99","21.74719998","17.3040697035","13.29560624","12.575618202","0.4526598766","0.3248716622","0.0371","0.2","0.155668","","0.0004828926","0.000043","0.0000518224","0.000027496","","0","","406120.3193781332"
"2024-06-01","142292.8188817251","137916.5726680113","92992.7824067524","25394.6183437267","3219.4497403222","1614.5739013748","518.7715188623","796.2646852726","460.5729432392","397.7946572077","211.0328097208","72","79.4154919514","38.8366545749","46.6754029616","34.56","27.7008895955","20.76","21.055999968","18.3558252728","14.56727202","13.269525","0.4110868853","0.29396","0.0896","0.2","0.063902","","0.0007862943","0.000069","0.00004627","0.0000240599","0.0000000358","0","","406203.5090921046"
"2024-07-01","132616.381190522","137812.2561086607","95109.3050858444","25572.147068074","3485.3884660895","1793.5219850178","538.4826434949","822.0993545611","477.8490647073","412.155504917","227.9702446008","74.4","81.9600793743","40.0775343578","46.4675294904","35.712","29.04040692","19","21.74719998","18.4259185526","14.99863008","13.503694331","0.4347562375","0.309966","0.4088","0.2","0.082644","0.037105","0.0006407618","0.000129","0.0000528657","0.000040728","","0","","399264.3638441686"
"2024-08-01","133235.9448645007","138372.8799310474","97866.4183040336","24832.7545873499","3493.0386107212","1848.1757459517","547.0656332304","805.4921095324","478.5747194779","412.4664011844","220.4245919974","74.4","81.9791934946","32.2273949263","52.1739218225","35.712","29.53196592","16.86","21.74719998","18.4411282622","14.26378856","13.57636546","0.4295711836","0.3023464136","0.4669","0.2","0.090424","0.037315","","0.000167","0.0000514836","0.0000563802","0.0000000502","0","0","402505.6752889638"
"2024-09-01","134181.7810408609","132143.7236947714","97350.4025007524","23919.7907840597","3566.0732668151","1485.3547274749","538.577119339","764.1441717899","464.3635477777","398.9832354993","208.7184328548","72","79.4159343642","28.1747427917","53.067424464","34.56","28.8381335981","23.41","21.055999968","18.5217600242","12.50099326","12.57653","0.3918859216","0.2906824","0.2513","0.2","0.065005","","","0.00006","0.0000448098","0.0000501773","0.0000000506","0","0","395407.2330688246"
"2024-10-01","140004.332970104","136195.304551425","104188.096267124","21016.20057946","4125.3536724165","1492.4974081945","553.1993368889","816.6381655686","479.8569622735","414.9170671786","204.6175397185","74.4","81.9609903116","50.0499744205","56.337820107","35.712","30.576950388","23.59","21.74719998","18.5274050928","12.5733377","12.412683202","0.4304666565","0.3043792","0.7546","0.2","0.065234","","","0.000196","0.0000512932","0.0000557089","","0","0","409910.6578644126"
"2024-11-01","139000.7792543103","142571.0933476216","103882.0300856824","18591.272951135","3805.0001714959","1449.6549585189","604.1276352791","769.7861309991","464.9531391103","400.9112405905","130.2557578401","132","79.420103678","66.2894907336","54.6527940779","34.56","29.163798048","23.08","21.055999968","18.52740504","11.6204368","12.573985","0.417689791","0.3032152","0.1029","0.2","0.074118","","","0.000086","0.0000500535","0.000052007","0.0000000297","0","0","412153.9067970099"
"2024-12-01","148682.5125343036","159776.8481816403","106103.9905572716","18285.2199536311","4021.0576936509","1492.5246288998","648.5821018861","760.5486749642","480.4272863522","413.4877083231","158.7363321034","283.06015639","81.9643825798","91.5904911045","56.7366288455","35.712","29.989898904","23.19","21.74719998","18.5274050928","12.67830242","12.868061589","0.4272373959","0.31536","0.1127","0.2","0.082732","0.00123","","0.000286","0.0000500535","0.0000537582","","0","0","441493.1398291395"
"2025-01-01","154668.4052150752","149288.0530910874","105133.0327643034","18355.0254020493","4034.4049998391","1493.6844342274","591.2691572547","744.1551480271","474.2211663862","412.8238743963","189.2775329674","74.4","81.9625370306","86.9018783872","57.3714724656","35.712","29.582966904","23.16","21.74719998","18.5274050928","12.29052356","12.804008847","0.4538891705","0.3281240272","0.1176","0.2","0.073533","0.00231","","0.000357","0.0000495768","0.0000507552","","0","0","435839.9886914104"
"2025-02-01","153587.2527962449","139126.9955771313","92929.4641299656","18248.744796116","3653.5826645858","1368.2353176911","534.511139386","702.7346189314","436.8863487452","386.8270382892","209.273055981","67.2","74.3376579385","73.4169755473","50.2501185163","32.256","27.6215573423","20.9","14.059107813","18.5451065615","11.09200834","12.6488285906","0.452627606","0.3256877089","0.1036","0.2","0.053998","","","0.000246","0.000042903","0.0000455108","","0","0","411587.9710914457"
