"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","ElastiCache($)","EC2-Other($)","Relational Database Service($)","Managed Streaming for Apache Kafka($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Athena($)","CloudWatch($)","Systems Manager($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Glue($)","CloudTrail($)","Key Management Service($)","Secrets Manager($)","Route 53($)","WAF($)","Cost Explorer($)","Lambda($)","Elastic File System($)","Backup($)","CodePipeline($)","CloudFront($)","API Gateway($)","Compute Optimizer($)","Service Catalog($)","CodeBuild($)","SNS($)","DevOps Guru($)","CloudWatch Events($)","DocumentDB (with MongoDB compatibility)($)","SQS($)","Keyspaces (for Apache Cassandra)($)","Amplify($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","Elastic Container Service($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","317085.6566739292","315556.6978973993","129969.7229714114","121815.4133761519","103810.7142524894","56267.2507523636","32224.1507046913","32144.3790626943","18027.6797478376","16198.7806127202","13411.000005","10438.0108318393","9254.473936","6898.7987640313","3975.8681238445","2823.194392224","499.2376348877","343.5995015119","226.1792210414","101.0723248323","91.7096046","85.652824128","20.67","17.1615870741","8.138474823","7.4567386342","7","4.3167985666","3.787831227","2.9435472204","2.9288","1.87","1.4495420026","1.28996","0.160212","0.034841484","0.0116712781","0.0077313436","0.001822561","0.000574479","0.00052062","0.0000031923","7.4e-8","0","0","0","1191328.4738722085"
"2024-04-01","33572.6587618848","22672.0515175546","14405.3034701086","8480.076","11557.5629334935","4317.7044628249","4706.6570092448","4114.5956380965","1211.0936496974","1461.9183982188","1704.30913","1047.6005675563","0.000546","648.9385162139","216.0679930421","228.494108889","44.1083711719","34.4881488243","19.2786563726","6.5506983124","8.5768232","8.324714256","2.92","1.6367899363","0.8163364524","0.437063082","2","0.3367623487","0.4393009201","0.2419353867","0.0532","0.882","0.0187604948","1.08784","0.020005","0.002903472","0.0013712","0.0006924029","0.0001396934","0.0000499716","0.0000262685","","","0","","","110477.2552915918"
"2024-05-01","26687.4750460457","22785.0146798305","10011.2709991756","8782.549","8682.7203544866","4670.6601652354","4674.7837694952","2633.038396922","1328.85810412","1313.7931103517","1575.347745","1035.7753060931","0","665.7644436302","223.4652915989","223.2","43.2386288284","29.848334023","18.504551712","6.9476350843","7.8903112","7.328110488","2.08","1.8282284864","1.1002126344","0.5342631822","3","0.3245044695","0.4469888971","0.2499999027","0.0378","0.816","0.019229327","0.028","0.013749","0.00290346","0.0013912","0.0006923387","0.0001498595","0.0000513597","0.0000275594","","","0","0","","95417.9581749972"
"2024-06-01","26504.9859469943","23786.2462665224","10630.2429518992","9225.21","8572.1063122166","4486.8703751271","4708.7266297153","2379.044318104","1397.2337375669","1278.3951831611","1556.228845","885.524823839","0","619.302316992","216.5911292957","216","43.170685225","30.0350123875","18.430860144","7.0792044524","7.950555","7.000000056","1.34","1.4222175876","0.7797758622","0.57858562","0","0.2505120231","0.4425331653","0.2419353867","0.0882","0.096","0.0090698183","0.0206","0.012024","0.002903472","0.0010648","0.0006924058","0.0001362197","0.0000453446","0.0000245667","","","0","","","96581.6614739705"
"2024-07-01","24233.0391854359","25095.0490931886","10458.2557144632","9353.4715740091","8479.9448626656","4473.3979299721","5395.4697556854","2509.7211103102","1432.9276344135","1344.3167365045","1150.978215","923.668822686","0","638.0176966132","223.5735056027","223.2","44.9030719445","28.6935812027","18.416573712","6.84910137","7.8455628","6.999999888","1.29","1.2648822722","0.6734444546","0.6074177112","2","0.4331754847","0.3453141446","0.2499999027","0.3955","0","0.0135507823","0.032","0.011144","0.00290346","0.0016316","0.0006923398","0.0002093721","0.0000538159","0.0000404636","","","0","0","0","96056.0616872709"
"2024-08-01","25369.4207155126","25549.7096276465","11038.1528474924","9373.8754577603","8520.4008018237","4476.3889004764","4213.2743273806","2972.0847049539","1464.376105421","1260.4515201499","1367.735665","1018.8982233404","0.000195","635.5335786867","223.2","223.2","43.6523265268","29.6664135921","18.430370712","6.932913754","8.9105884","6.999999888","1.05","1.4035244753","0.5940522874","0.6196773895","0","0.3441733636","0.3916952069","0.2499999027","0.7105","0.076","0.0120914944","0.02412","0.014264","0.00290346","0.0012972","0.0006923411","0.000137163","0.0000504711","0.0000555609","0.0000031923","0.0000000289","0","","0","97826.7905210544"
"2024-09-01","24932.5447399313","26363.3720280596","11145.1258722146","9298.3630462754","8370.963014991","4351.9645932374","1256.8784491746","2845.9637171467","1512.4114551626","1462.3478481898","1190.817485","786.1415625216","0.000195","614.6430050459","249.331377022","216","45.550078473","26.8295666585","18.418626144","7.2009116348","8.3780262","7.000000056","0.97","1.2881782572","0.6320842432","0.6382009244","0","0.2846062","0.3295918632","0.2419353867","0.2597","0","0.0065620301","0.01156","0.010997","0.002903472","0.00058","0.0006924007","0.0001398657","0.0000452865","0.0000499209","","0.0000000183","0","","0","94714.9234250077"
"2024-10-01","25030.5096100846","28394.2125940648","10783.4908149192","10568.5173121024","8263.6640960207","4478.7444670123","1282.114161222","2776.8533431967","1550.9927139913","1300.769452568","1363.0225","793.0069120149","0","624.645234026","446.4710107817","223.2","47.118939448","23.355068063","18.426157164","7.22253133","7.0476532","6.999999888","0.98","1.5399422682","0.5614738115","0.6448983743","","0.360080836","0.3643784935","0.2499999027","0.7532","0","0.0115398235","0.026","0.012913","0.00290346","0.0012824","0.0006921703","0.0001374677","0.0000522738","0.0000562538","","","0","","0","97995.8941216329"
"2024-11-01","22183.7428154527","27825.6561124419","8902.0383115454","10484.751933678","7646.0249230938","4350.8010287155","1238.8854207383","2401.0857693742","1577.1445833067","1245.9831451026","1188.257805","755.9571692607","862.42124","502.3410016118","432.07738222","276","38.3938528745","23.0574909197","18.408180144","7.2143866348","6.1907354","7.000000056","0.95","1.4173212045","0.6475954802","0.6612147496","","0.3484298","0.3444752806","0.2419353867","0.112","0","0.009518933","0.01724","0.010241","0.002903472","0.0008604054","0.0005770007","0.0001378653","0.0000500535","0.0000517507","","","0","0","0","91978.1978399528"
"2024-12-01","23493.6865135541","30594.6392515423","9434.6153133022","10898.7182548163","7655.8823784596","5157.7048761903","1260.9963418137","2494.8754897868","1603.0677456718","1492.0337432225","1084.01021","772.4995096785","1599.50244","514.4225064435","446.9071344247","237.900283335","36.1308967466","26.1882386692","18.502958712","7.2138359","6.9505572","6.999999888","1.82","1.4161873973","0.6160694968","0.6756882855","","0.459536","0.3078943602","0.2499999027","0.1253","","0.007443001","0.01468","0.009632","0.00290346","0.000752","0.0005769945","0.0001582938","0.0000519603","0.0000535087","","","0","","0","98849.1554060179"
