"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","SageMaker($)","VPC($)","Elastic Load Balancing($)","Elastic File System($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Cost Explorer($)","Glue($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Claude 3 Sonnet ( Bedrock Edition)($)","Secrets Manager($)","Service Catalog($)","SES($)","Key Management Service($)","Athena($)","SNS($)","Route 53($)","Lambda($)","Bedrock($)","CloudWatch Events($)","SQS($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","282573.6035227446","170089.85958768","139066.9453664333","83748.0822648495","17789.963089861","7591.516125573","5335.6143262281","1617.8198632328","775.58713306","771.9370087721","229.18","37.0931705351","15.5587653958","12.9824241023","6.334056","5.4266158808","2.7034","1.5866096073","1.447893","1.347165","0.1811947718","0.1","0.0731535682","0.01585732","0.004525","0.0025268","0.0005704532","0.0005189159","0.0000070741","1.02e-7","0","0","709674.9667419608"
"2024-04-01","41722.40694174","14283.6252985074","20877.0172653736","11908.4261661699","3594.9691568637","719.6662336834","814.2027201331","942.3336404685","54.956228833","80.8180789248","10.3","2.7648672088","1.2794807358","0.98508367","","0.4077539208","0.0504","0.1250928028","0.117975","0.52008","0.0156608894","","0.0062054278","","0.001979","0.0004268","0.0000459188","0.000024418","0.0000070646","","0","","95014.9968135542"
"2024-05-01","42278.2237816456","13124.0730122704","21102.3676597674","14567.1506776411","3659.0658576399","643.557593706","936.4986646794","311.0322730114","77.35019789","91.2938136898","10.65","2.7741949912","1.3213652445","1.0232391318","","0.4038841872","0.0798","0.1408775036","0.125679","0.125965","0.017078976","","0.0057430416","","0.001545","0.000282","0.0000518224","0.000027496","","","0","","96807.2832653353"
"2024-06-01","37162.6640085814","9722.5823536042","16950.6118922994","11856.5512007209","3589.836178919","659.340172648","1000.1345895662","51.7502528557","138.358079501","89.7281368977","10.92","2.8865204991","1.2787408663","1.0531243438","","0.4033578096","0.0861","0.1317040563","0.111822","0.203865","0.0124371936","0.1","0.0063671428","","0.000569","0.0002212","0.0000458073","0.00002455","","","0","","81238.7517650623"
"2024-07-01","38502.52299343","15830.1004921108","17225.4804465684","11679.4237939698","2703.1853497867","681.2181361921","980.2779823748","52.027034797","148.8","89.8029448858","19.71","2.6365016507","1.3213655284","1.0767793417","","0.4049941872","0.4011","0.1389918764","0.110166","0.05218","0.0207577079","","0.0072837812","0.00060122","0.000182","0.0003276","0.0000514283","0.0000404286","","","0","","87918.7204968658"
"2024-08-01","29871.4844682204","16574.4652651603","13966.870321857","9522.0478694574","2095.0610329721","722.3330772479","926.7322451116","35.9510460962","151.397081502","85.5446668164","21.31","3.7440546947","1.3213654252","1.0885520534","","0.403949456","0.4648","0.128452651","0.113673","0.071195","0.0182901046","","0.0070547338","","0.000142","0.0002452","0.0000519603","0.0000563837","","0.0000000543","0","","73980.5589571583"
"2024-09-01","14561.6571423974","14700.1102828578","8098.5575564553","4423.4661485482","1619.6075277242","615.5853337588","258.3197313017","37.2729566884","137.137923528","63.5549024985","21.32","3.1591133581","1.2787424311","1.107949392","","0.4012783652","0.2653","0.1319207946","0.108729","0.069675","0.0102490972","","0.0062096981","","0.000049","0.000124","0.0000471933","0.0000506756","","","0","","44543.1289437635"
"2024-10-01","13709.0486970692","14585.9424998082","7819.6944378994","3988.648154673","","606.9629318624","72.9923057372","30.8087915117","","45.4874134684","21.83","3.4173044758","1.3213668354","1.1079493992","","0.4035418216","0.7427","0.135607211","0.117411","0.177475","0.0217475835","","0.0062189816","","0.000004","0.0002624","0.0000532272","0.0000556882","","","0","0","40888.866929653"
"2024-11-01","13601.8463004334","14592.3720902254","7662.0912355072","4079.8468987929","","585.7662895234","68.8323809696","30.7699615264","","47.2787032953","21.24","3.0833657087","1.2787418934","1.107949392","","0.4021528096","0.1057","0.1326982719","0.121806","0.082225","0.0160036988","","0.0060972244","","","0.0001776","0.0000486234","0.0000517563","","","0","0","40696.3808782521"
"2024-12-01","13930.9193745334","14612.6233998046","7065.1494893186","3462.667839709","","603.4204356976","71.1271432682","30.7697592261","","45.1575935786","22.92","3.0508627198","1.3213672063","1.1079493992","","0.401574456","0.1239","0.1414023521","0.14334","0.01862","0.0145841087","","0.0058006851","","0.000002","0.0001516","0.0000500535","0.0000532671","0.0000000027","","0","0","39851.0846929866"
"2025-01-01","11755.894270515","14441.0017904181","6192.5430564348","2933.8992758666","0.3860462891","605.1675575045","71.1265116466","30.769754478","","44.4043603375","22.75","2.9795664259","1.321367229","1.1079493992","2.128533","0.4020647248","0.1169","0.1297921417","0.144759","0.00245","0.0134157644","","0.005798508","","0.000002","0.0001316","0.0000495768","0.0000512563","0.0000000041","0.0000000477","0","0","36106.2954541681"
"2025-02-01","11526.1600972002","13904.0848574232","5609.773631225","2744.9644627352","415.1470166871","546.1044515068","64.2433693584","32.9124493488","9.306139139","44.3115286268","20.89","2.7440269136","1.1934945353","1.1079491808","1.866744","0.4026850032","0.1085","0.1206811402","0.129639","","0.0119343183","","0.0048762132","","0.000047","0.000108","0.0000438564","0.0000457592","0.0000000027","","0","0","34925.5887781734"
"2025-03-01","13950.7754469786","13718.8782454896","6496.7883737272","2580.9897765655","112.7049229792","602.3939122421","71.1266820813","31.4219432246","58.281482667","44.5548657525","25.34","3.8527918887","1.3213674651","1.1079493992","2.338779","0.9893791396","0.1582","0.1293888057","0.102894","0.023435","0.0090353294","","0.0054981306","0.0152561","0.000004","0.0000688","0.0000309855","0.0000372369","","","0","","37703.3097669883"
