"Service","EC2-Other($)","EC2-Instances($)","S3($)","ElastiCache($)","Elastic Load Balancing($)","CloudWatch($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","VPC($)","Elastic File System($)","Directory Service($)","CloudTrail($)","Transfer Family($)","Route 53($)","WorkSpaces($)","SES($)","Global Accelerator($)","Backup($)","CentOS 7 (ARM) with Support by Supported Images($)","Config($)","Elemental MediaLive($)","Cost Explorer($)","Key Management Service($)","Secrets Manager($)","Glue($)","Service Catalog($)","Athena($)","CloudFront($)","EC2 Container Registry (ECR)($)","DynamoDB($)","SNS($)","Lambda($)","CentOS 7.9 (ARM) with support by Fleximg - Kernel 5.10($)","Systems Manager($)","SQS($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","X-Ray($)","Elastic Container Service($)","CentOS 7.9 (X86-64) with support by Fleximg - Kernel 5.15($)","CloudFormation($)","Total costs($)"
"Service total","564218.0995291453","382162.6427028804","124415.9598819302","91328.3284652574","47321.1277729642","28658.6557201251","19936.955443884","17627.316114585","10704.1406909982","3911.0482018339","3678.9332877793","3666.7647","2628.1233061918","1208.0124636106","945.54","598.7999996074","219.0005103066","206.598756834","198.8","163.338","87.6","82.03","74.8282896165","74.6479387203","47.9111328778","36.6184","16.49535","16.4145453076","11.564238798","5.0608054825","1.1834557043","0.1899392224","0.16","0.130826","0.0442008466","0.0009197223","0.0001837387","0.0001534568","0.0000637565","0","0","0","0","1304253.0659911837"
"2024-04-01","55208.8350409981","31065.0876495791","6871.5098680859","5920.8861884067","4490.5179570402","3079.9483267401","1654.7485539589","1080.258291834","851.9878128346","210.5761754994","302.5576374712","0","216.0205386177","90.934519994","79.18","49.899999948","18.0000651415","6.8889018926","","21.225","7.2","6.44","4.379608032","4.0760283652","4.0436230352","0.1932","1.321355","0.9852783777","0.318434832","","0.0786310808","0.0161643238","","0","0.0051956","0.000069922","0.000010301","0.0000180612","0.0000000582","","","","","111248.1201450311"
"2024-05-01","57326.7198366438","31823.4487504536","11790.8101039173","6091.2861848071","4576.4351985655","3106.8105457325","1670.5339450206","1338.064824418","884.9492814763","223.1540630675","312.1618207161","742.378112","223.2071573074","110.5490765986","78.34","49.8999999766","18.6000398662","7.2396975623","","17.988","7.44","6.52","4.368267936","4.0870723222","3.9660736795","0.0385","5.834465","1.2981089948","0.3184349016","","0.0786023593","0.0167529872","","0","0.0053716","0.0000930417","0.00001061","0.0000190008","","","","","","120426.5484105625"
"2024-06-01","58965.0201635477","31047.8470457721","9486.0006733025","7607.227190443","4256.7885603687","2990.7612105451","1654.9507824937","1476.472570945","801.4954090559","217.2389143291","302.5282898174","2391.94036","216.0084739196","109.209647194","78.76","49.899999948","18.0000469024","7.60626456","61.6","14.097","7.2","6.74","4.3415444764","4.0478778096","3.8725419719","0.6825","6.68854","1.1855018677","0.318434832","0.298368","0.0791191546","0.0148877763","0.16","0.000156","0.0041076","0.0000866021","0.000008172","0.0000139896","0.0000000255","0","0","0","","121789.0862914219"
"2024-07-01","57921.018442965","31803.0852642616","10682.7647929424","7645.3591286297","4113.9395401903","3014.897935103","1670.6042446488","1562.4","741.4233031723","265.091462676","312.5181592927","529.634468","223.2078994775","109.1969881986","79.18","49.8999999766","18.6000470876","9.9489518406","137.2","12.558","7.44","6.43","4.320948936","4.087249634","4.0932529322","6.0802","1.46443","1.6596537274","0.3184349016","","0.0877815644","0.0179110884","","0","0.0060096","0.0000904326","0.0000251842","0.0000232994","","","","0","","120938.5346397629"
"2024-08-01","58699.2808537917","31250.8662119526","10736.9381764288","8032.0440604292","4247.5464705287","2986.8135010945","1670.5145582879","1577.401497945","920.2207799746","252.5528570159","312.5155358279","0","223.2108379747","107.7283875986","78.76","49.8999999766","18.6000458459","17.564211248","","12.498","7.44","6.25","6.050429844","4.2049659222","3.9249819388","7.5096","1.06679","1.5415350241","0.3372200802","0.2442","0.0866730366","0.0170907775","","0","0.0046112","0.000085127","0.0000374671","0.0000155817","","","","","0","121233.6342219198"
"2024-09-01","55544.3506803897","29187.1973064296","8436.1536514802","7907.637058654","3709.8548615942","2812.8608407556","1654.9590792824","1512","926.7010608757","249.2860579072","302.5151643295","0","216.011406783","102.831809594","78.76","49.899999948","18.0000381762","13.9486588487","","12.429","7.2","6.56","7.316179056","4.4222616587","3.869062016","3.6708","0.00227","1.2588078481","0.835165029","0.63936","0.0820129119","0.0145170406","","0","0.002208","0.0000711184","0.0000295316","0.0000075168","","","","","","112771.2694267751"
"2024-10-01","46277.3550760655","30516.8446008396","10419.8692203435","8020.4390442608","3587.8165716862","2839.4090871714","1670.4716117151","1562.4","967.9819033855","319.0575223905","312.538633867","0","223.2101199639","87.3200447986","78.76","49.8999999766","18.6000419701","15.1536358488","","10.776","7.44","6.79","7.330989286","4.4595951115","4.0892598936","12.0715","","1.436708215","1.2800304648","0.660672","0.1551783613","0.0137672931","","0","0.0048884108","0.0000730042","0.0000221859","0.0000166746","","","","","0","107023.6358151839"
"2024-11-01","38632.940162435","29790.0746257773","10096.357327023","7555.8555217613","3492.180685767","2300.0446485296","1654.634825473","1572","938.8009147018","308.7883421665","302.3141792805","0","216.0074126602","79.339632994","78.76","49.899999948","18.0000355925","15.8936505253","","9.792","7.2","6.65","7.3057248337","4.4355605476","4.0398646856","0.9597","0.0002","1.3960791179","1.567616616","0.63936","0.0773942511","0.0139545774","","0.02203","0.0033332","0.0000689991","0.0000115364","0.000011223","","","","","0","97145.9948742228"
"2024-12-01","36622.7945584923","29847.1903867508","10242.9024385416","7691.6000243866","4040.8842553256","2218.5515262726","1670.5790269807","1934.4","902.6589485576","358.2103995677","312.5547973114","0","223.2097784155","101.2742923986","78.76","49.8999999766","18.6000583073","14.0340107417","","10.674","7.44","7.71","7.390074888","6.8216322596","4.07054716","1.1529","","1.6320731747","1.5676167792","0.660672","0.0993953373","0.0147937434","","0.02203","0.0028404","0.0000769238","0.0000099599","0.0000095526","","","","","0","96377.3631742051"
