"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","ElastiCache($)","S3($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Glue($)","Elastic MapReduce($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Athena($)","Secrets Manager($)","Route 53($)","Cost Explorer($)","Service Catalog($)","Elastic File System($)","Lambda($)","SNS($)","SQS($)","CloudWatch Events($)","Identity and Access Management Access Analyzer($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","CodeArtifact($)","CloudFormation($)","Total costs($)"
"Service total","281380.1656816356","146887.0330941887","20409.1418151911","8150.4958343906","7891.4331531034","7881.76","4227.0134577305","3504","1771.1200069967","987.0815433995","649.498383238","332.1845040521","323.429060904","262.0883428693","91.549405","91.3842833598","64.0003652","36.82","2.6838","0.9336991673","0.5077107974","0.1189802923","0.0690316709","0.042969","0.002","0.0005797687","0.0005173039","1.91e-8","0","0","0","484944.5582192789"
"2024-04-01","22382.0145212812","14267.1160958694","2005.0693601273","576.1727925082","601.3807227731","1634.727","878.8566941108","288","176.9379531522","75.7028565801","","26.7465703496","33.5144322654","14.4953334308","25.059585","7.6370183652","6.0049494","2.56","0.0518","","0.0428291442","0.012484454","0.0002816","0.009262","","0.0000495089","0.0000262685","","0","0","","43002.1126181889"
"2024-05-01","23591.4834253567","14002.8966528117","1884.1317901881","593.2923966096","672.6134461178","1668.557","562.2093648886","297.6","168.6914210167","80.4899399974","75.0593013234","27.9871067511","26.350729584","15.0724395158","34.104875","7.628819812","4.8362258","2.6","0.0385","","0.0753063429","0.0136721405","0.000296","0.008466","","0.0000518224","0.000027496","","0","0","","43715.7412545747"
"2024-06-01","27395.6175518382","19523.2019439005","2025.8663497648","699.173059413","650.1855538078","1782.3","484.090388414","288","170.492958347","78.50805734","176.347306863","27.3859312432","26.2615670966","15.8779185866","15.32321","7.6215233652","4.451348","2.65","0.0826","","0.066472184","0.0099155156","0.000222","0.006712","","0.0000458073","0.00002455","","0","0","","53373.5206600368"
"2024-07-01","26030.3363643041","15376.5103245499","2023.1118661707","718.3016196941","672.034530329","1834.91","343.1565590234","297.6","193.9259758668","81.4852581909","203.445125814","28.2987947493","26.291842584","19.9070977969","3.918435","7.6507998658","5.2274006","3.12","0.4032","","0.0460357352","0.0162317022","0.0003268","0.00182","","0.0000538168","0.0000402272","0.0000000191","0","0","","47869.6997028394"
"2024-08-01","25011.1238917829","12906.7007891715","1855.6419577284","706.2260416286","672.1811286337","628.955","271.3731964573","297.6","190.8566705225","81.7079614309","185.046544249","28.2987947721","26.308132584","27.0798611864","1.94841","7.6296048658","5.0287796","2.35","0.4823","0.201654579","0.0416812606","0.0138778042","0.0002456","0.000912","0.002","0.000052437","0.0000555977","","0","0","","42906.7995438916"
"2024-09-01","22370.8147185338","10668.927819399","1463.5568118798","686.2835783409","650.2007860283","149.56","246.41922789","288","132.5190644072","79.0267291662","9.6001049886","27.3859313509","26.321297208","25.6834782085","0.00085","7.5961083652","4.7606204","2.68","0.2541","0.3343404978","0.0351000454","0.0064957752","0.0001164","0.00225","","0.0000452865","0.0000501743","","0","0","0","36839.9696243456"
"2024-10-01","23313.3194217952","10943.7513984998","1572.7851782724","707.171358281","679.7403733938","30.69","258.7967119366","297.6","130.6107303935","83.6518126554","","28.2987948032","26.288102348","24.6433896774","9.94447","7.6098047582","4.8081118","2.79","0.7441","0.0694589167","0.0360217528","0.0138091188","0.000264","0.001529","","0.0000522738","0.0000557099","","0","0","0","38123.3649493865"
"2024-11-01","21799.5397497996","9490.7405929531","1384.8510469859","686.8526618817","653.6783479343","30.093","237.6654917548","288","125.0661961972","84.8026922661","","27.38593152","26.309144208","23.5304953355","0.79519","7.6088983652","4.17084","2.78","0.1071","0.0602404775","0.0334327245","0.0087001781","0.0001724","0.000845","","0.0000486234","0.000051756","","0","0","0","34874.0808703609"
"2024-12-01","22372.7530671941","9549.6653970893","1496.0373681405","707.52677386","671.8683664634","31.248","238.9422596313","297.6","122.7362742679","86.8210952865","","28.2987948191","26.369851584","23.6941312497","0.45438","7.594214812","5.4020022","3.64","0.1239","0.0646441994","0.0337644693","0.0078238432","0.000152","0.001028","","0.0000505302","0.000053756","","0","0","0","35670.8833933959"
"2025-01-01","22427.9811286995","9950.8929527633","1561.8961215235","707.973083173","673.0211562823","31.248","232.3626509099","297.6","122.5740274477","87.9822982065","","28.2987948033","26.367532584","23.7392813382","","7.6099499196","8.3522536","3.7","0.1197","0.0589990375","0.0349390482","0.0067660351","0.000128","0.002339","","0.0000491001","0.0000502538","","0","0","0","36191.8222017255"
"2025-02-01","20896.4474316604","9683.2140391379","1482.3999460255","649.799191487","616.8110271955","28.224","229.5506888045","268.8","115.0766592539","78.5692919982","","25.5602030985","26.338936872","23.9339917064","","7.604905946","5.0360622","3.34","0.105","0.0619826424","0.0332899294","0.0055446855","0.0001052","0.002819","","0.0000438564","0.0000450131","","0","0","0","34140.9152057126"
"2025-03-01","23788.7344093899","10523.4150880433","1653.7940183842","711.7232775135","677.7177141444","31.248","243.5902239093","297.6","121.6320761241","88.3335502813","","28.2388557918","26.707491986","24.4309248371","","7.5926349196","5.9217716","4.61","0.1715","0.082378817","0.0288381609","0.0036590399","0.0667216709","0.004987","","0.0000367059","0.0000365014","","0","0","","38235.6481948205"
