"Service","EC2-Other($)","EC2-Instances($)","S3($)","CloudWatch($)","Elastic Load Balancing($)","VPC($)","Route 53($)","Direct Connect($)","Backup($)","DynamoDB($)","Secrets Manager($)","SQS($)","WAF($)","Key Management Service($)","Cost Explorer($)","Textract($)","SNS($)","Service Catalog($)","Lambda($)","CloudWatch Events($)","Claude 3 Sonnet ( Bedrock Edition)($)","EC2 Container Registry (ECR)($)","SES($)","Claude 3 Haiku ( Bedrock Edition)($)","Glue($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","Bedrock($)","CloudShell($)","Glacier($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","707515.5831366065","476614.8838048677","19665.7851448651","19501.4004538308","17031.6361327479","14504.1795724553","2234.0173565781","525.7248761778","364.6586602624","341.4128112311","176.4786539975","119.6001132476","113.2118585908","41.8189026318","29.94","7.477","6.3577078584","5.2045","2.1850115737","2.029674","1.492158","1.3928909904","0.1842074101","0.15767175","0.0727861544","0.000582475","0.0005414436","0.000078","0.0000287","1.371e-7","1.4e-9","0","0","0","1258806.8863165844"
"2024-04-01","57892.5355365668","38879.1887351389","1214.751553656","1350.9779026556","1344.2729537381","1388.0269776911","181.8250809513","43.21010543","42.9918760298","42.0845128123","7.6758139068","37.7531083708","8.409115848","2.243177016","1.98","","0.1973236669","0.0798","0.1234409256","0.099279","","0.116074224","0.0130852822","","0.0046906544","0.0000505332","0.0000276125","","","","","0","","","102438.5602217103"
"2024-05-01","58139.0438804102","42391.8569450605","1280.377938196","1491.0218742415","1396.8537816718","1348.8461056045","193.8221236863","44.6527770126","44.079962274","45.9487535184","10.3233439332","30.2174308296","8.512909704","2.248306968","2.16","","2.886137976","0.063","0.1540334208","0.134218","","0.1160742672","0.0181477827","","0.0048692016","0.0000519256","0.0000288631","","","","","0","0","","106433.3426945476"
"2024-06-01","60170.7123552403","41933.8628994705","1407.692244966","1577.4588740873","1415.3856515265","1275.5572712373","181.8290847176","43.2081915112","45.1634053834","45.6619108725","13.608381116","11.4376161184","10.446803448","2.2174612382","2.43","","0.2608633545","0.1603","0.1827020605","0.179563","","0.116074224","0.0131735953","","0.0050796544","0.0000457595","0.0000258876","","","","0.0000000014","0","","","108137.5899784704"
"2024-07-01","60878.0401619958","40696.5725279144","1526.4477592176","1598.3563855938","1462.4126205772","1288.8278986134","187.8234225988","44.6450219075","46.1105750901","37.3515091276","18.2343582274","3.0769556888","8.748382704","2.220259968","2.17","","0.2590724195","0.7987","0.1635622167","0.144766","","0.1160742672","0.0156126718","","0.0077612016","0.0000535284","0.0000431342","0.000039","","","","0","","","107802.5435236638"
"2024-08-01","59208.7965519869","38913.6423746261","1565.9451612953","1605.5899088244","1413.7767291598","1288.3572311466","195.02862518","44.64","47.0003816215","33.8215678521","20.182707636","3.9769824592","8.564816904","3.28492908","1.7","","0.2375538021","0.9408","0.1607806868","0.141532","","0.1160742672","0.0107087884","","0.00882446","0.0000533861","0.0000607567","0.000039","","","","0","","","104355.9243949192"
"2024-09-01","59553.9381224062","37812.0220080565","1563.058286745","1585.8910560835","1404.3536144231","1249.7914599049","181.8219500838","43.2054682366","47.2827243775","30.3402532186","19.8492666826","4.7706208","15.283561848","4.211029032","2.69","","0.337449605","0.4928","0.1855725966","0.204713","","0.116074224","0.0056041383","","0.0062786544","0.0000459913","0.0000526183","","","0.000000078","","0","","","103519.8580128042"
"2024-10-01","61003.4306520998","45206.1395366548","1639.7647988631","1589.8622867364","1499.461231852","1306.3958771351","187.8226048176","44.6545488044","47.3592357881","30.2685761996","20.0288770446","3.7879252296","8.973899304","4.219719592","2.81","","0.3749361857","1.4742","0.219210971","0.217144","","0.1160742672","0.010331676","","0.00977246","0.0000542148","0.00005837","","","","","0","","0","112597.4015522658"
"2024-11-01","59555.427417669","39308.6982487172","1747.2736947687","1623.6889205821","1422.4055536925","1207.8716962865","181.813939595","43.2140829864","42.9390857805","24.3603876011","16.9283194604","4.7042588296","8.423896848","4.214737032","2.94","","0.3289279782","0.2016","0.2087970893","0.167358","","0.116074224","0.0221841774","","0.0065799872","0.0000499155","0.0000542736","","","0.0000000268","","0","","0","105195.955865521"
"2024-12-01","60582.5765919286","38673.9409964186","1820.0091807888","1728.6456364775","1403.0304739125","1029.7026619711","187.81578927","44.6545458726","1.7314139175","13.2135148166","13.8394200534","3.8975580626","8.577114504","4.263159936","2.81","","0.3623793157","0.2352","0.199104043","0.175563","","0.1160742672","0.013587312","","0.0062562016","0.0000503495","0.0000548391","","","0.0000000323","","0","","0","105519.8163272902"
