"Service","OpenSearch Service($)","EC2-Other($)","EC2-Instances($)","Elastic File System($)","S3($)","Relational Database Service($)","VPC($)","Elastic Container Service for Kubernetes($)","Backup($)","Elastic Load Balancing($)","CloudWatch($)","Secrets Manager($)","Key Management Service($)","SQS($)","Cost Explorer($)","DynamoDB($)","SNS($)","SES($)","Route 53($)","Service Catalog($)","Glue($)","CloudWatch Events($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","CloudFormation($)","Total costs($)"
"Service total","126258.1189232524","84407.5638598786","54010.7703200669","42458.044423746","38444.6624283839","6295.9249101935","4724.9059726879","2515.57530875","2048.2548983533","838.578292064","700.085087094","29.7085363961","25.8971157888","20.7252080725","13.48","7.7753545311","4.596771522","4.0841134446","3.8122314","2.6495","0.061089","0.002356","0.0005758767","0.0005162514","3.01e-8","0","0","362815.2777927838"
"2024-04-01","5149.219377864","5756.721676758","3663.5884993133","4.3561272679","2032.7779256396","504.2436835315","388.5970373129","375.50413903","5.4365813428","68.927135472","61.2537240546","1.6105583174","2.169041016","0.1987080781","0.75","0.6393621417","0.0023743603","0.3509718995","0.40317","0.0434","0.004643","0.000036","0.0000504343","0.0000262685","","0","","18016.7982491024"
"2024-05-01","5272.9748266647","5835.6211288682","3745.940763313","4.6588853436","2212.6092436563","521.8797927561","402.1702124734","74.4","5.4638701891","71.228926726","60.3095338561","1.6142738992","2.172712968","0.2096256","0.62","0.6606742382","0.0022355115","0.3630372182","0.2892986","0.0378","0.004837","0.000124","0.0000527478","0.000027987","","0","","18213.2318836164"
"2024-06-01","7879.5803694892","6315.7914669611","3631.0156176116","4.4004991754","2385.9512964179","510.0422661363","388.3024769108","72","5.467642069","68.9405308912","58.7458648055","1.6071133174","2.147495016","0.1926418039","0.97","0.6358100686","0.0021592015","0.3528761474","0.3469634","0.0882","0.00494","","0.00004627","0.00002455","0.0000000301","0","","21326.5863002729"
"2024-07-01","9297.6880884329","7250.2178912419","3746.1848131078","4.2483179755","2722.5295466917","530.5013836621","403.149584787","74.4","5.4630036406","71.2383355977","58.4766431597","1.611812824","2.142655968","0.2198316594","0.54","0.660674106","0.0031396162","0.3499346565","0.2880854","0.399","0.007449","0.000036","0.0000523783","0.0000399514","","0","","24170.3203198567"
"2024-08-01","9297.1232444797","9131.8257766812","3758.7807189125","4.4062941527","3034.8412121828","544.4861141737","401.9026290269","74.4","5.4918780763","71.2301269196","58.4410772813","1.6090883616","2.149819968","0.2252778845","0.38","0.6606741762","0.0026897968","0.3508202878","0.3034252","0.4767","0.006356","","0.0000519603","0.0000558427","","0","","26389.0940313646"
"2024-09-01","10910.8716576045","11954.878742128","3649.4861834976","4.3240684136","3249.7713200771","528.4764239941","392.7493306865","72","5.5143911463","68.9302144701","55.2933396035","1.6031805396","2.149379016","0.2091492674","0.89","0.63936204","0.0013463296","0.3500199175","0.2944914","0.2506","0.004814","","0.0000448098","0.0000498931","","0","","30898.6881088343"
"2024-10-01","11258.9475745931","10265.6936517313","4219.5845511393","4.2698868578","3343.7012773393","536.8321926413","401.9698234736","74.4","5.5010087107","71.2105926007","56.5549368353","1.6096233616","2.155507968","0.2051076","0.94","0.6606741762","0.0028245","0.3504947904","0.3061586","0.7532","0.00659","","0.0000532272","0.0000554557","","0","0","30245.6557856015"
"2024-11-01","11178.0500796735","7618.3847526535","4106.1974539636","1291.8205108796","3494.4293183448","517.0499500196","389.3557311041","132","9.4146490871","68.9060841226","59.3458688944","1.6020110952","2.148359016","0.197912922","0.98","0.639361972","0.001860303","0.3328254594","0.3334016","0.1022","0.005454","0.00002","0.0000495768","0.0000520009","","0","0","28871.2979066881"
"2024-12-01","11881.1957627528","4794.2604181532","4676.9241498743","9693.41091547","3651.0551500543","527.5096085872","397.2288417563","446.4","296.7183957754","71.1886323751","59.0637019308","3.6384698346","2.182438968","0.2373126004","1.86","0.6606741914","0.0096433243","0.3251665965","0.3061182","0.1162","0.005243","0.000024","0.0000500535","0.0000530123","","0","0","36504.2969705104"
"2025-01-01","14089.5521534423","4777.8294876386","5197.0253869646","9872.134851374","3740.5488132674","535.0438647082","400.224507016","446.4","552.2225076805","71.230977565","61.4945436731","4.407667047","2.180932968","2.3486868233","1.85","0.660674232","0.5832726479","0.3339171947","0.3237364","0.112","0.003912","0.000462","0.0000491001","0.0000515069","","0","0","39756.5124552496"
"2025-02-01","14363.8532827752","5255.7858481215","6260.574234899","9801.3790848169","4040.0611419745","493.9211600447","361.4636911255","403.2","565.3955325148","64.3119754374","54.7541076795","4.40408473","2.1635149488","9.6646344233","1.66","0.5967389568","2.4565734876","0.28785718","0.2985706","0.1015","0.004272","0.001192","0.000042903","0.0000457543","","0","0","41686.3390863728"
"2025-03-01","15679.0625054805","5450.5530189421","7355.4679474703","11768.634982019","4536.3861827382","545.9384699387","397.7921070149","270.47116972","586.1654381207","71.2347598866","56.3517453202","4.3906530685","2.135257968","6.8163194102","2.04","0.660674232","1.5286524433","0.3361920967","0.318812","0.1687","0.002579","0.000462","0.0000324156","0.0000340286","","0","","46736.4566953141"
