Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),134003.9386422305,123265.0390111024,129814.723239254,136990.7286063351,127576.2248236542,116184.9213806104,116858.8041092562,117289.1297473812,123634.6662997147,119713.1196955561,115137.973446519,126327.0024561426
EC2-Instances($),44088.391668272,44096.2605187803,44349.6475080293,47993.3700774035,47530.0845483368,43738.1629391524,45197.0843042224,42967.564746133,44037.1868667116,43882.147231298,39737.0708598207,44138.3576100868
S3($),13019.2562446173,13011.1948386165,12371.6359918357,12333.5696241133,12403.9166736089,12086.483713931,12363.723997251,13543.3269452687,14646.0100810331,15700.8000315615,14881.5255486393,14978.8106654277
SageMaker($),8151.388604781,8858.8707016434,8609.2231162875,8823.9542893602,9783.4828197579,10202.7423837228,10761.8323043428,9678.3180970147,11658.6460416919,11708.6309417585,9987.6018120916,12315.02112857
Managed Streaming for Apache Kafka($),3035.3379336518,3583.6600969065,3504.6858388338,3524.4985231602,3595.0176884185,3924.8733673877,4058.5112323059,4002.653163978,4151.5939037525,4181.9181422467,3862.791278373,4178.1497558469
CloudWatch($),2470.158971447,2568.1405215758,2822.8480923596,2831.4217265188,3362.334067746,3875.5314278536,4280.5656741825,4215.5196140268,4310.9815175129,4608.8981195146,4234.1620160417,4941.6570324975
VPC($),2986.8438790759,3091.1060363713,2986.0658966289,2984.8896088831,3167.2742512827,3134.3737190365,3243.1503033603,3135.1833021004,3230.3066030235,3237.1272329829,2945.5010525516,3257.7969850397
Elastic Load Balancing($),2376.2340812232,2323.9910299194,2544.7888594167,2669.396185329,2511.1834851043,2622.22013013,2756.9721168685,2678.381296565,2832.201804229,2857.7682304018,2863.3715230295,3364.0419164583
Config($),934.245,1148.314,1137.227,2018.566,2236.269,1682.414,1906.257,1961.865,2389.146,2456.698,2344.08,2488.03
Relational Database Service($),2177.7454548454,2220.8725641253,2099.2079284256,1338.8838369794,1180.9999446346,1162.2484040865,1181.0029913688,1162.5280571232,1181.1735722384,1181.1844487781,1125.3913099814,1181.2848686023
QuickSight($),1368.000010944,1371.225784512,1407.4000112472,1391.999977728,1391.999977728,1392.000011136,1391.999977728,1392.000011136,1391.999977728,1391.999977728,1391.9999643648,1391.999977728
Elastic Container Service for Kubernetes($),1080.0,976.872465275,1080.0,1488.0,1344.813849165,417.686041665,397.198413111,612.0,1562.4,1562.4,1411.2,1562.4
GuardDuty($),,59.7673565479,1343.7802648344,1149.8295802588,1201.9803211335,1107.2767180101,1138.0882570042,1142.2486409815,1188.6809235245,1188.1716929407,1118.7801427771,1210.6784266075
EC2 Container Registry (ECR)($),626.0773390527,689.144341315,752.0342806195,805.9002258379,847.3191946721,886.8428685105,941.7787995053,987.2391833233,1051.2353150802,1097.4944784045,1166.8321147856,1251.7716782997
Elastic MapReduce($),907.2085888152,898.6297255488,834.624,912.3661095696,937.504401624,895.2029096976,937.44,907.2,937.44,937.547686404,846.7281906048,937.4739530688
ElastiCache($),709.0,733.989,803.541,913.368,901.576,872.768,836.16,787.33475,814.60725,762.44325,760.1435,843.47275
Glue($),609.8403491675,1743.9766705806,775.5800345795,638.0187420404,133.8703987674,338.8958744168,447.2062093417,580.26390481,701.5325489055,452.9231715877,465.8987902905,617.4089720137
Kinesis($),378.408225736,391.051575861,378.4301849215,420.1162992836,430.067536315,416.196748632,430.066001481,416.1575626905,430.049875808,430.0647503445,388.4311136645,430.0607182325
Step Functions($),548.6367631701,846.3010991369,586.7425141167,62.8027207298,6.07423e-05,6.51304e-05,5.8941e-05,5.68895e-05,6.3155e-05,5.21874e-05,4.63005e-05,3.79642e-05
Key Management Service($),104.4630220019,128.142565282,130.1366702985,138.741487696,147.156977206,152.4312817023,158.517178478,159.0176499584,157.490083824,159.521027236,159.1317569001,164.353968192
SQS($),93.7269329859,96.1213990515,118.2154297352,98.2736856494,103.2841435389,101.422548577,115.8235877279,109.0519792089,116.3966476534,116.9596846394,99.1767536563,113.2319789416
Transfer Family($),216.0,223.2,415.0441645875,299.256729417,,,,,,,,
Secrets Manager($),72.0283505487,73.6594862688,77.2004699943,79.0861888347,79.5306733446,80.9391133329,86.0075598198,88.2054472324,89.3194710258,89.9476293517,92.6654883207,94.567342798
Cost Explorer($),95.02,72.98,62.21,65.78,61.93,59.89,67.17,69.0,69.55,92.28,154.9,77.96
DynamoDB($),63.7830123384,68.7957367395,68.4159921998,70.6981762254,70.6989578027,68.4199005835,70.7006933927,68.034396636,70.6949651933,70.6964000194,63.8562244796,70.4126199846
Route 53($),59.4989258,42.4821248,43.3493004,47.4203394,46.9412208,43.447237,49.9752584,50.3329078,46.0451186,50.4420982,41.2643666,46.776781
Lambda($),28.8570488515,41.0674621463,31.9496655563,21.7074372539,25.4454082143,18.3891030212,20.6328199627,20.0036278029,20.8008201604,21.5479247611,19.1431373385,21.6085412554
Kinesis Firehose($),4.0605732344,4.6352627403,4.2545842206,4.5311424189,4.7177243699,4.7402533684,5.1051112935,4.141454304,4.6381176079,5.1066902255,4.2503274869,5.0408776804
Athena($),0.81737,0.08828,24.86321,1.216365,2.60422,0.043315,0.007675,13.91781,0.06917,4.789765,0.52982,0.70954
Service Catalog($),0.0791,0.0637,0.1575,0.7882,0.9415,0.4991,1.4777,0.1974,0.2261,0.2268,0.2016,0.3234
Elastic File System($),0.3692913942,0.3692982596,0.3722990248,0.3696719252,0.3698313737,0.3701571694,0.3702072348,0.3702026056,0.3702042688,0.3706974127,0.3712444523,0.3714391334
CloudWatch Events($),0.101174,0.14385,0.146161,0.381668,0.417802,0.253501,0.297741,0.314684,0.346089,0.346701,0.333168,0.386403
SNS($),0.1880062218,0.2159480079,0.1961734674,0.2700202454,0.2631855548,0.2057103846,0.2549571365,0.2765537214,0.2497707364,0.2405670664,0.2295154432,0.2520695826
CloudTrail($),0.0,2.6502205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Connect($),0.6564671491,0.6808795857,0.0832190098,,4.4535e-06,5.2932e-06,,,,,,
SES($),0.0461405656,0.0498408376,0.0434262569,0.0488231041,0.0478228793,0.0446206086,0.0486231016,0.0446234388,0.0461264374,0.0453234828,0.0394195031,0.0429218164
Backup($),0.00015735,0.0001573498,0.00015735,0.0001573498,0.0001573498,0.00015735,0.0001573498,0.00015735,0.0001573498,0.0001573498,0.0001573524,0.000157356
Simple Workflow Service($),5.05325e-05,5.3321e-05,4.57675e-05,5.50233e-05,5.14795e-05,4.64696e-05,5.27857e-05,4.94406e-05,5.08198e-05,4.88706e-05,4.40644e-05,3.53742e-05
API Gateway($),1.43225e-05,1.43266e-05,,2.3891e-06,,,,,,,,
CloudShell($),2.46e-08,,,5.69e-08,,3.61e-08,,,1.209e-07,,,1.79e-08
X-Ray($),0.0,,0.0,,0.0,,,0.0,0.0,,,0.0
CloudFormation($),,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
Total costs($),220210.4073943507,212633.7536170347,219178.8242302585,230120.2502835198,221080.2687230582,205471.9367540061,209704.2310729536,208041.8230229208,220726.1015369067,217963.8586483104,205305.5757334331,226011.4570087187
