Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),26723.3339971974,23130.3366079705,22526.484737461,22625.0508621171,21277.7450901802,20398.7420965544,21052.5081780135,21128.6510652031,21374.1829857703,21662.5186002855,22137.5201579069,22605.3379212867
EC2-Instances($),14390.1227342799,14536.8717562967,13427.6790421034,13423.0160766559,12708.9776579133,12362.236722656,14821.4805047839,14671.2756099928,15235.9008908582,15316.3520733165,14252.3452673361,16052.8555133888
Elastic Load Balancing($),4911.4410807808,4464.8545342222,4123.7421644192,4325.4712816798,4482.5774958312,5442.1254571273,5986.9409124419,5909.8170101547,6518.6040872378,6904.0171888488,6384.4395387141,7144.3171498444
S3($),6326.5269323052,5725.4581663297,5356.2749886624,3313.7944874402,2746.6250666243,2436.4075242695,2229.2287720269,2259.0806430461,2323.053865356,2399.1865839918,2462.7243615759,2556.2154338691
ElastiCache($),1454.880635912,1526.8536359024,1775.274635912,1880.1166359024,1880.9206359024,1820.152635912,993.4246359024,947.260635912,978.7966359024,1804.6006359024,1434.9386358784,1259.5426359024
VPC($),1412.5660100336,1429.2712078038,1367.7938111807,1385.1356528648,1396.2438910295,1344.1750447989,1393.6592631589,1350.4383408397,1383.8138813211,1394.8961478423,1293.7081051055,1424.69493291
Elastic File System($),1555.5793729204,1479.2469319246,1111.3660132181,654.0256770971,653.988978708,655.3407489571,663.9578668487,704.686595162,702.8087399903,697.3715108845,687.0882491802,689.3921094383
Elastic Container Service for Kubernetes($),684.120625333,981.200773002,557.437234836,489.6,1041.6,1008.0,1041.6,812.81897972,318.098057915,297.6,268.8,405.6
Transfer Family($),648.0,669.6,648.0,669.6,669.6,648.0,669.6,648.0,669.6,669.6,604.8,669.6
Rekognition($),175.1575,182.25125,158.93875,189.488438,267.52625,282.83,282.16375,264.08625,282.93625,282.02,245.515,254.2575
CloudWatch($),138.2739469874,228.2455979156,220.5959512942,218.8703630439,211.6826052991,187.2170218458,183.2083102252,191.3180075901,195.8998121075,196.077627479,177.9009552753,192.0532333213
EC2 Container Registry (ECR)($),115.5379155066,120.8807621081,123.4181539156,127.5195809987,132.0086146651,133.3413477903,136.3527392147,138.8053567041,140.6544692787,141.6547852083,143.6164996017,145.5340804422
QuickSight($),36.000000288,35.999999424,36.000000288,35.999999424,35.999999424,36.000000288,35.999999424,36.000000288,35.999999424,35.999999424,35.9999990784,35.999999424
Cost Explorer($),55.01,13.46,12.27,44.63,12.09,12.85,12.68,9.02,11.22,10.66,11.62,11.12
DynamoDB($),15.5195528112,15.581495602,14.8401550858,15.1679163765,15.3366821501,14.8407472686,15.3354514912,14.3465153435,14.8245717818,14.8244795706,13.3898058275,14.8276264207
Secrets Manager($),12.4822605396,12.4262900246,12.4654355396,12.483958358,12.4503466913,12.3883710952,12.7646158254,13.5076744339,14.1220255906,14.1215299992,14.0355716443,14.0250077949
Key Management Service($),2.095594904,2.218246968,2.1862912382,2.189632968,2.189758968,2.184863016,2.187772796,2.1846982382,2.230414968,2.222254968,2.2021997584,2.158291796
Route 53($),1.5476664,1.598888,1.6243626,1.5878376,1.5632976,1.5719626,1.5861096,1.5818708,1.5728138,1.581458,1.5681854,1.5743788
Backup($),0.2709288846,0.2390738496,0.1682969532,0.1088637697,0.0993090116,0.1921696393,0.9808657484,1.2874605903,1.0434752201,1.8794746194,1.8782477881,1.8431989665
Glue($),0.9076511872,0.788028712,0.7514022944,0.791423832,0.83843216,0.7770058144,0.80139508,0.7606277872,0.770139912,0.77859144,0.7441070248,0.79194988
Service Catalog($),0.0798,0.0616,0.1589,0.7805,0.9233,0.5033,1.5043,0.2135,0.2415,0.2324,0.2107,0.3339
Relational Database Service($),0.103659336,0.1036593624,0.103659336,0.1036593624,0.1036593624,0.103659336,0.1036593624,0.103659336,0.1036593624,0.1036593624,0.10365936,0.1036593624
SNS($),0.0723431166,0.0830983204,0.0958326812,0.1003923892,0.0842518809,0.0725990039,0.0878856195,0.0780466252,0.0398599709,0.0394117706,0.0362056494,0.0325151363
Lambda($),0.0324539656,0.0364508218,0.0344694876,0.0394701352,0.032724599,0.0268829782,0.0350980557,0.0366138312,0.0395615204,0.0392707328,0.036663994,0.0375910252
SQS($),0.1571092,0.1022480177,0.008064,0.0019272143,0.0014076,0.0006928,0.0015348,0.0010436,0.0009016,0.00075,0.0006568,0.0003712
CloudWatch Events($),0.013294,0.006978,0.009914,0.009992,0.00933,0.009912,0.011048,0.010648,0.010826,0.011106,0.01099,0.01102
Bedrock($),,,,,,,,,,,0.01704978,0.02662332
Direct Connect($),0.0069712891,0.0100279817,0.0075795288,0.0082668714,,,,,,,,
Simple Workflow Service($),5.00593e-05,5.28452e-05,4.62386e-05,5.30566e-05,5.14827e-05,4.59905e-05,5.32696e-05,4.99248e-05,5.13021e-05,4.93465e-05,4.31134e-05,3.44196e-05
