Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),57892.5355365668,58139.0438804102,60170.7123552403,60878.0401619958,59208.7965519869,59553.9381224062,61003.4306520998,59555.427417669,60582.5765919286,61210.107590898,59994.3163868766,49326.6578885283
EC2-Instances($),38879.1887351389,42391.8569450605,41933.8628994705,40696.5725279144,38913.6423746261,37812.0220080565,45206.1395366548,39308.6982487172,38673.9409964186,38545.8944792487,35349.3771658131,38903.6878877484
S3($),1214.751553656,1280.377938196,1407.692244966,1526.4477592176,1565.9451612953,1563.058286745,1639.7647988631,1747.2736947687,1820.0091807888,1901.0229107201,1940.903706856,2058.5379087925
CloudWatch($),1350.9779026556,1491.0218742415,1577.4588740873,1598.3563855938,1605.5899088244,1585.8910560835,1589.8622867364,1623.6889205821,1728.6456364775,1778.6526920733,1770.3072346152,1800.9476818602
Elastic Load Balancing($),1344.2729537381,1396.8537816718,1415.3856515265,1462.4126205772,1413.7767291598,1404.3536144231,1499.461231852,1422.4055536925,1403.0304739125,1413.3913186825,1347.2323791295,1509.0598243824
VPC($),1388.0269776911,1348.8461056045,1275.5572712373,1288.8278986134,1288.3572311466,1249.7914599049,1306.3958771351,1207.8716962865,1029.7026619711,1053.1072133864,987.4212896303,1080.2738898481
Route 53($),181.8250809513,193.8221236863,181.8290847176,187.8234225988,195.02862518,181.8219500838,187.8226048176,181.813939595,187.81578927,195.0972228138,171.4339686426,187.8835442213
Direct Connect($),43.21010543,44.6527770126,43.2081915112,44.6450219075,44.64,43.2054682366,44.6545488044,43.2140829864,44.6545458726,44.6545385591,40.3332020301,44.6523938273
Backup($),42.9918760298,44.079962274,45.1634053834,46.1105750901,47.0003816215,47.2827243775,47.3592357881,42.9390857805,1.7314139175,,,
DynamoDB($),42.0845128123,45.9487535184,45.6619108725,37.3515091276,33.8215678521,30.3402532186,30.2685761996,24.3603876011,13.2135148166,13.2135152225,11.9347932627,13.2135167271
Secrets Manager($),7.6758139068,10.3233439332,13.608381116,18.2343582274,20.182707636,19.8492666826,20.0288770446,16.9283194604,13.8394200534,13.1608113752,11.2829883557,11.3643662062
SQS($),37.7531083708,30.2174308296,11.4376161184,3.0769556888,3.9769824592,4.7706208,3.7879252296,4.7042588296,3.8975580626,4.982237659,5.5828768,5.4125424
WAF($),8.409115848,8.512909704,10.446803448,8.748382704,8.564816904,15.283561848,8.973899304,8.423896848,8.577114504,9.0252279028,9.076289688,9.169839888
Key Management Service($),2.243177016,2.248306968,2.2174612382,2.220259968,3.28492908,4.211029032,4.219719592,4.214737032,4.263159936,4.262268936,4.2367958976,4.197057936
Cost Explorer($),1.98,2.16,2.43,2.17,1.7,2.69,2.81,2.94,2.81,2.81,2.53,2.91
Textract($),,,,,,,,,,7.477,,
SNS($),0.1973236669,2.886137976,0.2608633545,0.2590724195,0.2375538021,0.337449605,0.3749361857,0.3289279782,0.3623793157,0.3787861506,0.3368008512,0.397476553
Service Catalog($),0.0798,0.063,0.1603,0.7987,0.9408,0.4928,1.4742,0.2016,0.2352,0.2338,0.2051,0.3192
Lambda($),0.1234409256,0.1540334208,0.1827020605,0.1635622167,0.1607806868,0.1855725966,0.219210971,0.2087970893,0.199104043,0.2033606725,0.1777079391,0.2067389518
CloudWatch Events($),0.099279,0.134218,0.179563,0.144766,0.141532,0.204713,0.217144,0.167358,0.175563,0.177309,0.170511,0.217718
Claude 3 Sonnet ( Bedrock Edition)($),,,,,,,,,,1.403646,0.088512,
EC2 Container Registry (ECR)($),0.116074224,0.1160742672,0.116074224,0.1160742672,0.1160742672,0.116074224,0.1160742672,0.116074224,0.1160742672,0.1160742672,0.116074224,0.1160742672
SES($),0.0130852822,0.0181477827,0.0131735953,0.0156126718,0.0107087884,0.0056041383,0.010331676,0.0221841774,0.013587312,0.0264506868,0.0163619781,0.0189593211
Claude 3 Haiku ( Bedrock Edition)($),,,,,,,,,,0.0519645,0.10570725,
Glue($),0.0046906544,0.0048692016,0.0050796544,0.0077612016,0.00882446,0.0062786544,0.00977246,0.0065799872,0.0062562016,0.0047602016,0.0051290176,0.00278446
Simple Workflow Service($),5.05332e-05,5.19256e-05,4.57595e-05,5.35284e-05,5.33861e-05,4.59913e-05,5.42148e-05,4.99155e-05,5.03495e-05,4.93457e-05,4.35845e-05,3.39409e-05
Step Functions($),2.76125e-05,2.88631e-05,2.58876e-05,4.31342e-05,6.07567e-05,5.26183e-05,5.837e-05,5.42736e-05,5.48391e-05,5.21726e-05,4.57874e-05,3.71285e-05
Systems Manager($),,,,3.9e-05,3.9e-05,,,,,,,
Bedrock($),,,,,,,,,,2.87e-05,,
CloudShell($),,,,,,7.8e-08,,2.68e-08,3.23e-08,,,
Glacier($),,,1.4e-09,,,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),,0.0,,,,,,,,,,0.0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),102438.5602217103,106433.3426945476,108137.5899784704,107802.5435236638,104355.9243949192,103519.8580128042,112597.4015522658,105195.955865521,105519.8163272902,106199.4553091744,101647.1910712293,94959.2473649883
