Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),75486.2308582037,74927.5960375027,76134.0355405601,77508.1023609489,80479.3117416643,80261.9992572009,78451.0207024163,77340.5343855637,77752.2437414688,78908.3052907718,78981.8847172212,80961.799129434
EC2-Instances($),53733.6399189367,52176.1978128141,53214.143221392,54737.8133291616,59546.5517558363,54485.2867870384,57749.8803385142,55440.1856772906,59940.0931034576,60814.851510467,55321.5986256173,61528.0980799447
ElastiCache($),40008.4315719365,41352.9395588634,37325.4556796681,37078.1249103972,36986.5460890524,35856.2382349993,29211.7295192093,28287.2661957551,29245.7444350103,34550.4797249803,26913.2999796037,28820.5185751403
S3($),7152.9611994607,7439.7083515525,9319.7638588614,6163.6206121568,6216.4015663642,5790.0991171265,5899.3738952427,5525.8767145744,5595.7771334486,5483.2216364973,5165.4129785276,5369.8888037867
CloudWatch($),3091.2231095482,3114.223140687,3368.4118569408,3220.3596891318,3214.6865344195,3100.4453381811,3194.0198472912,3102.0179117661,3198.6051581644,3194.9911777973,2928.8566887788,3215.0153513399
Elastic Load Balancing($),2160.7086274578,2374.6659989061,2345.4709153418,2336.1251331584,2398.4531125852,2289.7403026373,2465.7674322135,2321.5051944794,2494.2636784637,2538.2205715951,2317.495691014,2618.9789761725
OpenSearch Service($),11270.1616468513,11538.5695174135,4735.0563547598,,,,,,,,,
VPC($),1701.4991840776,1748.9712877535,1690.573546099,1770.459209233,1764.858029101,1719.1432612041,1787.3400034949,1723.7947513088,1720.9179210647,1721.3850351083,1557.4484034562,1723.1429889931
Managed Streaming for Apache Kafka($),388.6497829147,399.2011308797,388.5174546036,399.0934945267,398.9883806229,388.309417347,398.9741761424,388.1343931925,398.7294114572,398.7538781626,366.7670949347,398.8377320433
DynamoDB($),244.6416288312,252.7956962899,244.2325994606,252.698084394,252.8000709985,244.7474704933,146.0507542824,53.1908406077,55.1520074887,55.2537282984,49.5846515077,55.0952892378
Relational Database Service($),146.1464410674,148.269878717,152.895442977,155.3089571835,155.3046855529,152.9575450957,155.3004439949,152.9567137404,155.3032254632,155.3039597588,148.2693177028,155.3078294526
Elastic Container Service for Kubernetes($),144.0,148.8,144.0,148.8,148.8,144.0,148.8,144.0,148.8,148.8,134.4,148.8
Direct Connect($),507.5828457494,235.7748388224,132.2192472674,46.0637843258,,,,,,,,
Lambda($),63.2769136165,74.5252084609,58.1295839993,63.3308545783,71.0589712542,67.6235775692,81.6933422371,72.931008966,78.3107373801,77.6987822074,66.8875434485,76.7897618208
Elastic MapReduce($),100.656,104.045357481,145.9997129838,111.2148086394,37.6883133864,,,,,,,
Secrets Manager($),38.7463166587,39.0878202418,36.7742850023,40.5760454668,39.1927309372,38.3268133413,39.9962214636,40.105705,39.3287098411,39.2946632282,44.8102921333,42.9082982282
EC2 Container Registry (ECR)($),24.2346797068,26.5722749429,31.9959448444,34.6707405725,36.1221000944,36.6219841889,37.0392996762,37.5804174847,37.9993554336,38.1756394378,38.6251913012,39.6462809477
Elastic File System($),12.985043328,12.9850434576,12.985043328,12.9850434576,12.9850434576,12.985043328,12.9850434576,12.985043328,12.9850434576,12.9850434576,12.985043232,12.9850434576
Key Management Service($),4.269103032,4.277364936,4.229356032,4.226424936,4.377784138,5.26214004,5.28467892,5.28179604,5.33997192,5.805517246,6.3155969136,6.251396904
Step Functions($),3.1700168358,2.9750264079,2.4682081197,2.1462876056,1.8429569268,1.795182363,2.0494643955,2.0135215521,1.8385669241,1.7922174419,2.1010092828,2.3848598661
Cost Explorer($),1.31,1.03,0.93,0.54,0.36,1.75,2.13,1.43,1.89,1.88,2.11,2.11
Route 53($),0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Service Catalog($),0.0826,0.0637,0.1659,0.8134,0.9464,0.4788,1.4686,0.1757,0.1953,0.1925,0.1764,0.2758
SQS($),0.0952984,0.0944452,0.0801124,0.0832692,0.080836,0.0771764,0.0832072,0.0803308,0.0797108209,0.078335207,0.0776392,0.0867548
CloudWatch Events($),0.040344,0.0377,0.025962,0.02635,0.024876,0.023594,0.027182,0.026314,0.02437,0.023098,0.027608,0.03174
SNS($),0.0348897753,0.0323985817,0.0239074976,0.0366059753,0.0300571257,0.020463008,0.0330082578,0.0238635048,0.0237815626,0.023818223,0.0179781753,0.0154016934
Glue($),0.0048420192,0.00507478,0.0052510184,0.0078129088,0.0089959088,0.0065540184,0.0100629088,0.0064750192,0.0065259088,0.00490478,0.0054803008,0.00346878
Location Service($),0.001554,0.0016235,0.001544,0.001643,0.001594,0.001554,0.001594,0.001554,0.001614,0.001584,0.001464,0.0017735
Simple Workflow Service($),5.09896e-05,5.28378e-05,4.62315e-05,5.35429e-05,5.24417e-05,4.55178e-05,5.37138e-05,4.99153e-05,5.08278e-05,4.79188e-05,4.40652e-05,3.39421e-05
Systems Manager($),,,,,,,,3.9e-05,,,,
CloudShell($),,,1.06e-08,,,,,4.67e-08,,,,
Glacier($),,,,,,5.6e-09,,,,,,2.19e-08
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
Migration Hub Refactor Spaces($),0.0,0.0,0.0,0.0,,,,,,,,
X-Ray($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),196285.1844673971,196123.8463410294,189489.0905753992,184087.7289045009,191767.922677868,184598.4396591038,179791.5588710322,174652.6045969355,180884.1535535638,188148.0226645846,174059.6594384167,185179.4733695067
