Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30
EC2-Instances($),296.8404501,298.7469508,298.938023,297.5489333,297.6713092,303.2551436,302.3542965,288.6541614,288.6672152,286.4947717,285.3879299,283.9169532,283.8186357,284.1147007,285.4123409,287.0095161,285.7770281,285.278716,284.891845,284.2986558,284.9059659,287.7370344,285.0068139,285.7555653,285.9665582,287.4380382,288.2417939,289.1915939,289.3432875,290.9836564
EC2-Other($),114.823673,114.8188905,114.8200217,114.7785258,114.4473465,116.9155736,116.5769554,115.2631493,115.4476568,118.6990959,116.0707432,116.2201869,117.311719,116.4109333,119.7824802,112.4652872,106.5030476,107.2321063,107.1761684,107.7207298,107.0770857,107.7245223,107.4854049,108.8206379,108.2136492,108.5571986,109.3425723,107.7038871,108.51106,120.6842763
Elastic Load Balancing($),11.29479357,11.35216688,11.41143867,11.4384751,11.58958301,12.01718201,11.4957469,11.4526001,11.60522956,11.71037768,11.76749925,11.98945807,12.07452905,11.81585785,11.65087649,11.96268452,11.81559748,11.94166469,11.83248558,11.79752589,11.41302807,11.38425662,11.35841787,11.34537689,11.48703558,11.74093665,11.71624362,11.40705001,11.3545013,11.61440089
Route 53($),11.72382667,6.953287867,7.572305867,11.49755827,12.05710187,11.83469507,13.08152827,11.10101227,11.28922227,11.50825067,12.35410307,12.57685267,11.46946027,11.95380467,13.08771227,15.35939947,11.25043027,10.51090747,10.88899347,9.145787467,11.78152387,8.694449867,6.381988667,6.394903467,6.196622667,5.845503067,5.747421067,6.965465067,6.622751867,6.291899867
S3($),5.072379684,5.074327335,5.104733683,5.10562547,5.145647384,5.200335336,5.10602963,5.185112049,5.160110468,5.178336067,5.432255969,5.207746828,5.19357252,5.179520412,5.139035171,5.127539974,5.176544087,5.151459397,5.128517328,5.121933892,5.11107497,5.089114323,5.118823349,5.128959925,5.132175809,5.1281165,5.121876116,5.11359752,5.107324969,5.108435818
VPC($),4.256866401,4.274218903,4.388045059,4.350505589,4.250305533,4.250891466,4.280761617,4.269901837,4.266871076,4.323265938,4.280458514,4.280663889,4.237665193,4.231915369,4.25216659,4.335565704,4.243267869,4.236335741,4.231991066,4.229595894,4.28872608,4.271214165,4.270797368,4.256788567,4.259030905,4.230404464,4.230587147,4.263560152,4.268041456,4.331213738
Elastic Container Service for Kubernetes($),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
WAF($),1.23850074,1.25648214,1.32334524,1.28860194,1.47561954,1.41777234,1.28349204,1.34516874,1.29528324,1.30229574,1.35889434,1.38518094,1.42449354,1.34489994,1.31141934,1.44702864,1.37639724,1.40017164,1.42207464,1.39461414,1.28967684,1.25092224,1.26832134,1.531288455,1.652259574,1.735152574,1.871771074,1.689405274,1.671923974,1.709081461
CloudWatch($),0.2000000016,0.2000000016,0.2229028981,0.2576693623,0.2576863968,0.2577046658,0.2577278374,0.2577458885,0.2577819619,0.257804409,0.2578220097,0.2578435664,0.2578626742,0.2578843022,0.2579024776,0.2579159974,0.258046169,1.6161203,2.507372688,2.525850038,1.795688053,1.733213363,1.855881052,1.932170453,2.193702269,2.719646383,2.668787692,1.910659795,1.925750578,2.035988498
API Gateway($),0.0233551152,0.033851483,0.0235027279,0.0268414776,0.0287067489,0.0368611869,0.0284972538,0.0237609407,0.0359797539,0.0275525144,0.0347471469,0.0304217229,0.0341710582,0.0307189554,0.0228330929,0.2282210672,1.795426406,2.232303436,2.270895704,2.283432489,1.541257762,1.483774436,1.604183487,1.63472089,1.891331842,2.411705084,2.346559837,1.61707257,1.629226785,1.734817319
CloudTrail($),0.5962232555,0.6005329783,0.5992608102,0.5889318002,0.5643324725,0.6537886289,0.7356815722,0.6146016377,0.596629819,0.8015621294,0.617440111,0.5894385633,0.6073897637,0.6778853783,0.8671877265,0.8331092169,0.718512768,0.7286921942,0.7223079169,0.7228202237,0.6997372794,0.6998015741,0.6569364493,0.7235662929,0.7234582052,0.7106275557,0.7353810436,0.7096895328,0.7068117985,0.7737616764
EC2 Container Registry (ECR)($),0.4706078952,0.4706078952,0.4706078952,0.4706078952,0.4706078952,0.4706078952,0.4707932764,0.4709429424,0.4712846697,0.4719340921,0.4722357888,0.4722357888,0.4722357888,0.4722357888,0.4723859524,0.4724401896,0.4724401896,0.4724401896,0.4724401896,0.4724401896,0.4724401896,0.4734868959,0.476476404,0.476476404,0.476476404,0.476476404,0.476476404,0.476476404,0.476476404,0.476476404
CloudFront($),0.0027210876,0.0022207852,0.003477847,0.00275332,0.00382357,0.0062055762,0.00549832,0.5480207104,0.5409816665,0.5407251779,0.5478436804,0.5302936676,0.5434978605,0.5460881747,0.5655549456,0.549968342,0.5425767,0.5471527562,0.5439694031,0.5406660877,0.5499899966,0.5385190174,0.5405005854,0.5411347887,0.4592136,0.6176041062,0.6267898854,0.5442622937,0.697590319,0.5517386445
QuickSight($),0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032,0.4000000032
SES($),0.2388615168,0.2725097328,0.289686407,0.3387728933,0.2313097029,0.2468319822,0.2935659601,0.2162610201,0.3088000067,0.3139835832,0.3419924099,0.2663573857,0.2976112259,0.2624568848,0.4531811355,0.2870274756,0.2040967153,0.3161739412,0.2715762325,0.2938298153,0.2732149094,0.2994428272,0.3036790415,0.3370447981,0.2988554797,0.2926041999,0.3165221088,0.2821030228,0.2483731404,0.2576531842
Secrets Manager($),0.2669816664,0.2668766664,0.2670866664,0.2669816664,0.2667716664,0.2669816664,0.2669816664,0.2558705553,0.2559755553,0.2670866664,0.2669816664,0.2669816664,0.2670866664,0.2669816664,0.2559755553,0.2670866664,0.2669816664,0.2669816664,0.2668766664,0.2668766664,0.2670866664,0.2669816664,0.2557655553,0.2680316664,0.2703416664,0.2698216664,0.2679266664,0.2686616664,0.2572355553,0.2692916664
Cost Explorer($),0.1,0.1,0.1,0.19,0.09,0.1,0.12,0.24,0.1,0.07,0.12,0.09,0.08,0.11,0.08,0.08,0.09,0.09,0.08,0.08,0.12,0.08,0.05,0.09,0.07,0.07,0.07,0.09,0.07,0.07
Relational Database Service($),0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642,0.0730049642
DynamoDB($),0.485434913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNS($),3.43592e-05,2.74257e-05,2.9631e-05,0.0005904241,0.0035028079,0.0055319265,0.0051105462,0.0049274949,0.0059543989,0.0052520479,0.0091470426,0.0050514517,0.0059748517,0.0059155325,0.0108758413,0.0045274671,0.0050335826,0.0073214113,0.007603806,0.0056729505,0.0059735635,0.0038847283,0.0061769184,0.0065973267,0.0065168157,0.0074002487,0.0094909505,0.0053325808,0.0058734129,0.0062759895
Key Management Service($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002406,0.005865,0.00621,0.005865,0.00621,0.00564,0.006195,0.006009,0.005778,0.005865,0.005865,0.00621,0.005871,0.006033,0.006102,0.00819,0.01185,0.01068,0.009201,0.010185,0.0099,0.01242
Lambda($),5.142e-07,0.0,0.0,0.0,0.0,0.0,5.482e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.44e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.129e-07,0.0,0.0,2.24904e-05,3.60073e-05,3.60114e-05,3.60156e-05,3.65612e-05,3.61008e-05,3.60257e-05
Simple Workflow Service($),9.428e-07,9.428e-07,1.4142e-06,9.428e-07,4.713e-07,1.4142e-06,1.4142e-06,9.428e-07,9.428e-07,1.4142e-06,9.428e-07,1.4142e-06,9.428e-07,1.4142e-06,9.428e-07,9.428e-07,1.4142e-06,9.428e-07,9.428e-07,1.4142e-06,9.428e-07,1.4142e-06,1.4142e-06,1.4142e-06,1.8856e-06,1.8856e-06,1.4142e-06,1.4142e-06,1.4142e-06,1.8856e-06
Step Functions($),7.392e-07,7.44e-07,1.2336e-06,7.392e-07,2.496e-07,9.888e-07,7.392e-07,9.888e-07,7.344e-07,9.84e-07,1.2384e-06,9.888e-07,1.4832e-06,1.2384e-06,1.2336e-06,9.84e-07,9.888e-07,7.392e-07,4.896e-07,9.936e-07,7.344e-07,9.888e-07,2.448e-07,1.4832e-06,1.7328e-06,1.9776e-06,1.4832e-06,1.4832e-06,1.4835e-06,1.978e-06
CloudShell($),,,,,,,,,,,,,,,,,,,,,,,4.2e-08,,,,,,,
Glue($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Catalog($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQS($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SimpleDB($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudWatch Events($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total costs($),450.5077171,447.295958,448.4074757,451.0243809,451.42666,459.8091143,459.2356745,442.7762438,443.180389,444.8511666,442.1993112,440.9645386,440.9751225,440.560447,446.5011299,443.5663339,433.3742121,434.9074187,435.5939894,433.7796488,434.4713482,434.6096587,429.5192756,432.1244835,432.1821228,435.1349605,436.6724448,435.1220463,435.779173,449.7844328
