service_id,service_type,month,spend
1,EC2-Other,2024-04-01,1297942.7709
1,EC2-Other,2024-05-01,1268089.9788
1,EC2-Other,2024-06-01,1277287.697
1,EC2-Other,2024-07-01,1271483.6963
1,EC2-Other,2024-08-01,1229208.7434
1,EC2-Other,2024-09-01,1175191.2645
1,EC2-Other,2024-10-01,1154939.2021
1,EC2-Other,2024-11-01,1136747.1307
1,EC2-Other,2024-12-01,1143911.5622
1,EC2-Other,2025-01-01,1136694.452
1,EC2-Other,2025-02-01,1128484.53
1,EC2-Other,2025-03-01,1154640.0685
2,EC2-Instances,2024-04-01,1203592.9482
2,EC2-Instances,2024-05-01,1197027.0565
2,EC2-Instances,2024-06-01,1161015.1628
2,EC2-Instances,2024-07-01,1163027.4759
2,EC2-Instances,2024-08-01,1140257.6417
2,EC2-Instances,2024-09-01,1082603.4934
2,EC2-Instances,2024-10-01,1160716.2421
2,EC2-Instances,2024-11-01,1113284.0283
2,EC2-Instances,2024-12-01,1206645.4041
2,EC2-Instances,2025-01-01,1221425.7435
2,EC2-Instances,2025-02-01,1161502.2234
2,EC2-Instances,2025-03-01,1341711.9115
3,Relational Database Service,2024-04-01,831598.5196
3,Relational Database Service,2024-05-01,716620.7693
3,Relational Database Service,2024-06-01,691056.957
3,Relational Database Service,2024-07-01,682560.249
3,Relational Database Service,2024-08-01,645352.8106
3,Relational Database Service,2024-09-01,642274.6417
3,Relational Database Service,2024-10-01,666261.7595
3,Relational Database Service,2024-11-01,621542.6176
3,Relational Database Service,2024-12-01,676806.6838
3,Relational Database Service,2025-01-01,682620.878
3,Relational Database Service,2025-02-01,591509.647
3,Relational Database Service,2025-03-01,621679.8312
4,S3,2024-04-01,450706.9683
4,S3,2024-05-01,450605.1613
4,S3,2024-06-01,430282.9165
4,S3,2024-07-01,415843.118
4,S3,2024-08-01,410577.4753
4,S3,2024-09-01,408346.4327
4,S3,2024-10-01,419459.553
4,S3,2024-11-01,412264.5571
4,S3,2024-12-01,428046.2501
4,S3,2025-01-01,437104.2713
4,S3,2025-02-01,436023.2795
4,S3,2025-03-01,462684.3669
5,Elastic MapReduce,2024-04-01,226164.0942
5,Elastic MapReduce,2024-05-01,211732.0976
5,Elastic MapReduce,2024-06-01,213138.1513
5,Elastic MapReduce,2024-07-01,215573.4256
5,Elastic MapReduce,2024-08-01,210338.3416
5,Elastic MapReduce,2024-09-01,204394.3796
5,Elastic MapReduce,2024-10-01,212327.6791
5,Elastic MapReduce,2024-11-01,201009.2494
5,Elastic MapReduce,2024-12-01,207326.6744
5,Elastic MapReduce,2025-01-01,206252.6592
5,Elastic MapReduce,2025-02-01,188314.0295
5,Elastic MapReduce,2025-03-01,214175.0891
6,Elastic Load Balancing,2024-04-01,102546.8776
6,Elastic Load Balancing,2024-05-01,103180.0615
6,Elastic Load Balancing,2024-06-01,98379.7851
6,Elastic Load Balancing,2024-07-01,93623.6835
6,Elastic Load Balancing,2024-08-01,85398.9077
6,Elastic Load Balancing,2024-09-01,79590.0021
6,Elastic Load Balancing,2024-10-01,82736.7846
6,Elastic Load Balancing,2024-11-01,78001.2508
6,Elastic Load Balancing,2024-12-01,82633.6966
6,Elastic Load Balancing,2025-01-01,81761.1068
6,Elastic Load Balancing,2025-02-01,75426.6902
6,Elastic Load Balancing,2025-03-01,83737.8585
7,ElastiCache,2024-04-01,93002.6558
7,ElastiCache,2024-05-01,97565.4079
7,ElastiCache,2024-06-01,111306.6402
7,ElastiCache,2024-07-01,108315.286
7,ElastiCache,2024-08-01,101278.1355
7,ElastiCache,2024-09-01,96387.7261
7,ElastiCache,2024-10-01,72924.9649
7,ElastiCache,2024-11-01,68001.1165
7,ElastiCache,2024-12-01,71284.6702
7,ElastiCache,2025-01-01,81058.6726
7,ElastiCache,2025-02-01,67275.8476
7,ElastiCache,2025-03-01,70276.6129
8,VPC,2024-04-01,71005.5788
8,VPC,2024-05-01,70854.3711
8,VPC,2024-06-01,69618.1455
8,VPC,2024-07-01,71324.738
8,VPC,2024-08-01,70749.1775
8,VPC,2024-09-01,68762.5041
8,VPC,2024-10-01,71858.7829
8,VPC,2024-11-01,68692.1184
8,VPC,2024-12-01,70284.6308
8,VPC,2025-01-01,69760.0651
8,VPC,2025-02-01,63403.876
8,VPC,2025-03-01,70530.7605
9,Bedrock,2024-04-01,0.0
9,Bedrock,2024-05-01,3.0335
9,Bedrock,2024-06-01,9670.44
9,Bedrock,2024-07-01,21290.9808
9,Bedrock,2024-08-01,26713.4109
9,Bedrock,2024-09-01,55298.4892
9,Bedrock,2024-10-01,89805.6264
9,Bedrock,2024-11-01,114750.1143
9,Bedrock,2024-12-01,144224.4675
9,Bedrock,2025-01-01,189769.4062
9,Bedrock,2025-02-01,5001.5608
9,Bedrock,2025-03-01,4857.3112
10,OpenSearch Service,2024-04-01,43251.0815
10,OpenSearch Service,2024-05-01,44455.9007
10,OpenSearch Service,2024-06-01,40348.336
10,OpenSearch Service,2024-07-01,36017.1317
10,OpenSearch Service,2024-08-01,34838.5949
10,OpenSearch Service,2024-09-01,33834.31
10,OpenSearch Service,2024-10-01,34495.3363
10,OpenSearch Service,2024-11-01,33388.8988
10,OpenSearch Service,2024-12-01,34567.0443
10,OpenSearch Service,2025-01-01,36798.7591
10,OpenSearch Service,2025-02-01,35130.8705
10,OpenSearch Service,2025-03-01,39057.1037
11,CloudWatch,2024-04-01,30188.0983
11,CloudWatch,2024-05-01,29289.608
11,CloudWatch,2024-06-01,29136.2533
11,CloudWatch,2024-07-01,29187.3413
11,CloudWatch,2024-08-01,30369.7232
11,CloudWatch,2024-09-01,32036.5707
11,CloudWatch,2024-10-01,33178.9575
11,CloudWatch,2024-11-01,32689.3818
11,CloudWatch,2024-12-01,33646.4607
11,CloudWatch,2025-01-01,35591.0717
11,CloudWatch,2025-02-01,30404.7702
11,CloudWatch,2025-03-01,33161.8877
12,Savings Plans for  Compute usage,2024-04-01,84907.4247
12,Savings Plans for  Compute usage,2024-05-01,82418.621
12,Savings Plans for  Compute usage,2024-06-01,51795.5441
12,Savings Plans for  Compute usage,2024-07-01,57095.6174
12,Savings Plans for  Compute usage,2024-08-01,41891.034
12,Savings Plans for  Compute usage,2024-09-01,46131.0254
12,Savings Plans for  Compute usage,2024-10-01,2601.4362
12,Savings Plans for  Compute usage,2024-11-01,2375.7954
12,Savings Plans for  Compute usage,2024-12-01,1113.7596
12,Savings Plans for  Compute usage,2025-01-01,352.3908
12,Savings Plans for  Compute usage,2025-02-01,0.0
12,Savings Plans for  Compute usage,2025-03-01,0.0
13,DynamoDB,2024-04-01,28606.8844
13,DynamoDB,2024-05-01,29761.1335
13,DynamoDB,2024-06-01,27103.5372
13,DynamoDB,2024-07-01,28860.9421
13,DynamoDB,2024-08-01,30053.8973
13,DynamoDB,2024-09-01,30958.5198
13,DynamoDB,2024-10-01,29302.5918
13,DynamoDB,2024-11-01,30131.9821
13,DynamoDB,2024-12-01,31773.3723
13,DynamoDB,2025-01-01,29679.6633
13,DynamoDB,2025-02-01,28756.9836
13,DynamoDB,2025-03-01,30512.6611
14,IoT,2024-04-01,22481.6546
14,IoT,2024-05-01,23194.2015
14,IoT,2024-06-01,22815.6314
14,IoT,2024-07-01,23924.1162
14,IoT,2024-08-01,24752.4759
14,IoT,2024-09-01,24910.0112
14,IoT,2024-10-01,26926.9809
14,IoT,2024-11-01,25948.6442
14,IoT,2024-12-01,27916.9534
14,IoT,2025-01-01,28561.4785
14,IoT,2025-02-01,27015.6214
14,IoT,2025-03-01,30960.237
15,SageMaker,2024-04-01,18997.9011
15,SageMaker,2024-05-01,21638.9274
15,SageMaker,2024-06-01,21023.651
15,SageMaker,2024-07-01,17603.2384
15,SageMaker,2024-08-01,22578.9374
15,SageMaker,2024-09-01,18334.9869
15,SageMaker,2024-10-01,14707.2308
15,SageMaker,2024-11-01,13297.3926
15,SageMaker,2024-12-01,17124.2662
15,SageMaker,2025-01-01,16028.5595
15,SageMaker,2025-02-01,14973.593
15,SageMaker,2025-03-01,18322.377
16,API Gateway,2024-04-01,23876.3479
16,API Gateway,2024-05-01,16499.8177
16,API Gateway,2024-06-01,15983.9624
16,API Gateway,2024-07-01,16639.4715
16,API Gateway,2024-08-01,18710.8844
16,API Gateway,2024-09-01,15826.8196
16,API Gateway,2024-10-01,17409.6531
16,API Gateway,2024-11-01,16462.2161
16,API Gateway,2024-12-01,17772.9384
16,API Gateway,2025-01-01,18012.7345
16,API Gateway,2025-02-01,17279.1626
16,API Gateway,2025-03-01,19675.7365
17,DocumentDB (with MongoDB compatibility),2024-04-01,17906.7594
17,DocumentDB (with MongoDB compatibility),2024-05-01,18247.0823
17,DocumentDB (with MongoDB compatibility),2024-06-01,16562.168
17,DocumentDB (with MongoDB compatibility),2024-07-01,13277.7476
17,DocumentDB (with MongoDB compatibility),2024-08-01,11029.9205
17,DocumentDB (with MongoDB compatibility),2024-09-01,22936.9522
17,DocumentDB (with MongoDB compatibility),2024-10-01,19105.2597
17,DocumentDB (with MongoDB compatibility),2024-11-01,18386.0127
17,DocumentDB (with MongoDB compatibility),2024-12-01,18877.7312
17,DocumentDB (with MongoDB compatibility),2025-01-01,18726.7681
17,DocumentDB (with MongoDB compatibility),2025-02-01,17108.5814
17,DocumentDB (with MongoDB compatibility),2025-03-01,16209.3513
18,Elastic Container Service for Kubernetes,2024-04-01,21348.86
18,Elastic Container Service for Kubernetes,2024-05-01,17744.7998
18,Elastic Container Service for Kubernetes,2024-06-01,16413.8334
18,Elastic Container Service for Kubernetes,2024-07-01,17459.6514
18,Elastic Container Service for Kubernetes,2024-08-01,18284.1019
18,Elastic Container Service for Kubernetes,2024-09-01,15514.9528
