account_id,service,month,spend
567423616371,EC2-Other,2024-04-01,"219,229"
567423616371,EC2-Other,2024-05-01,"200,646"
567423616371,EC2-Other,2024-06-01,"186,468"
567423616371,EC2-Other,2024-07-01,"163,081"
567423616371,EC2-Other,2024-08-01,"139,186"
567423616371,EC2-Other,2024-09-01,"139,493"
567423616371,EC2-Other,2024-10-01,"128,347"
567423616371,EC2-Other,2024-11-01,"126,514"
567423616371,EC2-Other,2024-12-01,"128,011"
567423616371,EC2-Other,2025-01-01,"121,884"
567423616371,EC2-Other,2025-02-01,"116,020"
567423616371,EC2-Other,2025-03-01,"104,834"
567423616371,EC2-Instances,2024-04-01,"81,086"
567423616371,EC2-Instances,2024-05-01,"77,444"
567423616371,EC2-Instances,2024-06-01,"71,880"
567423616371,EC2-Instances,2024-07-01,"66,571"
567423616371,EC2-Instances,2024-08-01,"64,682"
567423616371,EC2-Instances,2024-09-01,"62,517"
567423616371,EC2-Instances,2024-10-01,"69,470"
567423616371,EC2-Instances,2024-11-01,"68,394"
567423616371,EC2-Instances,2024-12-01,"74,542"
567423616371,EC2-Instances,2025-01-01,"76,792"
567423616371,EC2-Instances,2025-02-01,"69,085"
567423616371,EC2-Instances,2025-03-01,"70,941"
567423616371,S3,2024-04-01,"14,635"
567423616371,S3,2024-05-01,"14,379"
567423616371,S3,2024-06-01,"13,334"
567423616371,S3,2024-07-01,"12,150"
567423616371,S3,2024-08-01,"11,295"
567423616371,S3,2024-09-01,"11,193"
567423616371,S3,2024-10-01,"11,289"
567423616371,S3,2024-11-01,"11,074"
567423616371,S3,2024-12-01,"11,183"
567423616371,S3,2025-01-01,"11,205"
567423616371,S3,2025-02-01,"11,025"
567423616371,S3,2025-03-01,"11,033"
567423616371,Elastic Load Balancing,2024-04-01,"11,671"
567423616371,Elastic Load Balancing,2024-05-01,"11,170"
567423616371,Elastic Load Balancing,2024-06-01,"10,679"
567423616371,Elastic Load Balancing,2024-07-01,"10,447"
567423616371,Elastic Load Balancing,2024-08-01,"10,104"
567423616371,Elastic Load Balancing,2024-09-01,"9,973"
567423616371,Elastic Load Balancing,2024-10-01,"10,397"
567423616371,Elastic Load Balancing,2024-11-01,"9,902"
567423616371,Elastic Load Balancing,2024-12-01,"10,796"
567423616371,Elastic Load Balancing,2025-01-01,"10,282"
567423616371,Elastic Load Balancing,2025-02-01,"9,257"
567423616371,Elastic Load Balancing,2025-03-01,"9,708"
567423616371,Route 53,2024-04-01,"2,684"
567423616371,Route 53,2024-05-01,"2,861"
567423616371,Route 53,2024-06-01,"2,700"
567423616371,Route 53,2024-07-01,"2,759"
567423616371,Route 53,2024-08-01,"2,748"
567423616371,Route 53,2024-09-01,"2,524"
567423616371,Route 53,2024-10-01,"2,587"
567423616371,Route 53,2024-11-01,"2,390"
567423616371,Route 53,2024-12-01,"2,479"
567423616371,Route 53,2025-01-01,"2,580"
567423616371,Route 53,2025-02-01,"2,420"
567423616371,Route 53,2025-03-01,"2,579"
567423616371,VPC,2024-04-01,"1,697"
567423616371,VPC,2024-05-01,"1,855"
567423616371,VPC,2024-06-01,"1,804"
567423616371,VPC,2024-07-01,"1,833"
567423616371,VPC,2024-08-01,"1,732"
567423616371,VPC,2024-09-01,"1,731"
567423616371,VPC,2024-10-01,"1,820"
567423616371,VPC,2024-11-01,"1,733"
567423616371,VPC,2024-12-01,"1,879"
567423616371,VPC,2025-01-01,"1,900"
567423616371,VPC,2025-02-01,"1,749"
567423616371,VPC,2025-03-01,"1,891"
567423616371,Elastic File System,2024-04-01,407
567423616371,Elastic File System,2024-05-01,559
567423616371,Elastic File System,2024-06-01,697
567423616371,Elastic File System,2024-07-01,859
567423616371,Elastic File System,2024-08-01,"1,045"
567423616371,Elastic File System,2024-09-01,"1,253"
567423616371,Elastic File System,2024-10-01,"1,457"
567423616371,Elastic File System,2024-11-01,"1,658"
567423616371,Elastic File System,2024-12-01,"1,855"
567423616371,Elastic File System,2025-01-01,"2,009"
567423616371,Elastic File System,2025-02-01,"1,221"
567423616371,Elastic File System,2025-03-01,0
567423616371,CloudWatch,2024-04-01,481
567423616371,CloudWatch,2024-05-01,474
567423616371,CloudWatch,2024-06-01,457
567423616371,CloudWatch,2024-07-01,435
567423616371,CloudWatch,2024-08-01,438
567423616371,CloudWatch,2024-09-01,434
567423616371,CloudWatch,2024-10-01,435
567423616371,CloudWatch,2024-11-01,423
567423616371,CloudWatch,2024-12-01,423
567423616371,CloudWatch,2025-01-01,567
567423616371,CloudWatch,2025-02-01,786
567423616371,CloudWatch,2025-03-01,574
567423616371,Elastic MapReduce,2024-04-01,913
567423616371,Elastic MapReduce,2024-05-01,897
567423616371,Elastic MapReduce,2024-06-01,855
567423616371,Elastic MapReduce,2024-07-01,466
567423616371,Elastic MapReduce,2024-08-01,294
567423616371,Elastic MapReduce,2024-09-01,300
567423616371,Elastic MapReduce,2024-10-01,293
567423616371,Elastic MapReduce,2024-11-01,339
567423616371,Elastic MapReduce,2024-12-01,262
567423616371,Elastic MapReduce,2025-01-01,293
567423616371,Elastic MapReduce,2025-02-01,278
567423616371,Elastic MapReduce,2025-03-01,269
567423616371,DynamoDB,2024-04-01,427
567423616371,DynamoDB,2024-05-01,427
567423616371,DynamoDB,2024-06-01,427
567423616371,DynamoDB,2024-07-01,427
567423616371,DynamoDB,2024-08-01,427
567423616371,DynamoDB,2024-09-01,427
567423616371,DynamoDB,2024-10-01,427
567423616371,DynamoDB,2024-11-01,427
567423616371,DynamoDB,2024-12-01,427
567423616371,DynamoDB,2025-01-01,427
567423616371,DynamoDB,2025-02-01,427
567423616371,DynamoDB,2025-03-01,427
567423616371,Config,2024-04-01,
567423616371,Config,2024-05-01,
567423616371,Config,2024-06-01,
567423616371,Config,2024-07-01,
567423616371,Config,2024-08-01,
567423616371,Config,2024-09-01,
567423616371,Config,2024-10-01,
567423616371,Config,2024-11-01,
567423616371,Config,2024-12-01,
567423616371,Config,2025-01-01,673
567423616371,Config,2025-02-01,962
567423616371,Config,2025-03-01,
567423616371,Elastic Container Service for Kubernetes,2024-04-01,144
567423616371,Elastic Container Service for Kubernetes,2024-05-01,149
567423616371,Elastic Container Service for Kubernetes,2024-06-01,144
567423616371,Elastic Container Service for Kubernetes,2024-07-01,149
567423616371,Elastic Container Service for Kubernetes,2024-08-01,149
567423616371,Elastic Container Service for Kubernetes,2024-09-01,144
567423616371,Elastic Container Service for Kubernetes,2024-10-01,149
567423616371,Elastic Container Service for Kubernetes,2024-11-01,224
567423616371,Elastic Container Service for Kubernetes,2024-12-01,149
567423616371,Elastic Container Service for Kubernetes,2025-01-01,149
567423616371,Elastic Container Service for Kubernetes,2025-02-01,80
567423616371,Elastic Container Service for Kubernetes,2025-03-01,
567423616371,Direct Connect,2024-04-01,216
567423616371,Direct Connect,2024-05-01,134
567423616371,Direct Connect,2024-06-01,102
567423616371,Direct Connect,2024-07-01,91
567423616371,Direct Connect,2024-08-01,89
567423616371,Direct Connect,2024-09-01,86
567423616371,Direct Connect,2024-10-01,89
567423616371,Direct Connect,2024-11-01,86
567423616371,Direct Connect,2024-12-01,89
567423616371,Direct Connect,2025-01-01,89
567423616371,Direct Connect,2025-02-01,81
567423616371,Direct Connect,2025-03-01,89
567423616371,SageMaker,2024-04-01,35
567423616371,SageMaker,2024-05-01,35
567423616371,SageMaker,2024-06-01,43
567423616371,SageMaker,2024-07-01,42
567423616371,SageMaker,2024-08-01,31
567423616371,SageMaker,2024-09-01,41
567423616371,SageMaker,2024-10-01,161
567423616371,SageMaker,2024-11-01,19
567423616371,SageMaker,2024-12-01,44
567423616371,SageMaker,2025-01-01,46
567423616371,SageMaker,2025-02-01,62
567423616371,SageMaker,2025-03-01,370
567423616371,QuickSight,2024-04-01,24
567423616371,QuickSight,2024-05-01,24
567423616371,QuickSight,2024-06-01,24
