Service,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
S3,"154,077","150,929","142,293","132,616","133,236","134,182","140,004","139,001","148,683","154,668","153,587","169,785"
EC2-Instances,"139,487","137,521","137,917","137,812","138,373","132,144","136,195","142,571","159,777","149,288","139,127","183,587"
Elastic MapReduce,"92,037","83,817","92,993","95,109","97,866","97,350","104,188","103,882","106,104","105,133","92,929","107,483"
EC2-Other,"29,274","24,707","25,395","25,572","24,833","23,920","21,016","18,591","18,285","18,355","18,249","20,542"
VPC,"3,230","3,374","3,219","3,485","3,493","3,566","4,125","3,805","4,021","4,034","3,654","4,442"
Relational Database Service,"1,612","1,665","1,615","1,794","1,848","1,485","1,492","1,450","1,493","1,494","1,368","1,502"
Elastic File System,"2,161","1,610",519,538,547,539,553,604,649,591,535,729
CloudWatch,785,788,796,822,805,764,817,770,761,744,703,779
DynamoDB,460,475,461,478,479,464,480,465,480,474,437,483
Elastic Load Balancing,560,467,398,412,412,399,415,401,413,413,387,407
SES,165,199,211,228,220,209,205,130,159,189,209,169
Elastic Container Service for Kubernetes,72,247,72,74,74,72,74,132,283,74,67,74
OpenSearch Service,79,82,79,82,82,79,82,79,82,82,74,82
Lambda,53,37,39,40,32,28,50,66,92,87,73,79
Glue,49,50,47,46,52,53,56,55,57,57,50,53
ElastiCache,35,36,35,36,36,35,36,35,36,36,32,36
Key Management Service,26,26,28,29,30,29,31,29,30,30,28,30
Cost Explorer,19,23,21,19,17,23,24,23,23,23,21,21
SageMaker,21,22,21,22,22,21,22,21,22,22,14,
EC2 Container Registry (ECR),14,17,18,18,18,19,19,19,19,19,19,19
API Gateway,13,13,15,15,14,13,13,12,13,12,11,12
Secrets Manager,12,13,13,14,14,13,12,13,13,13,13,13
SNS,0,0,0,0,0,0,0,0,0,0,0,0
SQS,0,0,0,0,0,0,0,0,0,0,0,0
Service Catalog,0,0,0,0,0,0,1,0,0,0,0,0
Route 53,0,0,0,0,0,0,0,0,0,0,0,0
CloudWatch Events,0,0,0,0,0,0,0,0,0,0,0,0
Athena,0,,,0,0,,,,0,0,,0
Direct Connect,0,0,0,0,,,,,,,,
CloudTrail,0,0,0,0,0,0,0,0,0,0,0,0
Simple Workflow Service,0,0,0,0,0,0,0,0,0,0,0,0
Step Functions,0,0,0,0,0,0,0,0,0,0,0,0
CloudShell,,,0,,0,0,,0,,,,
X-Ray,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation,,,,,0,0,0,0,0,0,0,0
