Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),872.6362098538,897.8964808039,897.9193731573,898.1440461646,840.1588249977,698.1697239862,698.1394957795,891.113851712,898.9708616888,899.0060248452,839.9436857714,830.7320587857,696.6127196284,823.5831026381,830.6024561839,889.0988710613,838.9381156445
EC2-Other($),434.8527050735,433.2706651726,431.854674053,431.2337595338,431.016819623,429.2361386796,428.787297762,433.8085797317,431.725250445,433.7589849869,434.5778357006,434.4122810711,433.4157773996,435.3557042151,439.4203081375,442.3996707719,440.1988642505
S3($),156.406514206,162.208853362,162.2041697035,162.245196164,162.1367986855,162.4756828721,162.4091408186,159.9537217652,159.7950374451,163.2197803228,160.088237639,160.1655474378,163.7505710695,160.1085294862,161.9697640335,160.4726832932,160.3632463367
SUSE Linux Enterprise Server for SAP Applications 15 SP1($),81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.175,81.6,81.6,81.6,81.6
VPC($),23.0163520797,23.004356733,22.9728572745,22.9961548319,23.0027178418,22.9509166277,22.9354758928,23.0302624904,22.9781335439,22.9795149939,22.9534300373,22.9786389841,22.9413659593,22.9381063033,22.9740721241,22.9728462219,24.6346681789
Direct Connect($),9.591457141,8.2513385951,8.4216814092,14.8233851122,12.4000611401,7.7664335172,7.7522149615,27.7672101844,12.9930423418,20.4434863541,22.0636424936,21.3630507754,15.4140095108,10.7933947884,12.7813013694,10.1825117616,8.4006447939
SUSE Linux Enterprise Server for SAP Applications 15 SP5($),12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24
CloudWatch($),8.6352845465,10.1518175628,10.1537342294,10.1495408949,10.1011875617,9.9499445795,9.9479679131,10.138654328,10.1508210827,10.1525875692,10.0990642344,9.5577376703,9.5092868137,9.5547377181,9.5564543375,9.5762165599,9.5572831314
Elastic File System($),3.2409052722,3.2418278161,3.2401635068,3.2360287565,3.2356604367,3.234835717,3.2369773738,3.0321902686,2.9087821894,2.9118589953,2.9084760138,2.9076195323,2.9047231678,3.1277296176,3.2289576923,3.2380513203,3.238492879
Elastic Load Balancing($),0.5739761179,0.5761680124,0.5758835336,0.5759971333,0.5746096728,0.5745214977,0.5738427113,0.5741392303,0.5752034716,0.5747588822,0.5737666132,0.5749279971,0.5752643094,0.5737016765,0.5744783709,0.5742475064,0.5741318531
Backup($),0.232824533,,,,0.232826805,0.232826805,0.232826805,0.232826805,,,,0.2328286135,0.2328286135,0.2328286135,0.2328286135,,
Cost Explorer($),0.08,0.08,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.05
Secrets Manager($),0.0267566664,0.0267916664,0.0267916664,0.0257805553,0.0270016664,0.0270016664,0.0270716664,0.0270916664,0.0270766664,0.0270416664,0.0270616664,0.0270866664,0.0270616664,0.0271016664,0.0271366664,0.0270266664,0.0270916664
Key Management Service($),0.007872,0.005886,0.008226,0.008346,0.008232,0.008442,0.008088,0.007848,0.007515,0.008211,0.008328,0.008214,0.007347,0.006477,0.00825,0.008343,0.008217
Service Catalog($),0.0042,0.007,0.0056,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
Lambda($),0.0002390587,0.0004536615,0.0004601329,0.0004251791,0.0004700509,0.0004042301,0.0004657001,0.0004368829,0.0004336688,0.0003854865,0.0004847432,0.0004356676,0.0005273805,0.0004518869,0.0005148518,0.0004686851,0.0005225552
Glue($),9.6e-05,9.5e-05,9.4e-05,0.000126,0.000116,0.000102,0.000125,0.000125,0.000103,0.000116,0.000126,0.000114,0.000104,0.000125,0.000217,0.000176,0.000209
SNS($),0.0,0.0,0.0,8.25e-05,0.00011,0.0001375,0.0001485,0.000143,0.000143,0.0001375,0.000154,0.000165,0.000165,0.000165,0.000165,0.000154,0.000154
SQS($),2.16e-05,2.2e-05,3.28e-05,5.4e-05,6.52e-05,8.68e-05,8.64e-05,0.0001012,0.0001012,8.64e-05,0.0001048,0.000108,0.0001012,0.0001044,0.0001084,0.0001044,0.0001048
Simple Workflow Service($),1.3881e-06,1.3881e-06,9.254e-07,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.8508e-06
Step Functions($),7.365e-07,7.365e-07,7.365e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costs($),1603.1454162733,1632.5617585104,1631.2937431285,1637.3103256584,1576.7669038062,1428.4986013113,1427.9226281169,1643.5585843895,1634.0039075763,1646.9543778353,1587.1157998375,1576.8522170341,1438.8382555517,1560.1736623802,1575.2484156136,1632.4227738353,1579.8331489224
