Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),458.7778905924,461.1834127641,461.4610909402,462.0179255886,468.2061230091,464.3089288551,445.5955960286,464.3398099368,471.951087449,474.4219351457,464.0809708148,473.6261775163,466.6706137912,460.386278466,471.7045480121,473.409231289,476.0975014665
EC2-Instances($),212.3715758109,212.9579122542,213.6544464229,212.4281871397,209.6534710467,208.0836910875,206.1816058305,207.6682042349,206.0345033559,204.9649027491,203.5957578956,204.2315254326,201.2510004398,197.8296954164,214.4313383039,214.7998325295,213.9003562122
OpenSearch Service($),177.9195483835,177.7216865143,190.4555815674,211.7685405424,211.9095451561,212.1735459459,212.1735449505,212.1075503861,212.1075575441,212.2395643802,211.7685325902,212.1735408514,211.9095241924,212.173527254,211.975527289,211.843554863,212.1735661866
Elastic Load Balancing($),81.5059081367,88.1834708803,90.8995574077,90.9452678143,87.6408828743,76.0518635695,36.8713481492,82.554931338,69.8748196275,77.14505361,57.9379595629,87.4651655248,80.0031641771,43.2312223498,78.3225137202,76.765153272,79.726088816
VPC($),45.7244141436,46.0697151596,45.5942767623,46.5390767265,45.2232109667,43.5817020538,43.5289928584,45.7244633804,44.7585606695,45.5867161645,43.5955551421,45.2621797497,46.4572210955,45.787786825,46.2089031627,45.0918411375,45.6596420195
S3($),14.7244793308,14.3539548211,15.1619472899,15.0261493984,14.5785656943,15.1453874753,14.3077612821,14.8318705514,14.4771611905,15.515121643,14.6088307797,14.9064447799,15.0754475804,14.2070229642,15.6769461766,15.2082492183,14.6387179134
ElastiCache($),11.192,11.316,11.328,11.31,11.316,11.31,11.286,11.328,11.316,11.316,11.316,11.298,11.328,11.31,11.328,11.268,11.304
CloudWatch($),9.5708664984,9.7623512312,9.6980497773,9.7959800102,9.7524808893,9.6541096055,9.5323996688,9.7359571102,9.6951323806,9.731054653,9.6792178201,6.7990444371,6.7386573612,6.6820023797,6.7868494958,6.8029225303,6.7912119904
Elastic Container Service for Kubernetes($),4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.898016666,4.8,4.8,4.8,4.8,4.8,4.8
DynamoDB($),1.0158757791,1.0158742183,1.0158742178,1.0158742187,1.01587422,1.0158742209,1.0158742205,1.0158742208,1.0158742218,1.0158742246,1.0158742297,1.0158742272,1.0158742271,1.0158742269,1.0158742287,1.0158742283,1.0158742273
