Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),192.6334641906,192.1186117358,191.1808923337,194.0059962818,192.3680933878,191.7347653023,192.0942041995,192.8567339776,192.6683084988,191.9843086585,191.5012421611,192.4127130327,198.9218923355,191.0745098867,191.0475834543,190.6542993866,190.8560874094
OpenSearch Service($),171.7027592898,171.7027585398,171.702759515,171.0817594527,171.7027599659,171.7027604754,171.7027607966,171.7027613309,171.7027662414,171.7027684161,171.0817522101,171.70274728,171.7027454669,171.7027460093,171.7027491268,171.7027423241,171.7027333382
EC2-Instances($),122.5118511616,122.5125836854,122.3437295306,122.5172740055,122.5148792782,122.4836334276,122.5186807078,122.51821896,122.5157546301,122.5184417877,122.5168554615,122.5153932759,122.5149504915,122.4144521061,122.5193836224,122.3692085668,122.3687299958
S3($),64.4841925674,64.8458583816,65.0012874381,65.4300567243,65.6860546915,65.6977874528,65.75731854,65.8495461253,65.9262198608,66.3645459111,66.3708427773,66.5287597726,66.8137371021,66.9368207335,67.1799884387,67.6168168835,68.0458983297
Relational Database Service($),16.7141999095,16.7505843468,16.851702405,17.2772796871,16.9121917438,16.7636193881,16.7882823665,16.8067680453,16.8342382729,16.7862762381,16.7252908145,16.8089368904,18.4196163004,16.6908021867,16.7023597736,16.6875579555,16.6708861901
Elastic Container Service for Kubernetes($),14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
VPC($),13.0771711123,12.8583153945,12.8910354073,12.8496417165,12.8680702354,12.8014015422,12.7993841348,12.8626656615,12.8369290086,13.020858238,13.0370483336,13.0949385632,13.0781863228,13.0481765469,13.1123838841,12.9001914633,12.8302176017
CloudWatch($),3.2917425628,3.2892065276,3.2915118126,3.2914363845,3.2914912447,3.2914492933,3.2913459359,3.291408752,3.2914441422,3.292273145,3.2929132369,1.3222359454,1.3177001817,1.3174463431,1.3201177901,1.3179744625,1.3188697694
Elastic Load Balancing($),2.2992344078,2.2976099536,2.297137493,2.2973633262,2.296815377,2.2962487506,2.2963945997,2.2968452652,2.2971768181,2.2991485197,2.2974902804,2.2989962392,2.298038242,2.2970619089,2.2978079972,2.2982809256,2.2968025691
Backup($),0.1812349628,0.1812347686,0.1812351978,0.1812373354,0.181235116,0.1812356667,0.1812357393,0.1812363285,0.1812373508,0.1806849933,0.1812366972,0.1812353505,0.1812392336,0.1812393075,0.1812390597,0.1812374597,0.181237351
Elastic File System($),0.1405750159,0.1406895968,0.1412304815,0.1432482247,0.1419355166,0.1423572859,0.1426530112,0.1428614449,0.1427788111,0.1927183069,0.1400205326,0.1396616044,0.1453904742,0.1402565958,0.1393950338,0.1407811679,0.1409317426
