Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),2319.9325203999,2270.7189197929,2298.6103661842,2425.831143507,2268.1379562184,2128.0658802437,2135.6246204738,2210.7553661701,2100.2891614883,2080.3315731161,2086.7194818287,2182.0619354379,2126.5824705916,2143.0583971281,2078.5462678101,2149.1041582566,2194.690053274
EC2-Other($),1013.6683731044,1017.7657004144,1009.3582142564,1019.5269870731,1018.5443784561,996.2280360477,994.3872418499,1016.3406367228,1010.3312275901,998.2066529448,1005.5415152482,1010.2192972026,1013.4191740139,1012.4522618555,1003.5303640088,1019.4243996245,1023.1146219607
S3($),655.6527332887,650.2934384748,662.426281866,684.77547445,666.1654289656,669.8050474597,654.1892589147,700.8096339014,714.0125277082,659.8666220844,669.9939489481,689.0175282625,676.047519656,663.2790633843,668.3029978965,535.9243337714,550.6644422738
Textract($),24.534,34.4175,33.231,88.059,507.363,657.399,351.7299,245.6406,194.583,304.6458,250.137,39.8262,39.0408,13.2156,52.9368,272.8056,10.8318
Elastic Load Balancing($),122.320129346,124.6571857539,122.3269152365,124.0375270662,127.0656859176,130.3496643604,125.5689215624,127.0775082114,130.0669304507,128.1587785302,130.8317714155,126.9791976551,120.3163882843,123.8265745447,123.6589984854,125.340136149,124.8365459696
VPC($),112.8594028087,114.6971978621,111.4384710175,110.0603171515,111.2358874484,109.6690926753,106.6754177493,106.4788948519,103.1875560027,104.3840511725,101.485720356,102.4870074705,100.389757808,97.7592401516,102.8563540041,101.3016964692,100.2568921457
Elastic MapReduce($),83.6960991344,86.1041616572,57.080037634,76.5537188574,82.60352306,28.4368571616,31.5994219628,77.9076452184,75.1059338424,33.5491997484,60.5838992532,75.4960592216,94.2490212408,94.0341007728,64.2483838908,77.4538832886,112.8022836648
SageMaker($),56.4213679939,57.3483590093,64.5056000586,65.7535721176,63.3410153234,55.3488,61.4929571752,76.8688016194,84.2387059185,89.3226786259,69.741548233,59.7126170892,55.3488,72.0896872796,86.0718380831,74.7390691223,66.9311898252
Relational Database Service($),54.3703189048,54.3794443894,54.3780433712,54.372264369,54.3754246256,54.3831939072,54.3748566375,54.3735338492,54.3727026328,54.3722366181,54.3721033328,55.0966575319,54.3713659157,54.3718526458,54.3716929453,54.3705885602,54.3700906352
CloudWatch($),49.9566805229,50.4498660238,50.5040735727,50.5371146247,50.4046903195,50.3425535849,50.3124372715,50.5226764847,50.5331184747,50.4662328088,21.8677756831,22.1456956749,21.764620589,21.7934201376,21.846338389,21.8243197421,21.8418358692
Elastic Container Service for Kubernetes($),31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2
Rekognition($),39.0990656,41.3065656,40.8040656,34.9215656,33.3840656,32.4878156,8.5990656,33.0590656,27.8340656,29.3653156,21.4103156,31.9165656,31.2815656,8.7715656,30.3628156,31.5103156,28.4628156
Elastic File System($),24.882073538,24.8970469119,24.978388697,25.0217614931,25.0882449448,25.1152198776,25.1203841643,25.1582335263,25.2203727056,25.2540003368,25.255008466,25.2551893423,25.2551894472,25.3002529945,25.3828579975,26.133665464,26.8324358107
EC2 Container Registry (ECR)($),4.2135580006,4.2190084031,4.2380916668,4.2708804844,4.2773918938,4.2784663392,4.2784663392,4.2785570001,4.2800574716,4.2808192745,4.280838024,4.2828149911,4.2845154984,4.2845154984,4.2884557514,4.3113182985,4.3594140575
