Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),5142.4949509677,4853.8915530555,4654.269053858,4660.3939184239,4614.2018442048,4588.3827530143,4595.9247982761,4485.2958653684,4415.9863864373,4480.4015774285,4488.4600414708,4440.4409220224,4396.6742700537,4338.2343815799,4370.8069741652,4406.0670639353,4402.715993647
EC2-Instances($),1665.409730217,1579.75189128,1552.9453786147,1556.3314873641,1559.4652593462,1534.4682345642,1527.0517238891,1493.1976080864,1458.9315770929,1443.506590362,1434.5113206648,1444.8498690182,1430.3177125036,1424.6872992521,1440.9516107318,1459.4725130295,1447.7254828125
S3($),474.9770116444,467.2733089183,454.3155722597,457.8938762693,466.5158927614,436.992082624,420.867514647,431.7012231081,433.7662772092,446.9529592967,427.931746228,441.9086782323,438.02191407,415.6197523076,436.6112010465,447.0694784065,432.4349238709
SageMaker($),274.8869463017,249.3712060346,317.1272165209,223.3115815542,292.1470393139,276.5767143227,249.4410375965,319.4291137237,223.602303221,288.5207990287,274.790618114,249.3463773935,317.0389775415,223.0024222857,288.424256747,274.8817912429,249.3035167875
VPC($),99.8444575675,100.365313619,100.3510899632,99.9376057541,99.4112285172,98.3712601593,98.2641603569,100.0205315678,100.0286512665,100.0524456887,98.4574557266,100.1698908587,99.2500525251,98.6265264198,100.6207294787,100.5616276557,100.2592899842
Managed Streaming for Apache Kafka($),95.8870276062,95.9089469143,95.8423931102,95.7948848278,95.8663876057,95.8388946652,95.7648621771,95.8274198947,99.460810248,103.2365247156,103.1734819439,103.7442729171,103.1923293436,103.148215744,103.2226082858,103.5437127843,103.2609339407
CloudWatch($),111.127655144,115.4326084872,115.6475117564,114.7786933736,115.0657431852,114.1926776434,113.2597150445,115.2699847905,114.9714175428,116.0432981587,74.7491287469,65.0412179929,64.7284830476,63.6265601948,65.2855080956,65.7275796365,64.6327788195
Elastic Load Balancing($),85.098399435,84.4179474498,82.3598018488,86.3280128711,88.9018519575,81.5619083671,81.415541022,80.2137572898,79.2449534605,78.7408705999,76.8534358645,78.4566021572,77.7611699441,74.7071758751,78.9807160334,81.1770413959,85.0400260767
Relational Database Service($),72.6066027008,72.6186519716,72.6203840782,72.633137556,72.6135455273,72.6018122127,72.6191410508,72.6123534043,72.5991450609,72.5771760677,72.5761550439,72.5779113309,72.5882481124,72.5762903469,72.5903982123,72.579566065,72.5817281818
QuickSight($),45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648,45.6000003648
Elastic Container Service for Kubernetes($),36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Elastic MapReduce($),30.24,30.24,30.24,30.2485888152,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24,30.24
Config($),31.098,41.238,26.7,40.842,28.35,22.194,20.034,34.158,36.798,24.912,22.638,24.285,23.754,19.953,28.449,44.625,27.024
Glue($),13.08355716,32.02241708,4.08068908,4.1612798,106.72093296,1.813805,1.8977291317,9.0884460004,107.5449363541,16.2556415226,2.0023767404,108.6307114112,1.9592933052,2.0981095765,14.3510575738,2.094140146,5.3601202931
ElastiCache($),23.302,23.354,23.563,23.758,23.577,23.263,23.432,24.008,23.605,23.263,23.772,23.927,23.426,23.484,23.627,23.901,23.237
EC2 Container Registry (ECR)($),19.7596520827,19.8473726819,19.9722488163,20.0960059761,20.1868406459,20.2192714879,20.2311956622,20.3071982263,20.4080245851,20.539055972,20.6039881569,20.691959263,20.7473063787,20.7541171065,20.8177030912,20.9161494698,21.0225534946
Step Functions($),14.0358802445,0.1041453825,51.5766013023,35.4660185019,21.9550815523,43.2970582701,0.9273340188,47.8401417556,0.9953992261,3.4446109022,33.1412830236,10.8533140284,0.53477503,16.6506412845,20.01485239,0.781414022,43.0070853095
Kinesis($),12.616043052,12.6159964135,12.6158699475,12.616341198,12.6157282375,12.6148279535,12.612470813,12.6147034855,12.6138495995,12.613385527,12.6135582245,12.6134850015,12.6125782055,12.612108213,12.613316966,12.6140034455,12.6138110085
Transfer Family($),7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Key Management Service($),3.4062098026,3.3395980248,3.3311500248,3.3359290248,3.3349930248,3.3223150248,3.3037240248,3.3508930248,3.3427224694,3.3654806919,3.377863692,3.388147692,3.380833692,3.361843692,3.384739692,3.408832692,3.396181692
SQS($),2.7346379909,3.2957111059,3.0960976244,3.113700618,3.4117226,3.4255784,2.8603652,2.8228451654,2.8859576016,2.9035708506,2.9178094,3.3984423155,3.5294612,2.9811205,2.8934441146,3.270694317,3.0696985538
Cost Explorer($),2.31,4.93,3.96,2.84,2.76,2.45,2.54,2.17,2.55,4.48,2.38,3.03,2.55,2.69,2.05,2.6,3.96
Secrets Manager($),2.2540255553,2.3755733329,2.3035244446,2.3128038894,2.4024866672,2.3805116672,2.3742466672,2.4273966672,2.4183466672,2.4278216672,2.3771016672,2.4384466672,2.3731116672,2.3770516672,2.4138416672,2.4217438887,2.4291649992
