Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),879.2549471116,848.4528650089,836.294679066,845.6025769449,846.331233896,854.3134138725,846.0096145412,837.4557736957,836.9837990523,840.8743362106,837.128092136,849.7569675864,837.4661267192,841.021684298,852.2886027363,849.5722287564,860.0476149578
EC2-Instances($),632.9988401357,656.4698789601,658.6891241075,648.4940576365,646.7044603731,659.1660511218,656.0047844478,661.9052001181,663.5206920788,630.9047434595,605.9668678189,610.7697103254,585.502248587,602.3253633706,631.1023216939,635.0578906286,635.6132309917
S3($),160.6519532771,165.3647592545,188.7473005709,188.2475229532,180.0713463989,168.0335527473,162.083023503,170.5993457155,176.1003255647,180.3392356533,172.471774444,183.0197528582,181.2058634192,180.4714589777,184.1225328564,188.700168581,190.2064121345
Elastic Load Balancing($),95.8206422113,96.4362016491,95.4381103941,97.0688345303,94.0886510671,94.2520437001,93.5642879362,92.3464381714,93.0120942389,92.405310649,92.8780313017,96.5789579378,95.168356185,94.6632819019,95.5425103013,92.3643615381,97.0331905619
WAF($),77.301442872,76.857045072,77.4726645166,86.3909357612,87.393481872,90.035372472,89.135647272,81.024573672,83.780133072,86.9125295612,90.8544515612,98.0709488058,99.239343672,97.623868872,94.419187272,78.0128673166,72.7851189166
Kinesis Firehose($),20.7074533173,20.5873674395,20.7482965659,23.1528521249,23.4339767266,24.14755517,23.9049821853,21.7133337212,22.4579058555,23.2935772802,24.3590341091,26.3033047009,26.6355488205,26.19824502,25.3322178652,20.8951067448,19.4816811656
Elastic MapReduce($),15.3833629104,16.4127445056,17.534534904,15.4133590752,16.3553617872,19.327299948,16.2587247264,18.4083818472,16.2388983744,18.959069736,15.9679309392,18.1628491248,15.7119149664,15.7379167296,17.1063685584,20.8027474992,19.472667408
CloudWatch($),15.0017227972,15.8751792835,15.0738772822,15.3830690162,14.9319469407,14.8450630288,14.9691687919,14.8954313829,14.9457510414,15.2857935302,14.2976040285,14.7579606988,14.2040141541,14.314968756,14.8796849834,14.6391864869,14.5500487241
Elastic Container Service for Kubernetes($),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Athena($),15.510035,10.39364,18.96678,15.002375,9.96662,5.0233,5.090255,11.71316,20.592345,22.04037,5.71485,8.87777,4.913815,4.829135,10.91156,18.92973,10.823755
