Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),2940.4174741072,2956.5556515876,2951.3535251733,2910.0792392378,2889.4131736176,2893.0239907582,2888.8527788983,2892.7792951268,2864.0653812625,2847.4033431068,2815.2983351009,2821.576205278,2756.9510523923,2743.1891841983,2749.218025301,2745.5945398786,2730.6170623823
EC2-Instances($),1994.0402708104,2013.1266861892,2006.2263969545,1997.1227391835,1996.0689090189,1995.2503053867,1993.8352638159,2001.9898704646,1993.0025933732,1985.8878498829,1976.750527722,1983.5743422146,1932.1918728829,1917.4484802152,1892.658241424,1862.4486171572,1817.8377619155
S3($),445.5198600093,442.7196577862,457.1495774519,445.5165757848,449.3618282743,454.202879491,446.0356344439,447.9573459128,453.5772688182,448.6778124711,447.7231526454,456.0713576022,446.0092031182,444.4209465153,454.9559008246,444.4618502894,458.8948746226
Elastic Load Balancing($),140.6311564381,143.2590378899,139.2139653208,134.6293025465,134.7246471879,131.9264909102,123.9154416932,132.0845677814,125.0396004226,127.3911290292,117.1060597122,122.9772129824,107.4158537402,101.8670478475,109.7058812862,105.3690736798,100.9811214895
CloudWatch($),105.8602011605,102.5216935675,103.2879977212,102.3941289603,98.7592641924,95.8897878754,95.7329475927,103.329843015,97.182483327,98.7988616276,95.1567202919,86.8697552818,86.3736407014,84.1923331007,100.9033600886,85.2064579714,85.4643964889
Elastic File System($),71.0953043363,70.1459313357,73.3699936641,71.9766675514,73.2362643768,69.7376511554,69.9320138423,68.6297094704,70.8828138421,70.1556589966,69.0547809312,71.367476893,68.7906613002,70.3073769141,69.3465880731,68.6190190862,67.3329866076
VPC($),68.3132808434,69.3615268793,68.3023955709,67.9081871046,67.7817925436,66.195446715,66.022965476,66.0094328261,65.2684478835,64.8641290599,63.6481818988,64.4661900222,61.6478477154,61.1075228428,61.7338934913,61.2172633921,59.1801091588
Network Firewall($),66.2054021763,67.8790123513,66.3006753422,65.2109079314,65.6859430592,64.9119733535,62.7545938582,64.1286934545,62.0228293584,63.3564213373,58.562031263,59.3889433316,55.3066459797,54.140999085,56.3136435939,54.3883029771,50.7740564499
ElastiCache($),44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64,44.64
Direct Connect($),39.6208029688,40.3658960158,40.4415583066,40.2807898402,42.3637826207,45.5077871321,44.3897470576,42.1816045435,41.5692431188,36.5455094459,35.6785407368,41.2455407972,40.0471940179,33.2409412904,38.215975273,31.8273533804,37.0671489746
OpenSearch Service($),20.4682290781,20.4682288255,20.4682292061,20.468229872,20.4682301847,20.4682304705,20.4682303786,20.4682304106,20.4682325811,20.4682341179,20.4682253356,20.468224442,20.4682245506,20.4682253168,20.46822557,20.4682172002,20.4681969011
Elastic Container Service for Kubernetes($),14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,8.61594597,2.4
Backup($),7.9386352664,7.9204780109,7.9425514641,7.9539867934,7.9096784011,7.8862835278,7.8924009947,7.8213411565,7.7955297187,7.7691090731,7.7535542994,7.6892289353,7.6648737345,7.638272598,7.6085764462,7.582105504,7.5658525619
DynamoDB($),6.6603077981,6.6603471431,6.6602857403,6.6603033275,6.6602857156,6.6602885053,6.6602456564,6.6602131604,6.6602197872,6.660192988,6.6602014976,6.6601429059,6.6601650649,6.6601873899,6.6600376566,6.6601151141,6.6601051945
Athena($),3.02981,3.048735,3.068395,3.09303,3.11445,3.133335,3.152485,3.171765,3.19104,3.209885,3.229365,3.248245,3.26731,3.286035,3.30462,3.323925,3.342795
QuickSight($),2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192,2.4000000192
Lambda($),1.2598496042,2.5591524473,2.5217788355,2.4461403036,2.4559481992,2.2811765133,2.2080272055,2.3683041826,2.2393132912,2.1891791579,2.1202779217,2.2975443986,2.1561202663,1.8974640387,2.0176446312,1.9311237748,1.8428116266
SQS($),2.9779576,3.0360368,1.0405248,1.0743512,1.0482528,0.94797,0.7545452,2.1586356,1.9393452,1.760082,0.814564,1.4790436,1.3073316,0.7410956,1.2389356,0.9285592,1.2849688
Secrets Manager($),1.2879138894,1.3284616672,1.3169388894,1.3009216672,1.3965566672,1.4256166672,1.4443366672,1.3332016672,1.3636066672,1.3631116672,1.3840266672,1.2036816672,1.2948416672,1.3094166672,1.2997716672,1.1448966672,0.4446266672
Key Management Service($),0.8885366736,0.8887346736,0.8871896736,0.9536913408,0.9868296744,0.9865746744,0.9869316744,0.9871086744,0.9867696744,0.9839286744,0.9864516744,0.9865656744,0.9860526744,0.9846936744,0.9865476744,0.9869316744,0.9864216744
Global Accelerator($),0.6000287862,0.6000283489,0.6000291556,0.6000266583,0.6000276822,0.6000316801,0.6000252906,0.6000270813,0.6000267164,0.6000279839,0.6000251394,0.6000260255,0.6000278531,0.6000312681,0.6000288537,0.600030247,0.600026397
WAF($),0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016,0.2000000016
Cost Explorer($),0.07,0.12,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.07,0.07,0.07,0.07,0.13
Route 53($),0.4253156,0.0314036,0.015271,0.0138682,0.0137902,0.0127314,0.0094538,0.0129382,0.0120812,0.0130846,0.0123196,0.0138114,0.0121462,0.0090314,0.0130666,0.0132346,0.0127174
EC2 Container Registry (ECR)($),0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366,0.00999366
CloudWatch Events($),0.006838,0.008473,0.00742,0.007071,0.006832,0.006316,0.006546,0.006775,0.007513,0.006087,0.005352,0.005912,0.005158,0.00441,0.00525,0.006005,0.005268
Config($),0.012,0.018,0.009,0.003,,,,,,,,,,,,0.027,0.006
Service Catalog($),0.0,0.0091,0.0056,0.0014,0.0014,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
SNS($),0.0003534251,0.0003227087,0.0001971011,0.0018020986,0.0019429448,0.0018875356,0.0020450745,0.0039921747,0.0022546974,0.0018846942,0.0017509746,0.0019100104,0.00184159,0.00181906,0.0033822126,0.0025528685,0.0017656353
