Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),800.355087526,779.103374557,780.6077763262,733.9989332851,739.4193703871,731.6086556701,732.3872860342,749.8474831698,776.7366605988,783.9385015084,770.8332305269,778.3245079052,768.7305983694,753.9661362096,753.4885200267,763.8535013497,747.3790810175
EC2-Other($),478.596874795,490.8174682052,483.6724953391,448.8895204177,464.8804873336,472.1326869865,471.6595443259,467.3401975484,502.3722025839,499.4249490242,478.7766814152,497.2821576759,470.6611129714,462.2016462348,463.7302593491,472.3370194033,472.6392639534
Elastic Load Balancing($),67.8921355024,71.9492173975,67.9737047402,66.8252632587,79.1009187342,66.7713976371,65.9390665389,66.3367607905,67.8983919772,71.1321723064,67.2606693072,67.5827334239,63.6191412921,61.8912140007,65.5891330749,81.9234493739,63.0827820551
ElastiCache($),54.192,54.915,54.594,55.742,54.218,54.72,54.018,55.524,53.852,54.018,54.65,54.192,54.594,54.696,54.318,54.879,54.38
S3($),23.1381470861,25.2967608428,23.6636229467,24.325447767,24.649569583,24.1724887476,23.6871922262,23.4761924737,24.1596404614,27.7555748206,26.2622922742,31.1802025607,41.5406275359,39.3560270508,34.7751672017,29.5357178835,27.634078171
VPC($),19.3533273986,19.43917906,19.5748252387,19.4038941667,19.4688767675,19.6586305261,19.5754023503,19.4212196274,19.528186121,19.3870678909,19.3243360629,19.3460746482,19.3284709984,19.3506016711,19.3402664647,19.3428462939,19.3516230652
Relational Database Service($),19.1312543004,19.1303653016,19.1263013471,19.16689547,19.2176899952,19.2162244212,19.2063269417,19.2065206618,19.213498997,19.2147068759,19.2087760235,19.2115306906,19.2170787143,19.2081700844,19.2085937319,19.2107371433,19.2123044277
Elastic Container Service for Kubernetes($),9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
CloudWatch($),8.4872631431,8.9647723521,8.3835221101,7.1359626191,7.2436820244,7.0574774214,6.9719589737,7.1938193071,7.2855037221,7.2451970453,7.0105310043,5.4952368873,5.649415333,5.5474851457,6.0253311342,5.8959508982,4.6877989597
Glue($),2.50898656,2.62672892,2.59180224,2.4328982,2.5576454,2.4336988,2.4716334,2.48596082,2.5526467801,2.5776819799,2.57956442,2.5954450601,2.5601940999,2.38088782,2.6038025401,2.3695379799,2.49469122
Key Management Service($),1.176824676,1.178768676,1.178360676,1.178351676,1.179500676,1.178636676,1.176929676,1.176392676,1.175690676,1.178360676,1.178354676,1.178351676,1.176359676,1.178636676,1.178354676,1.178642676,1.178363676
Athena($),,,,,8.119295,,,3.189945,,,,,,,1.29812,0.62519,5.91375
DynamoDB($),0.8915523436,0.8915523437,0.8915523508,0.8915523476,0.8915523449,0.8915523476,0.8915523431,0.8915523492,0.891552344,0.8915523436,0.8915523436,0.8915523436,0.8915523444,0.891552343,0.89155235,0.8915523425,0.8915523425
EC2 Container Registry (ECR)($),0.4788745233,0.4788783443,0.4788810447,0.4788844172,0.4788865944,0.4788865944,0.4788865944,0.4789765662,0.4791946724,0.4817201304,0.4845257736,0.4845269788,0.4845275304,0.4845275304,0.4845294397,0.4845317481,0.4845346132
Secrets Manager($),0.2540333344,0.2539383344,0.2435827788,0.2443777788,0.2555383344,0.2557333344,0.2559383344,0.2560383344,0.2560333344,0.2558383344,0.2560383344,0.2561333344,0.2558383344,0.2561333344,0.2563383344,0.2562333344,0.2559383344
Route 53($),0.8405052,0.2571928,0.1444522,0.1349946,0.1468672,0.1248542,0.1407782,0.3991394,0.1339162,0.1219398,0.1356772,0.1412066,0.1251462,0.1341558,0.1292672,0.1133948,0.1239218
Cost Explorer($),0.14,0.14,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.09
Service Catalog($),0.0042,0.0056,0.0049,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
Lambda($),0.000591847,0.0005999991,0.0010334594,0.0017132637,0.0015124609,0.0012548404,0.0004348295,0.0014277936,0.0024670428,0.0025623129,0.0004751339,0.0024460322,0.0023164724,0.000888117,0.0017281631,0.0010560162,0.0016615407
CloudWatch Events($),0.000688,0.00086,0.000908,0.000492,0.000416,0.0004,0.00018,0.00038,0.000788,0.00052,1.6e-05,0.00038,0.0004,6e-05,0.000256,8.6e-05,0.00024
SNS($),1.38512e-05,9.9214e-06,2.00609e-05,0.000281564,0.0004382582,0.0004903409,0.0004117076,0.0005117628,0.0006563338,0.0006293356,0.000404204,0.0006033155,0.0005463213,0.0004771218,0.0005523471,0.0004556726,0.0004625739
SQS($),2.4e-06,3.6e-06,3.2e-06,6e-06,8.8e-06,9.2e-06,1e-05,1.04e-05,1.12e-05,1.04e-05,1.08e-05,1.16e-05,1.2e-05,1.24e-05,1.04e-05,9.6e-06,1.16e-05
