Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
Relational Database Service($),2945.5622837274,,,,,,,,,,,,,,,,
ElastiCache($),1165.824472879,,,,,,,,,,,,,,,,
OpenSearch Service($),297.5299350512,5.9328001416,5.9328001417,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001416,5.9328001417,5.9328001416
QuickSight($),20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792,20.5106667792
Cost Explorer($),14.1993113333,14.6776886667,14.638237,14.7855326667,15.419658,15.6956943333,49.1836913333,16.191166,22.7550253333,2.1733333333,1.8533333333,1.9733333333,2.1633333333,35.1733333333,2.1733333333,2.1333333333,1.9633333333
Athena($),3.013005,5.911145,5.50062,4.14101,3.09641,3.11367,3.132125,3.91149,3.812195,5.52836,6.156685,3.21025,3.233565,3.25095,3.94017,4.40945,4.32239
S3($),2.745773595,3.8393417273,3.7729220431,3.218120215,2.9020924736,2.9138605581,2.9303489962,3.152927894,3.1196407305,3.5021097657,3.7302225195,3.0493361751,3.0844681282,3.1194731975,3.2398441412,3.4026207207,3.3484067393
Glue($),1.9736926,1.81419524,1.29856188,1.47250928,1.4231096,1.45556972,1.5782521895,1.5855402694,1.4130884189,1.5625455892,1.4429900241,1.4870440313,1.616647536,1.5748331398,1.2617452171,1.4312670132,1.2904726873
Savings Plans for  Compute usage($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8720393416,0.1154078047,10.18734121
EC2-Other($),1.3926403275,1.3926402594,1.3926402166,0.693539349,,,,,,,,,,,,,
CloudWatch($),0.1704645952,0.172925971,0.172863869,0.1718713718,0.1701793626,0.1701831428,0.1701912866,0.0581289441,0.0577767435,0.0592124307,0.0587799314,0.0568710094,0.0568855356,0.0568813225,0.0580858429,0.0578060849,0.0583277682
Service Catalog($),0.0,0.0105,0.0098,0.0084,0.0063,0.0091,0.0112,0.2023,0.1547,0.1309,0.2023,0.1666,0.2023,0.1785,0.1428,0.1309,0.1785
Bedrock($),,0.111605916,0.102126464,0.024919408,,,,0.10988224,0.079919484,0.285157144,0.271091992,,,,0.128765872,0.090656936,0.211416688
Lambda($),0.0061646371,0.0844873667,0.0857131479,0.026267459,0.0050803275,0.0051144989,0.0065120557,0.0961386531,0.0995433002,0.2953478854,0.2542362887,0.0051311238,0.0051630628,0.0076342767,0.1149169328,0.0849215007,0.1984215047
VPC($),0.36,0.36,0.36,0.165873615,,,,,,,,,,,,,
Claude 3.5 Sonnet v2 ( Bedrock Edition)($),,,,,,,,,,,0.149301,,,,0.220089,0.049725,0.197652
EC2-Instances($),0.1440001606,0.1440001008,0.1440000633,0.0661183651,,,,,,,,,,,,,
Config($),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.022,0.022,0.022,0.022,0.022,0.022
Key Management Service($),0.002874,0.00294,0.002883,0.003081,0.00291,0.003099,0.002973,0.003099,0.002925,0.003285,0.003207,0.003162,0.003504,0.002631,0.002802,0.003045,0.003093
Secrets Manager($),0.00017,0.000175,0.000255,0.00026,8.5e-05,0.00026,0.000255,0.000175,0.000255,0.00026,0.00017,0.00026,0.000255,0.00026,0.00017,0.000175,0.000255
Polly($),,,,0.00183,,,,,,,,,,,,,
API Gateway($),0.0001928055,6.45615e-05,3.0866e-05,1.4316e-05,,,2.3861e-06,5.24922e-05,2.14741e-05,0.0001121424,8.58961e-05,,,,2.62461e-05,2.62461e-05,5.01061e-05
SQS($),1.4e-05,3.48e-05,4.12e-05,3.48e-05,2.08e-05,4.16e-05,3.44e-05,2.8e-05,4.12e-05,2.8e-05,3.44e-05,4.16e-05,3.44e-05,4.16e-05,3.44e-05,3.48e-05,3.44e-05
SNS($),2.192e-07,1.50523e-05,1.45587e-05,1.95745e-05,1.05301e-05,1.40587e-05,1.65666e-05,1.50523e-05,1.45587e-05,1.65745e-05,1.80523e-05,1.45587e-05,1.70666e-05,1.45745e-05,1.30568e-05,1.40523e-05,1.60666e-05
Glacier($),2.305e-06,2.3743e-06,2.3948e-06,2.5055e-06,2.4197e-06,2.3268e-06,2.2756e-06,2.3621e-06,2.4031e-06,2.4872e-06,2.4935e-06,2.1078e-06,2.5695e-06,2.637e-06,2.5923e-06,2.2651e-06,2.197e-06
Simple Workflow Service($),,7.83e-08,7.83e-08,5.22e-08,5.22e-08,7.83e-08,5.22e-08,5.22e-08,7.83e-08,5.22e-08,7.83e-08,7.83e-08,5.22e-08,7.83e-08,7.83e-08,7.83e-08,5.22e-08
Step Functions($),2.72e-08,5.44e-08,6.94e-08,4.22e-08,2.72e-08,5.44e-08,5.44e-08,6.66e-08,4.5e-08,5.72e-08,6.66e-08,6.94e-08,8.16e-08,6.66e-08,6.94e-08,5.72e-08,5.44e-08
CloudShell($),,,,2.208e-07,,,,,,,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savings Plans for  Machine Learning($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),4453.4556640424,54.9852290895,53.944178772,51.2428711616,49.4893255137,49.8300762921,83.479071517,51.7744129468,57.9586156904,40.0041373826,40.5959249966,36.4175130079,36.8316426866,69.830022147,40.6203050446,38.3748528134,48.4251797279
