Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),45676.3438930248,45348.4563334202,44951.2282262186,44446.3273146039,41772.9835695983,41727.9503304792,44176.0437471607,44350.3427908143,44170.237156052,43425.3314103901,42550.2935688798,40471.4837857976,39836.9750745968,40740.7752040349,41300.6368928928,41084.34755508,41188.3747049165
EC2-Other($),38514.4013755225,38576.6438658613,38287.5283600956,37984.7059464421,37587.4280364032,37358.0037390614,38177.0691018109,37829.7441229807,37845.1078500937,37552.9302283718,37459.4031213207,36804.5337664033,36589.7939016163,36496.4501149073,36193.6865401424,35780.5576635557,35970.6567315937
Relational Database Service($),23215.3382497916,20677.4448357179,20588.8953153257,19904.8639693061,19321.215682333,19480.1753723723,20245.2986522286,19294.4005512683,19292.2382762202,19341.1280242772,19394.1576385028,19327.605611068,19443.0206063927,19509.188184824,19636.236536985,19737.724002324,19667.5096161713
S3($),15964.1929057914,16239.00260058,15818.8460070974,15420.9624234297,14593.3051804552,14439.9719280737,15408.14473139,15568.4185028349,15527.4764361012,15601.4478092286,15677.0566730291,14566.3626894749,14225.4420952608,14968.0577014648,15427.8780381501,15429.8251872442,14942.2729317703
Elastic MapReduce($),7098.1683149074,6939.6569745922,7076.5592710076,7164.5606992814,6918.7199871392,7091.02091556,7232.0680704802,7341.90343211,7381.758114627,7202.3882154896,7150.6671392652,6918.565587224,7126.125030391,6780.9027718826,6965.562571316,7065.7833191698,7257.1891313796
Elastic Load Balancing($),2860.2765705021,2890.7182113015,2835.7857323114,2835.0720594772,2813.2279638071,2512.9091357505,2738.6651294911,2746.2974235176,2752.6474512308,2761.8611178149,2699.5046393385,2787.8302013795,2508.5415255634,2544.140062444,2700.919420252,2708.9308799448,2686.6165770569
VPC($),2305.6769694856,2294.6493434133,2290.3240605307,2283.1701467872,2270.0689898071,2247.6567814142,2279.7249143125,2272.7030803597,2275.0675298185,2272.8991767526,2264.7155621498,2258.6327639471,2236.2300535684,2236.6781503144,2266.9679515357,2257.1454616792,2254.786676339
ElastiCache($),3436.591864132,2270.7674471764,2270.766560925,2270.764589749,2270.764613452,2270.7659072936,2270.7685336838,2270.770479299,2243.791612463,2126.9750335116,1977.1353471452,1977.1748868351,1977.1753802782,1977.1749302505,1944.2809299146,1744.3587842443,1739.3861514815
OpenSearch Service($),1598.9714305234,1307.3743707295,1307.3740833367,1307.3738928649,1307.3739431529,1307.3739207299,1307.3742378609,1307.3739600918,1307.3740351621,1307.3739326209,1307.374091359,1307.373965888,1307.3739720383,1307.3739214123,1307.3740020965,1307.3740467122,1307.3740849477
CloudWatch($),1422.5693429793,1522.3455110986,1516.5565418864,1522.6885700529,1451.7734916452,1436.9536912866,1439.3389646759,1173.1729626397,1051.1790429387,991.5126766615,992.5682880582,983.402940278,972.6230141377,986.4811051856,990.3595826213,1005.0907682914,990.9642855774
IoT($),1097.7452640994,1124.1182212856,1062.3086750014,1065.6540766203,1055.016203053,1028.2250704236,1043.7414093842,1060.9881189066,1076.3953090217,1057.0747849853,1030.201760728,991.5028764291,1006.9609554412,984.0610489131,1004.9066638208,1007.7533359504,1005.0534186506
DynamoDB($),1056.254876094,1003.3853268954,1072.789291894,998.7126494558,997.1570279135,986.9249040537,993.8735401311,997.7053560286,1080.210613466,1018.3610210802,973.3025836259,973.5351706297,977.870156944,967.5531828124,1032.2338852208,935.9589855365,625.3331567444
API Gateway($),930.6273572508,833.6269885742,768.6247333846,720.6391183573,654.5667903527,628.4922915774,640.851751176,641.4188648393,666.5686356195,628.8046063642,644.3345427904,648.1276974689,660.6943784982,614.4839433329,629.6608672051,659.8785473095,636.3363238954
Elastic Container Service for Kubernetes($),660.938773307,652.8,649.173006945,640.8,640.8,640.8,640.8,633.164862085,627.196602556,623.585423081,588.713948833,585.6,585.6,585.6,585.6,570.22811861,545.830933615
SageMaker($),617.2694613938,597.2337547013,715.6620875957,742.1643549646,656.2203844151,693.0355024353,688.6088009059,618.4001311688,625.542727266,544.2596455783,584.6184577326,513.2300538333,498.6860386987,574.5974039538,527.6360432197,579.6267588456,542.5278395368
Elastic File System($),669.7583615191,625.2002807402,523.6426669852,549.5518091428,548.5994087955,587.2716999603,618.7965409429,575.4577839585,606.8023316032,596.0330927967,613.3042885344,595.2181365148,599.1783059177,586.8615576103,618.4558903083,583.0838209182,598.4046413163
IoT Device Management($),352.0869888,370.62056618,468.22484857,842.95861015,367.67982449,894.37871731,601.50739344,384.8573925,482.0972572,518.93395862,453.34083267,470.81326303,360.62363885,350.52016075,364.58223175,362.84031496,362.63830949
DocumentDB (with MongoDB compatibility)($),420.4831840748,421.1831433545,420.950898276,421.0560877378,409.1102339804,408.8162311183,420.7812229879,420.8112760706,420.8668729835,421.0237596997,421.2141073245,408.9767192303,409.0356917099,421.1406632454,421.1288234629,422.1342506862,422.2360420505
Managed Streaming for Apache Kafka($),290.4821513526,290.4081137302,290.4153748101,291.4914883361,290.0620446003,289.9732790904,291.5358208875,290.0476149128,290.2753690111,289.3852227113,289.9915145321,289.5272218756,288.9174640778,288.9622039892,289.6384548427,289.4141544675,289.1034904645
EC2 Container Registry (ECR)($),249.8244843992,250.5219838419,249.997638513,249.44939164,249.2132208744,250.8199870233,250.8228046344,251.2422451362,252.2551183711,253.0436524501,251.622362475,251.191329967,253.0371357956,252.5137413052,252.6383624509,253.6222076678,253.9123499099
Route 53($),360.5888311771,210.0952169771,145.2272563771,139.8276748771,139.4268253771,126.0233754771,172.3694613771,145.9457520771,123.5289467771,124.1602652771,169.6388802771,120.1996907771,122.4667700771,117.9537109771,125.7772924771,118.7214433771,117.2067251771
Systems Manager($),0.3634736778,114.0265886778,187.8915486778,140.1025086778,101.0274386778,112.6754536778,121.2605786778,123.7395786778,198.1144086778,135.7339286778,200.8440236778,102.9606686778,112.7075186778,132.4350986778,114.1782386778,131.2931036778,112.7898786778
